Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Novig,Seed,Seed,"$6,400,000","Sep 1, 2022",Novig,"Novig is the first high-frequency, commission-free sports betting exchange","Gambling, Mobile, Sports",Black / African American Founded,"New York, New York, United States, North America",novig.co,,"$6,900,000",Seed,4,"Lux Capital, Y Combinator",18
Seed Round - CreatorDAO,Seed,Seed,"$20,000,000","Aug 9, 2022",CreatorDAO,"CreatorDAO is a decentralized community that invests in creators by providing capital, technology, and operational support.","Cryptocurrency, Financial Services, FinTech",—,"Los Angeles, California, United States, North America",creatordao.com,,"$20,000,000",Seed,1,"a16z crypto, Initialized Capital",30
Pre Seed Round - Stashpad,Pre-Seed,Seed,"$1,800,000","Aug 10, 2022",Stashpad,"Stashpad allow users to store their snippets, thoughts, and notes that is instantly searchable and automatically organized.","Apps, Developer Platform, Mobile Apps, Software","Women Founded, Women Led","Pittsboro, North Carolina, United States, North America",www.stashpad.com/,,"$1,920,000",Seed,3,—,4
Seed Round - Silvertree,Seed,Seed,"$5,500,000","Sep 1, 2022",Silvertree,Silvertree provides a wellness wearable platform for Older Adults and their Care Partners,Consumer,—,"Cambridge, Massachusetts, United States, North America",www.silvertree.io,,"$12,500,000",Seed,2,"AlleyCorp, RRE Ventures",8
Seed Round - Taiko Labs,Seed,Seed,"$10,000,000","Sep 1, 2022",Taiko Labs,Taiko Labs is a cryptocurrency firm that aims to scale the Ethereum blockchain.,"Blockchain, Ethereum, Service Industry",—,"Bay City, Michigan, United States, North America",taiko.xyz,,"$22,000,000",Seed,3,Sequoia Capital China,13
Seed Round - Nibiru Chain,Seed,Seed,"$8,500,000","Sep 15, 2022",Nibiru Chain,"A community-owned, DeFi hub powering technological innovations for the future of money.","Blockchain, Cryptocurrency, Financial Exchanges, Trading Platform",—,"Palo Alto, California, United States, North America",nibiru.fi/,,"$8,500,000",Seed,1,"NGC Ventures, Original Capital, Republic Crypto, Tribe Capital",23
Seed Round - Shypyard,Seed,Seed,"$3,000,000","Jul 27, 2022",Shypyard,Shypyard is a Shopify developmental company.,"Computer, Software, Software Engineering",—,"Boston, Massachusetts, United States, North America",www.shypyard.com,,"$3,000,000",Seed,2,Gradient Ventures,6
Seed Round - Rupert.,Seed,Seed,"$8,000,000","Sep 15, 2022",Rupert.,"Rupert is the leading analytics distribution platform, solving the last mile problem in analytics by driving business outcomes from insights","Analytics, Business Intelligence, SaaS, Software",—,"New York, New York, United States, North America",www.hirupert.com,,"$8,000,000",Seed,1,"Cortical Ventures, IA Ventures",9
Seed Round - Cashmere,Seed,Seed,"$3,000,000","Aug 8, 2022",Cashmere,Crypto wallet for web3 startups,Cryptocurrency,—,"San Francisco, California, United States, North America",cashmere.finance/,,"$3,650,000",Seed,2,—,24
Seed Round - Roforco,Seed,Seed,"$1,000,000","Sep 15, 2022",Roforco,"Roforco runs a Roblox game accelerator that makes games successful by providing funding, resources and hands-on support.","Gaming, Venture Capital, Video Games",—,"San Francisco, California, United States, North America",www.roforco.com/,,"$1,500,000",Seed,2,—,9
