Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Pre Seed Round - Alchemy,Pre-Seed,Seed,"$2,500,000","Jan 1, 2020",Alchemy,"Alchemy offers device remarketing, pricing solutions, and sales channel management for the smartphone ecosystem.","Mobile Devices, Sales, Software, Telecommunications",—,"New Castle, Delaware, United States, North America",www.alchemyglobalsolutions.com/,,"$2,500,000",Seed,1,—,—
Seed Round - Prizeout,Seed,Seed,"$1,000,000","Jan 1, 2020",Prizeout,"Prizeout is an ad-tech company that turns withdrawals into an engine for customer acquisition, retention, and loyalty.","Advertising Platforms, FinTech, Marketing",—,"New York, New York, United States, North America",www.prizeout.com/,,"$37,500,000",—,6,—,1
Seed Round - Foodnerd,Seed,Seed,"$950,000","Jan 1, 2020",Foodnerd,Vegan specialty food manufacturer,—,—,"Buffalo, New York, United States, North America",www.foodnerdinc.com/,,"$1,950,000",Seed,2,—,—
Seed Round - Amara LLC,Seed,Seed,"$500,000","Jan 11, 2020",Amara LLC,International Bank,"Advertising, Banking, E-Commerce, Financial Services, Information Technology, Marketing, Real Estate, Software",—,"New York, New York, United States, North America",,,"$500,000",M&A,1,"Apple, Mehdi Amara",2
Seed Round - Allo,Seed,Seed,"₩1,200,000,000","Dec 30, 2019",Allo,The virtual space where people love to work,"Apps, Information Technology, Software, Web Development","East Asian Founded, East Asian Led","San Francisco, California, United States, North America",allo.io,,"$6,829,146",Seed,4,Alchemist Accelerator,4
Seed Round - Heroic Story,Seed,Seed,"$1,400,000","Jan 1, 2020",Heroic Story,"Infinite, community crafted, AI RPGs.",Gaming,—,"Los Angeles, California, United States, North America",www.heroicstory.com/,,"$7,400,000",Seed,2,—,5
Seed Round - Sensee,Seed,Seed,"₩1,500,000,000","Jan 1, 2020",Sensee,"Sensee is a publishing company that manufacture and sells books namely, tactile, braille, and books for children.","EBooks, Printing, Publishing",—,"Gardena, California, United States, North America",www.sensee.world/new/product.php,,"₩1,500,000,000",Seed,3,—,1
Seed Round - Treno,Seed,Seed,"$2,500,000","Jan 10, 2020",Treno,Treno is a venture-backed startup currently in stealth mode.,"Information Technology, Internet, Software","Black / African American Founded, Black / African American Led","New York, New York, United States, North America",www.treno.io,,"$2,500,000",Seed,1,—,3
Seed Round - Studs,Seed,Seed,"$3,000,000","Nov 20, 2019",Studs,Studs is a piercing studio meant to appeal to a conscious millennial and Gen-Z customer.,"Consumer, Jewelry, Retail","Women Founded, Women Led","New York, New York, United States, North America",studs.com/,,"$23,000,000",Early Stage Venture,2,First Round Capital,4
Seed Round - ByondXR,Seed,Seed,"$150,000","Jan 1, 2020",ByondXR,ByondXR builds let brands/retailers and manufacturers build stores and showrooms in the metaverse,"B2B, Beauty, Cosmetics, Digital Media, Fashion, Information Technology, Online Forums, Retail, Software, Wholesale",—,"New York, New York, United States, North America",www.byondxr.com,,"$7,650,000",Seed,3,—,1
Pre Seed Round - ProHabits,Pre-Seed,Seed,"$315,000","Nov 19, 2019",ProHabits,"ProHabits helps guide continuous, sustainable leadership development.",—,—,"Chicago, Illinois, United States, North America",www.prohabits.com,,"$1,135,000",Seed,3,Motivate Venture Capital,2
Pre Seed Round - Cognitive Corp,Pre-Seed,Seed,"$1,200,000","Jan 4, 2020",Cognitive Corp,"Harnessing the power of AI and machine learning to boost efficiency - turning data into insights, insights into productivity and well-being!","Blockchain, Construction, Consulting, Facility Management, Information Technology, Machine Learning, Professional Services, Real Estate, Software",—,"Chicago, Illinois, United States, North America",www.cognitivewx.info/,,"$1,200,000",Seed,1,Aegis Fund,1
Seed Round - Agro.Club,Seed,Seed,"$1,500,000","Jan 3, 2020",Agro.Club,Agro.Club is a full-stack B2B global marketplace operating in the world’s key grain regions.,"Agriculture, AgTech",—,"New York, New York, United States, North America",agro.club,,"$6,500,000",Early Stage Venture,2,Speedinvest,3
Seed Round - Smile ID,Seed,Seed,"$4,000,000","Dec 19, 2019",Smile ID,"Africa's leading identity verification solution, remotely verify IDs in seconds while staying compliant and preventing fraud at scale","Apps, Financial Services, Identity Management",—,"Oakland, California, United States, North America",www.usesmileid.com/,,"$55,100,000",Early Stage Venture,8,valU,1
Seed Round - Chipper Cash,Seed,Seed,"$6,000,000","Dec 16, 2019",Chipper Cash,"Chipper Cash is a fintech platform that offers mobile, cross-border money transfer services.","Financial Services, FinTech, Mobile Apps, Mobile Payments, Payments",Black / African American Founded,"San Francisco, California, United States, North America",www.chippercash.com,,"$337,200,000",—,7,Deciens Capital,6
Seed Round - Loyal,Seed,Seed,"$11,000,000","Jan 1, 2020",Loyal,Loyal is a biotechnology company developing medicines to extend dog lifespan.,"Biotechnology, Pet, Veterinary","Women Founded, Women Led","San Francisco, California, United States, North America",loyalfordogs.com,,"$58,000,000",Early Stage Venture,4,—,12
Seed Round - Wild Energy,Seed,Seed,"$300,000","Dec 9, 2019",Wild Energy,Wild Energy is a wireless metering company that provides energy monitoring and control solutions for the recreational vehicle industry.,"Automotive, Industrial Automation, Internet of Things, Wireless",—,"Sarasota, Florida, United States, North America",www.wildenergyco.com,,"$952,500",Seed,2,—,—
Pre Seed Round - Astra,Pre-Seed,Seed,"$1,500,000","Nov 20, 2019",Astra,Astra is the platform for moving money instantly and securely,"Financial Services, FinTech, Personal Finance, Software",—,"Menlo Park, California, United States, North America",www.astrafi.com,,"$14,900,000",Early Stage Venture,5,Slow Ventures,7
Seed Round - The Daebak Company,Seed,Seed,"₩200,000,000","Nov 30, 2019",The Daebak Company,The Daebak Company is a community-driven e-commerce platform that aims to unite and inspire the global Hallyu community.,E-Commerce,—,"Los Angeles, California, United States, North America",daebak.co,,"₩700,000,000",Seed,6,—,1
Pre Seed Round - Boutiq,Pre-Seed,Seed,"$120,000","Nov 20, 2019",Boutiq,Boutiq offers personalized video shopping experience for ecommerce sellers.,"Customer Service, E-Commerce, Information Technology, Software",—,"Palo Alto, California, United States, North America",getboutiq.com,,"$120,000",Seed,1,Techstars,2
Seed Round - The Huss Group,Seed,Seed,"$350,000","Jan 1, 2020",The Huss Group,The Huss Group is a Public Relations Agency that specializes in campaigns that get results.,Public Relations,—,"Scottsdale, Arizona, United States, North America",linktr.ee/thehussgroup,,"$350,000",Seed,1,Husseen Almudhfar,1
Seed Round - Ender,Seed,Seed,"$7,000,000","Dec 16, 2019",Ender,Ender is a real estate company that helps owners of rental homes to more efficiently handle day-to-day operations of property management.,"Property Management, Real Estate Investment, Software",—,"Austin, Texas, United States, North America",ender.com/,,"$7,000,000",Seed,1,Global Founders Capital,7
Seed Round - Brooklyn Investment Group,Seed,Seed,"$4,000,000","Dec 6, 2019",Brooklyn Investment Group,Brooklyn Investment Group is an A.I. powered wealth management platform.,"Financial Services, Natural Language Processing, Predictive Analytics",—,"Brooklyn, New York, United States, North America",bkln.com,,"$8,676,000",Seed,2,—,4
Seed Round - Motivo,Seed,Seed,"$2,200,000","Dec 3, 2019",Motivo,Motivo connects mental health organizations with virtual clinical supervisors and licensed providers to fill mental health workforce gaps.,"Health Care, Psychology","Women Founded, Women Led","Richmond, Virginia, United States, North America",wearemotivo.com,,"$16,200,000",Early Stage Venture,5,Cox Investment Holdings,10
Pre Seed Round - Livedocs,Pre-Seed,Seed,"$340,000","Nov 15, 2019",Livedocs,The data tool for everyone,Analytics,—,"San Francisco, California, United States, North America",livedocs.com/,,"$2,640,000",Seed,2,—,2
