Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Almanac,Seed,Seed,"$9,000,000","May 28, 2020",Almanac,Almanac is the most powerful platform for async collaboration.,"Collaboration, Knowledge Management, Productivity Tools, Software",—,"San Francisco, California, United States, North America",almanac.io/,,"$45,000,000",Early Stage Venture,4,"Darian Shirazi, Floodgate",17
Seed Round - Teal,Seed,Seed,"$5,000,000","Jul 8, 2020",Teal,"A personal career growth platform that gives you the tools, skills, & recommendations you need to accelerate your career.","Career Planning, Personal Development, Professional Services",—,"Miami, Florida, United States, North America",www.tealhq.com/,,"$11,300,000",Seed,2,Flybridge,18
Seed Round - Harmonic Bionics,Seed,Seed,"₩3,000,000,000","May 18, 2020",Harmonic Bionics,Harmonic Bionics is redefining neurorehabilitation with intelligent robotic technology designed to maximize patient recovery.,"Health Care, Health Diagnostics, Medical Device",—,"Austin, Texas, United States, North America",harmonicbionics.com/,,"$13,423,580",—,5,—,4
Seed Round - Motion2AI,Seed,Seed,"$1,700,000","Jun 15, 2020",Motion2AI,AI-powered Forklift Telematics and Forklift Tracking to prevent accidents and improve utilization.,"Artificial Intelligence, Machine Learning, SaaS, Software, Warehousing",South Asian Founded,"Dallas, Texas, United States, North America",motion2ai.com/,,"$14,650,000",Early Stage Venture,3,—,3
Seed Round - Atmos,Seed,Seed,"$2,000,000","Jun 25, 2020",Atmos,"Atmos provides a step-by-step home building platform for all land, design and build decisions.","Construction, Consumer, E-Commerce, Marketplace, Real Estate",—,"San Francisco, California, United States, North America",www.buildatmos.com/,,"$18,655,000",Early Stage Venture,8,—,15
Seed Round - Pillar,Seed,Seed,"$3,300,000","Jul 7, 2020",Pillar,All-in-one business suite for creators,"Content Creators, E-Commerce, Peer to Peer, Social Entrepreneurship, Social Media, Social Shopping, Software",—,"San Francisco, California, United States, North America",pillar.io,,"$3,500,000",Seed,3,—,7
Pre Seed Round - Charityvest,Pre-Seed,Seed,"$1,200,000","May 13, 2020",Charityvest,Charityvest is a personal charitable giving fund that allows individuals to donate to US nonprofits from one tax-deductible account.,"Charity, Financial Services, FinTech, Mobile Payments, Non Profit, Software",—,"Atlanta, Georgia, United States, North America",www.charityvest.org,,"$5,700,000",Seed,5,Y Combinator,1
Seed Round - Chordal,Seed,Seed,"$1,645,000","Jul 10, 2020",Chordal,Chordal is a collaborative music licensing platform that connects rights holders through the copyrights they share.,"Collaboration, Marketplace, Media and Entertainment, Music",—,"Los Angeles, California, United States, North America",www.chordal.com/,,"$1,645,000",Seed,1,—,1
Pre Seed Round - Fybraworks Foods,Pre-Seed,Seed,"$80,000","Jun 26, 2020",Fybraworks Foods,"Fybraworks Foods is a new entrant in the substitute meat market, using fermentation and protein ingredients to replicate the taste.","Consumer Goods, Food and Beverage",—,"Minnetonka, Minnesota, United States, North America",www.fybrawork.com/,,"$336,000",Seed,3,Brinc,2
Seed Round - Pure Green Franchise,Seed,Seed,"$1,070,000","Jun 1, 2020",Pure Green Franchise,The fastest-growing juice and smoothie bar franchise in the United States,Food and Beverage,—,"Sunrise, Florida, United States, North America",puregreenfranchise.com/,,"$1,070,000",Seed,1,—,—
Seed Round - mmhmm,Seed,Seed,"$4,500,000","Jul 7, 2020",mmhmm,"mmhmm is a virtual camera application used to create virtual rooms, backdrops, and presentations during video conferencing calls.","Apps, Software, Video Chat, Video Conferencing",—,"San Francisco, California, United States, North America",mmhmm.app,,"$139,850,000",Early Stage Venture,4,Sequoia Capital,21
Seed Round - Shyft Auto,Seed,Seed,"$275,000","Jun 15, 2020",Shyft Auto,Shyft Auto is a B2B marketplace that connects consumers to service facilities and drivers for on demand vehicle service.,"Automotive, B2B, E-Commerce, SaaS, Software",—,"Raleigh, North Carolina, United States, North America",shyftauto.com/consumer,,"$325,000",Seed,3,—,1
Seed Round - Blue Fever,Seed,Seed,"$900,000","Jun 15, 2020",Blue Fever,"Blue Fever is a user-led, interactive community that provides young people with a safe space to care for their mental wellness.","Information Technology, Social Media, Wellness","Women Founded, Women Led","Los Angeles, California, United States, North America",www.bluefever.com/,,"$7,255,110",—,6,—,2
