Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Wellness Coach,Seed,Seed,"$3,000,000","Sep 10, 2019",Wellness Coach,Wellness Coach is a workplace wellness platform with a mission is to inspire 5 billion people to be their best selves.,Health Care,—,"Miami, Florida, United States, North America",www.wellnesscoach.live/,,"$3,000,000",—,2,SBNY,1
Seed Round - Atomo Coffee,Seed,Seed,"$2,600,000","Aug 14, 2019",Atomo Coffee,Atomo Coffee is a developer of molecular coffee.,—,—,"Seattle, Washington, United States, North America",atomocoffee.com/,,"$51,625,331",Early Stage Venture,4,Horizons Ventures,1
Seed Round - DoctorHere,Seed,Seed,"₩840,000,000","Sep 10, 2019",DoctorHere,"DoctorHere is a medical clinic that specializes in mental health care, physical therapy, and nutritional care services.","Apps, Health Care, Medical, Nutrition, Therapeutics",—,"New York, New York, United States, North America",www.doctorhere.com,,"₩3,840,000,000",Early Stage Venture,3,—,4
Pre Seed Round - LineLeap,Pre-Seed,Seed,"$1,955,000","Aug 19, 2019",LineLeap,LineLeap provides mobile fast pass entry for popular bars and nightclubs allowing customers to skip long lines at their favorite venues.,"iOS, Software",—,"New York, New York, United States, North America",www.lineleap.com,,"$13,502,498",Seed,4,Y Combinator,11
Seed Round - Finch,Seed,Seed,"$1,800,000","Sep 9, 2019",Finch,"Finch is a seamless, all-in-one account that provides the benefits of investing with the flexibility of checking","Banking, FinTech, Personal Finance",—,"Boston, Massachusetts, United States, North America",www.finchmoney.com,,"$3,600,000",Seed,3,"Mendoza Ventures, Techstars",2
Seed Round - Magic Spoon,Seed,Seed,"$5,500,000","Sep 12, 2019",Magic Spoon,"Magic Spoon is a food company that provides childlike, low-carbohydrate cereal foods for adult customers.","Food and Beverage, Food Processing, Sales, Snack Food",—,"Brooklyn, New York, United States, North America",magicspoon.com/,,"$120,823,111",Early Stage Venture,3,Lightspeed Venture Partners,21
Seed Round - Verb Energy,Seed,Seed,"$3,500,000","Jul 29, 2019",Verb Energy,Verb Energy makes healthy and delicious energy products for every day. Our flagship product is the Verb Caffeinated Energy Bar.,"Food and Beverage, Food Processing",—,"New Haven, Connecticut, United States, North America",www.verbenergy.co,,"$12,900,000",—,7,Global Founders Capital,11
Seed Round - Ramp,Seed,Seed,"$7,000,000","Aug 1, 2019",Ramp,Ramp is a finance automation platform that helps businesses spend less time and money.,"Finance, Financial Services, FinTech",—,"New York, New York, United States, North America",ramp.com,,"$1,667,000,000",Late Stage Venture,9,Keith Rabois,11
Seed Round - Nido Biosciences,Seed,Seed,"$4,000,000","Sep 10, 2019",Nido Biosciences,Nido Biosciences is a clinical-stage company that develops precision medicines for severe neurological diseases.,"Biotechnology, Health Care, Personal Health",—,"Watertown, Massachusetts, United States, North America",www.nidobio.com,,"$109,000,000",Early Stage Venture,3,5AM Ventures,1
Seed Round - InCyber,Seed,Seed,"$150,000","Aug 1, 2019",InCyber,"InCyber predicts insider threats within a company based on client’s logs and data, integrative data inputs of internal and external sources.","Analytics, Big Data, Data Integration",—,"Cherry Hill, New Jersey, United States, North America",incyber1.com/,,"$150,000",Seed,2,—,1
Seed Round - Swiftly,Seed,Seed,"$15,600,000","Sep 10, 2019",Swiftly,The Digital Platform for​ Brick & Mortar Retail,"E-Commerce, E-Commerce Platforms, Retail Technology, Shopping",Women Founded,"Seattle, Washington, United States, North America",swiftly.com,,"$215,600,000",Late Stage Venture,3,—,8
Seed Round - Synergy One Lending,Seed,Seed,"$1,000,000","Aug 16, 2019",Synergy One Lending,"Synergy One Lending is a national mortgage company that offers loans for a home refinance, purchase, and equity needs.","Finance, Financial Services, Real Estate",—,"San Diego, California, United States, North America",s1l.com,,"$1,000,000",M&A,1,—,1
Seed Round - Prevu,Seed,Seed,"$2,170,000","Aug 12, 2019",Prevu,Prevu is a smart online real estate brokerage on a mission to save people money when they buy a home.,"E-Commerce, Real Estate",—,"New York, New York, United States, North America",www.prevu.com,,"$2,170,000",Seed,1,Alpaca VC,5
