Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Helius Energy,Seed,Seed,"$9,000,000","Mar 23, 2021",Helius Energy,Helius Energy is a global high-tech company that provides quality-performance solar modules for reliable green power generation.,—,—,"New York, New York, United States, North America",www.heliusenergy.com.br/,,"$9,000,000",Seed,1,JKH Capital,1
Seed Round - Orchid,Seed,Seed,"$4,500,000","Apr 7, 2021",Orchid,Orchid is a reproductive technology startup that is capable of detecting rare genetic disorders.,"Biotechnology, Health Care, Medical, mHealth","Women Founded, Women Led","San Francisco, California, United States, North America",www.orchidhealth.com/,,"$4,500,000",Seed,2,—,7
Seed Round - Afriex,Seed,Seed,"$1,200,000","Mar 22, 2021",Afriex,Afriex is a pioneering platform that allows its users to send and receive money to anybody around the globe.,"Finance, Financial Exchanges, Financial Services, Information Technology","Black / African American Founded, Black / African American Led","Oakland, California, United States, North America",www.afriexapp.com/,,"$11,425,000",—,5,Launch Africa,14
Pre Seed Round - Dentulu,Pre-Seed,Seed,"$647,000","Mar 16, 2021",Dentulu,Dentulu is a provider of teledentistry and mobile dentistry solutions to existing non-profits around the world.,"Dental, Health Care, mHealth",—,"Los Angeles, California, United States, North America",www.dentulu.com,,"$2,700,250",Seed,12,—,16
Seed Round - Ox,Seed,Seed,"$3,500,000","Mar 2, 2021",Ox,Ox is an enterprise software provider that develops human-centered automation systems across the supply chain.,"Artificial Intelligence, Enterprise Software, Industrial Automation, Retail Technology, Software, Supply Chain Management","South Asian Founded, Women Founded, Women Led","Bentonville, Arkansas, United States, North America",getox.com,,"$16,200,000",Early Stage Venture,3,"Cortado Ventures, MaC Venture Capital",7
Seed Round - Moonbeam Network,Seed,Seed,"$6,000,000","Mar 30, 2021",Moonbeam Network,Moonbeam is a platform for cross-chain connected applications that unites assets and functionality from many blockchains.,"Blockchain, Network Security, Software",—,"Boston, Massachusetts, United States, North America",moonbeam.network/,,"$7,400,000",Seed,2,CoinFund,17
Seed Round - Netvrk,Seed,Seed,"$490,000","Feb 23, 2021",Netvrk,"Network is a shared virtual reality platform that specializes in blockchain and gaming and features a, patented virtual world generator.","Blockchain, Gaming, Internet, Product Search, Service Industry",—,"New York, New York, United States, North America",www.netvrk.co/,,"$490,000",Seed,1,—,7
Pre Seed Round - Stagger,Pre-Seed,Seed,"$1,300,000","Mar 10, 2021",Stagger,Stagger is a visual storytelling platform helping small businesses drive revenue with better content.,"Content, Information Services, Media and Entertainment, Software",—,"Austin, Texas, United States, North America",www.stagger.com,,"$1,300,000",Seed,2,Active Capital,6
Seed Round - upSWOT,Seed,Seed,"$4,300,000","Mar 15, 2021",upSWOT,upSWOT is a white-label embedded finance tech for banks/FIs powered by 100 API-enabled apps,"Banking, Developer APIs, Finance, Financial Services, FinTech, Software",—,"Fort Mill, South Carolina, United States, North America",upswot.com,,"$4,500,000",Seed,4,—,4
Seed Round - Finicast,Seed,Seed,"$8,700,000","Mar 30, 2021",Finicast,Finicast provides business financial planning and analysis software.,"Analytics, FinTech, Software",—,"San Mateo, California, United States, North America",www.finicast.com,,"$24,273,984",Seed,4,Black Diamond Ventures,1
