Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Modyfi,Seed,Seed,"$7,000,000","Nov 22, 2022",Modyfi,"The image editor you’ve been waiting for. AI-native design, powerful creative tools, and real-time collaboration. All in your browser.","Artificial Intelligence, Photo Editing, Productivity Tools, Software",—,"Los Angeles, California, United States, North America",modyfi.com,,"$9,054,000",Seed,2,New Enterprise Associates,3
Seed Round - Gravitics,Seed,Seed,"$20,000,000","Nov 17, 2022",Gravitics,Gravitics is an aerospace company that designs and manufactures large space structures for human life in space.,"Aerospace, Manufacturing, Space Travel",—,"Seattle, Washington, United States, North America",gravitics.com,,"$20,000,000",Seed,3,Type One Ventures,12
Seed Round - Mother Science,Seed,Seed,"$6,200,000","Nov 1, 2022",Mother Science,Mother Science is a revolutionary biotech beauty brand company develops next-generation skincare treatments.,"Beauty, Cosmetics, Personal Health",—,"Los Angeles, California, United States, North America",www.motherscience.com,,"$6,200,000",Seed,1,Female Founders Fund,19
Seed Round - Meliora Therapeutics,Seed,Seed,"$11,000,000","Sep 29, 2022",Meliora Therapeutics,Meliora Therapeutics is a biotech startup that is developing a machine learning-driven platform.,"Biotechnology, Therapeutics",—,"San Francisco, California, United States, North America",www.melioratherapeutics.com/,,"$11,000,000",Seed,2,"HOF Capital, ZhenFund",10
Seed Round - Climate Club,Seed,Seed,"$9,607,500","Sep 28, 2022",Climate Club,"Climate Club is a carbon reduction platform that focuses on employee education, engagement, and activation.","GreenTech, Information Technology, Sustainability",—,"New York, New York, United States, North America",climateclub.com,,"$9,607,500",Seed,2,"Vestigo Ventures, XYZ Venture Capital",5
Seed Round - Protokinetix,Seed,Seed,"$429,000","Oct 14, 2022",Protokinetix,ProtoKinetix is a research and development company that specializes in cell survival solutions.,"Biotechnology, Health Care, Life Science, Medical Device",—,"Marietta, Ohio, United States, North America",www.protokinetix.com,,"$3,833,900",Seed,18,—,—
Seed Round - Eclipse,Seed,Seed,"$9,000,000","Sep 30, 2022",Eclipse,Eclipse is building the fastest Ethereum L2 by using the Solana Virtual Machine.,"Blockchain, Enterprise Software",—,"San Francisco, California, United States, North America",eclipse.builders/,,"$15,000,000",Seed,2,"DBA, Tribe Capital",7
Pre Seed Round - Love Lifesciences,Pre-Seed,Seed,"$1,000,000","Nov 2, 2022",Love Lifesciences,Love Lifesciences develops medical devices in the medication administration and medication adherence spaces.,"Biotechnology, Health Care, Medical",—,"Overland Park, Kansas, United States, North America",lovelifesciences.com/,,"$1,124,000",Seed,3,GROWKS,1
Seed Round - Daylight,Seed,Seed,"$3,000,000","Nov 30, 2022",Daylight,Daylight is an Application Programming Interface (API) for collecting Web3 benefits.,"Apps, Blockchain, Cryptocurrency",—,"Brooklyn, New York, United States, North America",www.daylight.xyz/,,"$3,000,000",Seed,1,"Chapter One Ventures, Framework Ventures",22
Seed Round - Harmony Baby Nutrition,Seed,Seed,"$6,000,000","Nov 1, 2022",Harmony Baby Nutrition,Harmony is a biotechnology startup that creates human breast milk protein-based infant nutrition designed to help human babies thrive.,"Baby, Biotechnology, Food and Beverage, Health Care, Nutrition",—,"Boston, Massachusetts, United States, North America",www.harmonybabynutrition.com/,,"$7,524,000",Seed,4,"MassVentures, Safar Partners, Zentynel Frontier Investments",8
