Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Phyllo,Seed,Seed,"$2,780,000","Aug 1, 2021",Phyllo,Phyllo provides economy-focused data infrastructure that connects with every creator platform.,"Analytics, Content Creators, Developer APIs, Developer Platform, Developer Tools, Software",—,"San Francisco, California, United States, North America",getphyllo.com/,,"$17,780,000",Early Stage Venture,2,Nexus Venture Partners,5
Seed Round - Humanity,Seed,Seed,"$2,500,000","Aug 4, 2021",Humanity,Humanity is a healthcare company that aims to extend the healthspan of humanity.,"Health Care, Medical, mHealth, Personal Health, Wellness",—,"Boston, Massachusetts, United States, North America",humanity.health/,,"$5,000,000",Seed,3,—,13
Seed Round - Evvy,Seed,Seed,"$5,000,000","Jul 14, 2021",Evvy,Evvy is a developer of at-home vaginal microbiome tests to close the gender health gap and improve female health.,"Biotechnology, Health Care, Women's","Women Founded, Women Led","Nyack, New York, United States, North America",www.evvy.com/,,"$17,000,000",—,2,General Catalyst,6
Pre Seed Round - Character,Pre-Seed,Seed,"$1,000,000","Jul 28, 2021",Character,Character is a modern home improvement brand for the next generation of home dwellers.,"Consumer Goods, DIY, E-Commerce, Home Improvement, Home Services, Lifestyle",Women Led,"Chicago, Illinois, United States, North America",withcharacter.com/,,"$4,000,000",Seed,3,—,8
Seed Round - Metrobi,Seed,Seed,"$2,599,600","Jul 26, 2021",Metrobi,"Metrobi aims to support local food and beverage makers with logistics, financial, and marketing tools and help them expand their businesses.","Artificial Intelligence, Courier Service, Delivery, Delivery Service, Fleet Management, Food Delivery, Last Mile Transportation, Machine Learning, SaaS, Same Day Delivery",—,"Boston, Massachusetts, United States, North America",metrobi.com,,"$3,517,600",—,8,—,6
Seed Round - StatusPro,Seed,Seed,"$5,200,000","Aug 12, 2021",StatusPro,StatusPro is a sports technology company.,—,—,"Los Angeles, California, United States, North America",www.status.pro,,"$5,200,000",Seed,3,"KB Partners, TitletownTech",7
Seed Round - Kangaroo,Seed,Seed,"$3,000,000","Aug 4, 2021",Kangaroo,Kangaroo brings you closer to your favorite celebrities and characters through interactive storytelling.,"Blockchain, Gaming",—,"San Francisco, California, United States, North America",kangaroointeractive.com/,,"$6,300,000",Seed,2,—,2
Seed Round - QuSecure,Seed,Seed,"$2,000,000","Aug 1, 2021",QuSecure,"At QuSecure, our pursuit for discovery and advancement never stops. Introducing - QuProtect™, our software-based quantum security solution.","Communications Infrastructure, Cyber Security, Enterprise Applications, Quantum Computing, Software",—,"San Mateo, California, United States, North America",www.qusecure.com,,"$14,150,000",Early Stage Venture,9,—,2
Seed Round - MealMe,Seed,Seed,"$2,500,000","Aug 3, 2021",MealMe,The Universal Point of Sale API,"Developer APIs, E-Commerce, Food and Beverage, Food Delivery, Software",—,"San Francisco, California, United States, North America",www.mealme.ai/,,"$3,400,000",Seed,4,Palm Drive Capital,6
Seed Round - Via.Delivery,Seed,Seed,"$2,501,000","Aug 8, 2021",Via.Delivery,Buy Online Pickup Anywhere #BOPA for Online Retailers,"B2B, Delivery Service, E-Commerce, Logistics, Retail, Supply Chain Management, Transportation",—,"San Francisco, California, United States, North America",via.delivery/,,"$4,093,000",Seed,4,—,6
Seed Round - Trusty.care,Seed,Seed,"$4,000,000","Jul 22, 2021",Trusty.care,"Trusty.care connects sales, marketing and member success for health insurance companies","Elder Care, Elderly, Health Care, Health Insurance, Insurance, Medical, Pharmaceutical, SaaS, Wellness",—,"New York, New York, United States, North America",trusty.care,,"$15,100,000",Seed,7,"Gaingels, ManchesterStory Group, Rebalance Capital",6
