Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Pre Seed Round - Firstcard,Pre-Seed,Seed,"$3,000,000","Jun 1, 2021",Firstcard,Neobank for college students,FinTech,—,"Menlo Park, California, United States, North America",www.firstcard.app/,,"$7,700,000",Seed,2,—,5
Seed Round - Portal,Seed,Seed,"$8,500,000","Jun 1, 2021",Portal,Portal is a financial services company that trades crypto without putting coins at risk.,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech",—,"San Francisco, California, United States, North America",portaldefi.com,,"$8,500,000",Seed,2,Coinbase Ventures,44
Seed Round - Subspace Labs,Seed,Seed,"$4,500,000","Jun 2, 2021",Subspace Labs,"Subspace is an open, scalable platform for both storage and compute that is fully interoperable with any layer one.","Blockchain, Internet",—,"Palo Alto, California, United States, North America",subspace.network/,,"$37,975,000",—,6,"Hypersphere Ventures, Stratos Technologies",12
Pre Seed Round - Moon,Pre-Seed,Seed,"$2,800,000","Jun 25, 2021",Moon,Moon is a bitcoin challenger bank platform that enables consumers to pay with cryptocurrency.,Internet,—,"New York, New York, United States, North America",paywithmoon.com,,"$3,050,000",Seed,6,—,13
Pre Seed Round - Morpheus XR,Pre-Seed,Seed,"$2,200,000","Jul 1, 2021",Morpheus XR,"Morpheus XR is an immersive virtual reality experience platform for team engagement, communication, and co-creation.","Information Technology, Mobile Apps, Virtual Reality",—,"Boston, Massachusetts, United States, North America",morpheusxr.com,,"$2,200,000",Seed,1,—,4
Seed Round - Acryl Data,Seed,Seed,"$9,000,000","Jun 23, 2021",Acryl Data,We bring clarity to data.,Software,—,"Mountain View, California, United States, North America",www.acryldata.io,,"$30,000,000",Early Stage Venture,2,8VC,5
Seed Round - Allara,Seed,Seed,"$2,500,000","Jun 9, 2021",Allara,Allara is a virtual care team for polycystic ovary syndrome.,"Health Care, Medical, Nutrition, Wellness",—,"Manhattan, New York, United States, North America",allarahealth.com,,"$2,500,000",Seed,1,Global Founders Capital,4
Seed Round - Acelab,Seed,Seed,"$3,450,001","Jun 23, 2021",Acelab,Acelab is a developer of the architecture based online platform that connects architects and manufacturers.,"Architecture, B2B, Construction",—,"Brooklyn, New York, United States, North America",acelabusa.com,,"$8,765,001",—,4,Pillar VC,6
Seed Round - UtilizeCore,Seed,Seed,"$6,100,000","Jun 15, 2021",UtilizeCore,UtilizeCore is a neural network-based platform that enables subscribers to procure subcontractors and deliver quality service.,"Information Services, Internet, Marketplace, SaaS, Software",—,"New York, New York, United States, North America",www.utilizecore.com,,"$22,750,000",Early Stage Venture,2,boldstart ventures,11
Seed Round - Moneymade,Seed,Seed,"$2,750,000","Jun 29, 2021",Moneymade,Moneymade is an online investment platform.,"Impact Investing, Online Portals, Real Estate Investment",—,"Los Angeles, California, United States, North America",moneymade.io,,"$2,750,000",Seed,2,Alpaca VC,5
Seed Round - Jet Protocol Holdings,Seed,Seed,"$4,800,000","Jun 10, 2021",Jet Protocol Holdings,Jet Protocol Holdings is an operator of a lending platform.,"Blockchain, Financial Services, FinTech, Lending",—,"Greenwich, Connecticut, United States, North America",jetprotocol.io,,"$11,600,000",Seed,2,—,14
Pre Seed Round - Nash,Pre-Seed,Seed,"$100,000","May 25, 2021",Nash,Modern Finance OS for borderless businesses with operations in Africa,"Banking, Finance, Financial Services, FinTech, Payments",—,"San Francisco, California, United States, North America",getnashglobal.com/,,"$600,000",Seed,3,Norrsken Impact Accelerator,2
Seed Round - Klasha,Seed,Seed,"$100,000","May 27, 2021",Klasha,Cross-border commerce solutions for Africa.,"E-Commerce, Information Technology","Black / African American Founded, Black / African American Led, Women Founded, Women Led","San Francisco, California, United States, North America",www.klasha.com,,"$4,820,000",Seed,6,EXPERT DOJO,3
Seed Round - Switchboard,Seed,Seed,"$3,500,000","Jun 17, 2021",Switchboard,Switchboard allows developers to publish data on-chain by creating data feeds from API.,"Blockchain, Developer APIs",—,"Tallahassee, Florida, United States, North America",switchboard.xyz,,"$3,650,000",—,2,Lemniscap,9
Pre Seed Round - Crowded,Pre-Seed,Seed,"$1,471,000","Jul 1, 2021",Crowded,Integrated banking and financial management for membership groups.,"Banking, Communities, FinTech, Non Profit",—,"New York, New York, United States, North America",bankingcrowded.com,,"$6,353,000",Seed,3,—,4
Seed Round - BurnRate,Seed,Seed,"$800,000","Jul 1, 2021",BurnRate,"BurnRate combines Revenue, Headcount, & Demand planning into a single source of clarity for optimizing Marketing, Sales, & Customer Success.","Business Development, Information Services, Marketing, Sales",—,"Tallahassee, Florida, United States, North America",burnrate.io,,"$900,000",Seed,2,Tale Venture Partners,3
Seed Round - BlueX Trade,Seed,Seed,"$4,645,000","Jul 6, 2021",BlueX Trade,BlueX is the trusted trade finance network amplifying safer and easier global trade.,"FinTech, Freight Service, Shipping, Supply Chain Management",—,"San Francisco, California, United States, North America",www.bluextrade.com/,,"$15,226,445",—,4,Navigate Ventures LLC,6
Seed Round - United Aircraft Technologies,Seed,Seed,"$1,350,000","Jun 10, 2021",United Aircraft Technologies,UAT provides the aerospace and electrical vehicle industry with a solution that decreases weight and improves maintenance through AR and AI.,"Aerospace, Software","Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led","Troy, New York, United States, North America",www.uairtek.com/,,"$2,228,000",Seed,4,Hudson Valley Startup Fund,4
Pre Seed Round - Nomad Data,Pre-Seed,Seed,"$1,600,000","Jun 7, 2021",Nomad Data,Nomad Data helps companies become data enabled. We make it easy to find external data to meet any of your business challenges.,"Big Data, Data Integration, Database, SaaS",—,"New York, New York, United States, North America",www.nomad-data.com/,,"$4,800,000",Seed,2,Bloomberg Beta,7
Seed Round - Bundle,Seed,Seed,"$600,000","Jun 1, 2021",Bundle,Bundle is an online marketplace that matches homebuyers with mortgage loan officers anonymously to eliminate spam calls.,"Financial Services, Internet, Real Estate",—,"Charlotte, North Carolina, United States, North America",bundleloan.com,,"$600,000",Seed,3,"CFV Ventures, Charlotte Angel Fund",4
Seed Round - Mailmodo,Seed,Seed,"$2,000,000","Jun 30, 2021",Mailmodo,Mailmodo is an email marketing solution that enables users to create and send app-like interactive AMP emails.,"Advertising, Email Marketing, Marketing",—,"Lewes, Delaware, United States, North America",www.mailmodo.us,,"$2,000,000",Seed,1,"Surge, Y Combinator",9
Pre Seed Round - Dyrt,Pre-Seed,Seed,"$400,000","May 30, 2021",Dyrt,Dyrt builds a platform to simplify food waste management for major producers and ensure compliance with evolving regulations.,"Food and Beverage, GovTech, Software, Waste Management",—,"Los Angeles, California, United States, North America",www.dyrt.co/,,"$920,000",Seed,4,—,1
Seed Round - Yummy,Seed,Seed,"$4,500,000","Jun 16, 2021",Yummy,Yummy is a last-mile and ridesharing app in LATAM,"Apps, Consumer, E-Commerce, Food Delivery, Internet, Logistics, Online Portals",—,"San Francisco, California, United States, North America",www.yummysuperapp.com/,,"$79,934,878",Early Stage Venture,4,JAM Fund,22
Seed Round - Kadama,Seed,Seed,"$1,700,000","Jun 7, 2021",Kadama,"Kadama is a Gen-Z tutoring marketplace with over 2M downloads, raised a $1.7M seed round, and has 2.5M followers on TikTok and Instagram.","Apps, EdTech, Education, Internet, Mobile Apps",Middle Eastern / North African Founded,"Seattle, Washington, United States, North America",www.kadama.com,,"$1,700,000",Seed,3,Grishin Robotics,5
Seed Round - Surely Wines,Seed,Seed,"$2,500,000","May 17, 2021",Surely Wines,Surely provides non-alcoholic low-sugar and low-calorie wines.,—,—,"Austin, Texas, United States, North America",www.hisurely.com/,,"$2,500,000",Seed,1,—,4
Seed Round - Cellebration Life Sciences,Seed,Seed,"$2,804,527","Jun 2, 2021",Cellebration Life Sciences,Cellebration Life Sciences offers research and treatments for autoimmune diseases and orthopedic injuries.,"Biotechnology, Health Care, Life Science, Medical",—,"San Diego, California, United States, North America",cellebrationlifesciences.com,,"$2,804,527",Seed,1,—,—
Pre Seed Round - ElectricFish,Pre-Seed,Seed,"$336,000","Jun 23, 2021",ElectricFish,"We build resilient and flexible EV charging infrastructure to accelerate decarbonization, and support community adaptation to climate risks.","Clean Energy, Electric Vehicle, Energy Management, Energy Storage, Power Grid","Black / African American Led, East Asian Led, Hispanic / Latine Led, South Asian Led, Women Founded","Fremont, California, United States, North America",www.electricfish.co,,"$2,626,000",Seed,8,—,1
Pre Seed Round - PesaChoice,Pre-Seed,Seed,"$100,000","May 27, 2021",PesaChoice,PesaChoice is an HR Enabled financial technology providing salary advances to people with verifiable income.,"Financial Services, FinTech, Human Resources, Recruiting",—,"Woodland Hills, California, United States, North America",www.pesachoice.com,,"$300,000",Seed,3,Norrsken Impact Accelerator,1
Pre Seed Round - Fullreach,Pre-Seed,Seed,"€250,000","Jun 15, 2021",Fullreach,Fullreach creates disruptive commission-based solutions.,"Advertising Platforms, Insurance",—,"Oakland, California, United States, North America",fullreach.io,,"€750,000",M&A,2,Launchpad Capital,2
Seed Round - Boombox,Seed,Seed,"$2,000,000","Jun 1, 2021",Boombox,"Boombox enables and elevates musicians to produce hipper, more motivational art.","Music, Software",—,"San Francisco, California, United States, North America",boombox.io/,,"$9,000,000",Seed,2,super{set},1
Pre Seed Round - Unblocked,Pre-Seed,Seed,"$5,000,000","Jul 1, 2021",Unblocked,Unblocked focuses on transforming the future of music and entertainment.,"Blockchain, Internet, Media and Entertainment, Music",—,"Los Angeles, California, United States, North America",onunblocked.com,,"$15,000,000",Seed,2,—,1
Seed Round - Ksana Health,Seed,Seed,"$2,000,000","Jun 16, 2021",Ksana Health,Ksana Health focuses on collecting data related to mental health and transfer it from users to healthcare practitioners through an app.,"Apps, Health Care, Medical",—,"Eugene, Oregon, United States, North America",ksanahealth.com/,,"$2,000,000",Seed,1,"Apeiron Investment Group, re.Mind Capital",9
Seed Round - SafetySit,Seed,Seed,"$20,000","Jun 1, 2021",SafetySit,SafetySit develops an assistive therapeutic medical device to support disabled or recovering patients to sit in an upright position.,"Health Care, Medical Device, Wellness",—,"Detroit, Michigan, United States, North America",www.safetysit.info,,"$20,000",Seed,5,Conquer Accelerator,1
Seed Round - Lifesaver,Seed,Seed,"$125,000","May 25, 2021",Lifesaver,"We're the first universal banking platform for managing, discovering and opening accounts across banks and credit unions.","Financial Services, FinTech, Personal Finance","Hispanic / Latine Founded, Women Founded, Women Led","New York, New York, United States, North America",www.getlifesaver.com/,,"$263,333",Seed,2,Financial Solutions Lab,2
Pre Seed Round - Castos,Pre-Seed,Seed,"$756,000","Jun 2, 2021",Castos,"Castos enables brands to create public podcasts to grow their audience, and private podcasts to offer exclusive, member-only content.",Podcast,—,"Tinley Park, Illinois, United States, North America",castos.com,,"$756,000",Seed,2,—,2
Pre Seed Round - WagerWire,Pre-Seed,Seed,"$360,000","Jul 1, 2021",WagerWire,WagerWire is an innovative marketplace where bettors can buy and sell previously placed sports bets.,"Affiliate Marketing, Data Integration, E-Commerce, Enterprise Software, Financial Exchanges, Internet, Marketplace, Media and Entertainment, Trading Platform",—,"Los Angeles, California, United States, North America",wagerwire.com,,"$3,360,000",Seed,2,—,1
Seed Round - Chef Robotics,Seed,Seed,"$7,700,000","May 13, 2021",Chef Robotics,Chef Robotics is a robotics and artificial intelligence company serving the food industry.,"Artificial Intelligence, Machine Learning, Restaurants, Robotics",—,"San Francisco, California, United States, North America",chefrobotics.ai/,,"$7,700,000",Seed,2,—,12
Seed Round - reAlpha,Seed,Seed,"$6,000,000","Jun 10, 2021",reAlpha,ReAlpha facilitates real estate investing in the vacation rental sector.,"Marketplace, Property Management, Real Estate Investment, Rental Property, Vacation Rental","South Asian Founded, South Asian Led","Dublin, Ohio, United States, North America",realpha.com,,"$206,100,000",Seed,3,"Brent Crawford, Crawford Hoying",2
