Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Cocoon,Seed,Seed,"$3,000,000","Jun 4, 2019",Cocoon,Cocoon is a dedicated space for the most important people in your life.,"Internet, Messaging, Social Media",—,"San Francisco, California, United States, North America",cocoon.com/,,"$3,000,000",M&A,1,Lerer Hippeau,10
Seed Round - SIMULATE,Seed,Seed,"$7,000,000","Jul 9, 2019",SIMULATE,SIMULATE's mission is to upgrade the world to a positive food system.,"Biotechnology, Food and Beverage, Food Processing, Nutrition",—,"New York, New York, United States, North America",simulate.com,,"$57,000,000",Early Stage Venture,2,McCain Foods,14
Seed Round - Affective Markets,Seed,Seed,"$7,500","Jul 1, 2019",Affective Markets,Affective Markets captures Consumer Emotion insights to boost the connection of consumers to the brand and products and drive growth,"Brand Marketing, E-Commerce, Fashion, Marketing",—,"Sunnyvale, California, United States, North America",www.affectivemarkets.com/,,"$307,500",Seed,3,—,1
Seed Round - Silo,Seed,Seed,"$3,000,000","May 21, 2019",Silo,"Silo is a wholesale food marketplace that enables customers to buy and sell produce, protein, dairy, and shelf-stable food quickly.","Agriculture, AgTech, Food and Beverage, Marketplace, Software",Women Founded,"San Francisco, California, United States, North America",usesilo.com,,"$169,000,000",Late Stage Venture,5,"Garry Tan, Haystack, Initialized Capital",10
Seed Round - Headway,Seed,Seed,"$4,500,000","Jul 11, 2019",Headway,Headway is building a new mental healthcare system that everyone can access.,"Health Care, Information Technology, Insurance, Therapeutics",—,"New York, New York, United States, North America",headway.co,,"$100,500,000",Early Stage Venture,4,Accel,2
Seed Round - Ceed House,Seed,Seed,"$1,000,000","May 30, 2019",Ceed House,Reservationless Hotel,"Hospitality, Internet of Things, Real Estate, Retail Technology, Travel",—,"New York, New York, United States, North America",www.ceed.house,,"$1,000,000",Seed,1,Legendary Ventures,1
Pre Seed Round - Sleepyhead,Pre-Seed,Seed,"$375,000","Jun 30, 2019",Sleepyhead,Sleepyhead delivers comfort through our premium mattress toppers that are tailored to fit college student’s needs.,"Consumer Goods, E-Commerce, Furniture, Green Consumer Goods, Hardware, Lifestyle, Retail",—,"Los Angeles, California, United States, North America",Sleepyheadusa.com,,"$385,000",Seed,2,Andrew Heyer,3
"Seed Round - WellsCare Co.,Ltd",Seed,Seed,"₩6,000,000,000","May 30, 2019","WellsCare Co.,Ltd","manufacturing, Wholesale and retail","Health Care, Manufacturing",—,"Los Angeles, California, United States, North America",www.wellscare.net,,"₩6,000,000,000",—,4,—,1
Pre Seed Round - Uncanny,Pre-Seed,Seed,"$585,000","Jun 30, 2019",Uncanny,Uncanny is an AI production team in a box for live streamers and content creators that gives them broadcasting super-powers.,"Broadcasting, Software, Video Games, Video Streaming",—,"Boulder, Colorado, United States, North America",live.uncanny.gg,,"$1,358,000",Seed,3,Techstars,2
Pre Seed Round - Prophet Exchange,Pre-Seed,Seed,"$1,100,000","Jul 1, 2019",Prophet Exchange,"Peer to peer, high frequency sports betting exchange.","Finance, Gambling, Information Technology, Software, Sports",—,"Hoboken, New Jersey, United States, North America",prophetbettingexchange.com/,,"$18,600,000",Early Stage Venture,4,—,3
Pre Seed Round - RecruitBot,Pre-Seed,Seed,"$3,000,000","May 24, 2019",RecruitBot,RecruitBot provides recruitment services using big data and machine learning technologies.,"Artificial Intelligence, Big Data, Machine Learning, Recruiting",—,"San Francisco, California, United States, North America",www.recruitbot.com/,,"$11,200,000",Seed,2,—,2
