Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Totient,Seed,Seed,"$10,000,000","Sep 10, 2020",Totient,Totient is an AI-driven biotechnology company that leverages tertiary lymphoid structures.,"Artificial Intelligence, Biotechnology, Life Science, Machine Learning",—,"Cambridge, Massachusetts, United States, North America",totient.bio/,,"$10,000,000",M&A,2,—,12
Seed Round - Toolbox,Seed,Seed,"$2,150,000","Sep 1, 2020",Toolbox,"Modern financial operating system for construction, maintenance & repair contractors","FinTech, Internet, Small and Medium Businesses, Software","Black / African American Founded, Black / African American Led","New York, New York, United States, North America",www.trytoolbox.com/,,"$8,250,000",Seed,3,Y Combinator,5
Seed Round - Lume Health,Seed,Seed,"$1,000,000","Aug 24, 2020",Lume Health,"Better banking for nurses - earned wage access, student loans, financial wellness.","Employment, Health Care, Professional Networking",—,"New York, New York, United States, North America",uselume.com,,"$1,000,000",Seed,1,Y Combinator,2
Seed Round - Aquarium,Seed,Seed,"$125,000","Aug 22, 2020",Aquarium,Aquarium is expertise in making machine learning accessible to its customers that helps to simplify their models by improving datasets.,"Analytics, Artificial Intelligence, Developer APIs, Information Technology, Machine Learning, Software",—,"San Francisco, California, United States, North America",www.aquariumlearning.com/,,"$2,725,000",Seed,2,Y Combinator,2
Seed Round - Current Foods,Seed,Seed,"$150,000","Aug 24, 2020",Current Foods,Current Foods creates plant-based alternatives for people's seafood favorites.,"Biotechnology, Food and Beverage, Food Processing",Women Founded,"San Francisco, California, United States, North America",currentfoods.com,,"$21,204,677",M&A,8,"Good Seed Ventures, Y Combinator",3
Seed Round - Syntegra,Seed,Seed,"$5,625,000","Aug 28, 2020",Syntegra,Syntegra applies state-of-the-art machine learning models to create synthetic healthcare datasets.,"Artificial Intelligence, Health Care, Information Technology, Machine Learning",—,"San Francisco, California, United States, North America",www.syntegra.io,,"$5,625,000",Seed,2,WVV Capital,11
Pre Seed Round - Hipporello,Pre-Seed,Seed,"$750,000","Sep 1, 2020",Hipporello,Hipporello is a no-code power-up building platform for Trello.,Software,—,"Carmichael, California, United States, North America",www.hipporello.com,,"$2,550,000",Seed,2,—,2
Seed Round - Hyphen,Seed,Seed,"$7,000,000","Aug 31, 2020",Hyphen,"Hyphen augments kitchens with automated tools that are designed to work for people, not instead of them.","Artificial Intelligence, Industrial Automation, Restaurants, Robotics, SaaS",—,"San Jose, California, United States, North America",usehyphen.com/,,"$58,000,000",—,4,Marc Rowan,8
Seed Round - Firstbase,Seed,Seed,"$2,100,000","Aug 22, 2020",Firstbase,Firstbase is a remote work platform that enables companies to track and manage physical equipment assets.,"IT Management, Management Information Systems, Software",—,"Wilmington, Delaware, United States, North America",firstbase.com,,"$65,100,000",Early Stage Venture,6,Alpaca VC,10
Seed Round - Enable Medicine,Seed,Seed,"$3,624,996","Aug 26, 2020",Enable Medicine,Enable medicine is a biotechnology company that develops biological cartography tools to generate cellular maps that help in drug discovery.,"Biotechnology, Health Care, Medical",—,"Menlo Park, California, United States, North America",enablemedicine.com,,"$63,624,996",Early Stage Venture,2,—,1
Seed Round - Relate,Seed,Seed,"₩200,000,000","Aug 31, 2020",Relate,Collaborative Sales Management and CRM Software,"Information Technology, Software",East Asian Founded,"San Francisco, California, United States, North America",www.relate.so/,,"$2,282,126",—,6,BonAngels Venture Partners,1
Pre Seed Round - LiteraSeed,Pre-Seed,Seed,"$110,000","Sep 1, 2020",LiteraSeed,We recapture lost revenue and bridge care gaps by helping at-risk patients overcome communication barriers with their health providers.,"Health Care, mHealth",—,"Phoenix, Arizona, United States, North America",literaseed.io,,"$366,000",Seed,2,—,2
Seed Round - Draftwise,Seed,Seed,"$2,400,000","Sep 6, 2020",Draftwise,DraftWise deals with knowledge management and business intelligence that assists law firms to procure quality contracts swiftly.,"Document Management, Enterprise Software, Legal",—,"New York, New York, United States, North America",www.draftwise.com/,,"$7,950,000",Seed,6,—,3
Seed Round - Liyfe,Seed,Seed,"$125,000","Aug 25, 2020",Liyfe,Digital Nurse to Automate Symptom Assessment and Risk Prediction—Oncology & NASH,Health Care,"Women Founded, Women Led","New York, New York, United States, North America",liyfe.io,,"$125,000",Seed,3,Y Combinator,1
Seed Round - PredxBio,Seed,Seed,"$463,257","Aug 13, 2020",PredxBio,PredxBio is a computational pathology company developing AI tools to analyze whole slide image pathology samples based on spatial analytics.,"Analytics, Artificial Intelligence, Biotechnology, Clinical Trials, Medical",—,"Pittsburgh, Pennsylvania, United States, North America",predxbio.com/,,"$1,064,578",Seed,2,—,—
Seed Round - Turing.com,Seed,Seed,"$14,000,000","Aug 25, 2020",Turing.com,"Turing is an information technology company that enables start-ups, businesses, and organizations to hire software engineers.","Freelance, Information Technology, Software, Software Engineering","South Asian Founded, South Asian Led","Palo Alto, California, United States, North America",turing.com/MVJmQ7,,"$159,185,000",Late Stage Venture,13,Foundation Capital,17
Seed Round - SWARM Engineering,Seed,Seed,"$474,573","Sep 8, 2020",SWARM Engineering,"SWARM enables devices to intelligently collaborate, optimizing processes automatically.","Artificial Intelligence, Internet of Things, Logistics, Software, Supply Chain Management",—,"Irvine, California, United States, North America",swarm.engineering/,,"$3,214,852",Seed,4,—,—
Seed Round - TaxTaker,Seed,Seed,"$3,500,000","Aug 15, 2020",TaxTaker,"TaxTaker identifies, applies, and secures R&D Tax Credits for Startups and SMBs.","FinTech, Information Technology, Software","Women Founded, Women Led","Austin, Texas, United States, North America",taxtaker.com,,"$3,500,000",Seed,1,Golden Section,3
Pre Seed Round - The Plant Based Seafood Co,Pre-Seed,Seed,"$75,000","Aug 19, 2020",The Plant Based Seafood Co,Producer of plant-based seafood alternatives,—,—,"Gwynn, Virginia, United States, North America",www.plantbasedseafoodco.com,,"$75,000",Seed,1,HATCH Aquaculture Accelerator,1
