Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Noetik,Seed,Seed,"$14,000,000","Sep 7, 2023",Noetik,Noetik is an AI-native biotechnology company.,"Biotechnology, Life Science",—,"South San Francisco, California, United States, North America",www.noetik.ai/,,"$14,000,000",Seed,1,DCVC,13
Seed Round - Integral,Seed,Seed,"$6,900,000","Sep 5, 2023",Integral,Integral enables company to work with healthcare data.,Health Care,—,"San Francisco, California, United States, North America",useintegral.com/,,"$6,900,000",Seed,2,"Haystack, The General Partnership, Virtue",9
Seed Round - Facets.cloud,Seed,Seed,"$4,000,000","Aug 31, 2023",Facets.cloud,A Developer Experience Platform to help organisations bootstrap and advance their DevOps journey.,"PaaS, Software",—,"San Francisco, California, United States, North America",www.facets.cloud,,"$4,000,000",Seed,1,3one4 Capital,7
Seed Round - Mindtrip,Seed,Seed,"$7,000,000","Sep 7, 2023",Mindtrip,Mindtrip operates as an AI assistant that provide travel data that includes maps with suggested places to visit.,"Artificial Intelligence, Travel",—,"San Francisco, California, United States, North America",mindtrip.ai/,,"$7,000,000",Seed,1,Costanoa Ventures,1
Seed Round - D3,Seed,Seed,"$5,000,000","Sep 5, 2023",D3,D3 its goal is to transform the domain name industry by effortlessly connecting Web 1-3.,Web Development,—,"Las Vegas, Nevada, United States, North America",d3.inc,,"$5,000,000",Seed,1,Shima Capital,11
Pre Seed Round - 0xPass,Pre-Seed,Seed,"$1,800,000","Sep 11, 2023",0xPass,"0xPass develops a wallet connector with inbuilt support for authentication, identity management, and account abstraction.","Data Integration, Identity Management, Software",—,"San Francisco, California, United States, North America",0xpass.io/,,"$1,800,000",Seed,1,Balaji Srinivasan,12
Seed Round - Innovac Therapeutics,Seed,Seed,"$18,000,000","Sep 1, 2023",Innovac Therapeutics,Innovac Therapeutics operates as a biotechnology company.,"Biotechnology, Lifestyle, Medical, Pharmaceutical",—,"Cambridge, Massachusetts, United States, North America",www.innovactx.com/,,"$18,000,000",Seed,1,—,4
Seed Round - Rejuvenation Technologies,Seed,Seed,"$10,600,000","Sep 6, 2023",Rejuvenation Technologies,Rejuvenation Technologies is a biotechnology company that developed nucleoside-modified TERT mRNA to safely and rapidly extend telomeres.,"Biotechnology, Health Care",—,"Mountain View, California, United States, North America",www.rejuvenationtech.com/,,"$15,200,000",Seed,8,Khosla Ventures,6
Seed Round - Weekday,Seed,Seed,"$2,200,000","Aug 24, 2023",Weekday,Weekday provides hiring solutions for startups.,"Human Resources, Information Technology, Recruiting",—,"San Francisco, California, United States, North America",hiringclub.weekday.works/,,"$2,200,000",Seed,3,Venture Highway,1
Pre Seed Round - Itana,Pre-Seed,Seed,"$2,000,000","Sep 6, 2023",Itana,"Itana was founded with the goal of creating Africa's ideal technology environment, where the brightest minds could interact and flourish.","Environmental Engineering, Infrastructure",—,"San Francisco, California, United States, North America",www.itana.africa,,"$5,087,001",Seed,3,"Amplo, LocalGlobe",4
