Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Jeeves,Seed,Seed,"$5,000,000","Nov 12, 2020",Jeeves,Jeeves is a fintech company that focuses on expense management and payments.,"Banking, Credit Cards, Financial Services, FinTech, Payments",—,"New York, New York, United States, North America",www.tryjeeves.com/,,"$368,000,000",—,6,Y Combinator,12
Seed Round - Robot Ventures,Seed,Seed,"$4,000,000","Sep 30, 2020",Robot Ventures,Robot Ventures is a (pre-)seed investor in exceptional fintech and blockchain companies.,"Blockchain, FinTech, Venture Capital",—,"San Francisco, California, United States, North America",robvc.com/,,"$5,000,000",Seed,2,Galaxy Digital,2
Seed Round - Moonbeam Network,Seed,Seed,"$1,400,000","Sep 23, 2020",Moonbeam Network,Moonbeam is a platform for cross-chain connected applications that unites assets and functionality from many blockchains.,"Blockchain, Network Security, Software",—,"Boston, Massachusetts, United States, North America",moonbeam.network/,,"$7,400,000",Seed,2,Hypersphere Ventures,6
Seed Round - Pachama,Seed,Seed,"$5,000,000","Sep 15, 2020",Pachama,Pachama is an AI-powered marketplace for nature carbon removal credits.,"Artificial Intelligence, CleanTech, Forestry, Machine Learning, Marketplace","Hispanic / Latine Founded, Hispanic / Latine Led","San Francisco, California, United States, North America",www.pachama.com,,"$79,250,000",Early Stage Venture,7,Breakthrough Energy Ventures,15
Seed Round - Lora DiCarlo Inc.,Seed,Seed,"$3,500,000","Oct 5, 2020",Lora DiCarlo Inc.,The disruptive consumer sexual health & wellness brand that empowers individuals to explore their sexuality with positivity & confidence.,"Consumer Goods, Health Care, Mechanical Engineering, Sex Tech, Wellness","Women Founded, Women Led","Bend, Oregon, United States, North America",www.loradicarlo.com,,"$9,878,637",Early Stage Venture,8,"Cara Delevingne, Gaingels, Riverbend Capital",6
Seed Round - Simulated Inanimate Models,Seed,Seed,"$400,000","Sep 17, 2020",Simulated Inanimate Models,"Simulated Inanimate Models provides preoperative planning, advanced technical skills, and surgical cognition.","Health Care, Medical, Training",—,"Pittsford, New York, United States, North America",www.simsurgeries.com/,,"$724,964",Seed,3,—,1
Seed Round - Datasaur,Seed,Seed,"$2,800,000","Sep 29, 2020",Datasaur,Datasaur develops productive tools that design for data labelling needs.,"Artificial Intelligence, Information Technology, Productivity Tools",—,"Sunnyvale, California, United States, North America",www.datasaur.ai,,"$7,900,000",Seed,3,—,3
Seed Round - Cents,Seed,Seed,"$4,250,000","Nov 1, 2020",Cents,"Cents provides modernized payments, employee management, machine tracking, and plant/hub operations.",Payments,—,"San Francisco, California, United States, North America",trycents.com,,"$9,249,999",Seed,2,Bessemer Venture Partners,10
Pre Seed Round - Via.Delivery,Pre-Seed,Seed,"$318,000","Oct 20, 2020",Via.Delivery,Buy Online Pickup Anywhere #BOPA for Online Retailers,"B2B, Delivery Service, E-Commerce, Logistics, Retail, Supply Chain Management, Transportation",—,"San Francisco, California, United States, North America",via.delivery/,,"$4,093,000",Seed,4,—,3
Seed Round - Twentyeight Health,Seed,Seed,"$5,100,000","Oct 14, 2020",Twentyeight Health,"Twentyeight Health is a women's healthcare company providing birth control, vitamins, and medical treatments.","Health Care, Information Services, Online Portals, Wellness","East Asian Founded, Women Founded","Brooklyn, New York, United States, North America",twentyeighthealth.com,,"$13,400,000",Seed,3,Third Prime,11
Seed Round - HAGS,Seed,Seed,"$1,000,000","Sep 28, 2020",HAGS,HAGS is a platform for high school students built on top of Snapchat.,"Internet, Social Media","Women Founded, Women Led","New York, New York, United States, North America",hags.app/,,"$1,000,000",Seed,1,Google Ventures,3
Seed Round - Theseus AI,Seed,Seed,"$850,000","Oct 1, 2020",Theseus AI,Theseus AI builds intelligence to improve health outcomes.,"Artificial Intelligence, Health Care, Hospital",—,"Santa Monica, California, United States, North America",theseusai.com,,"$850,000",Seed,1,—,1
Seed Round - Tract,Seed,Seed,"$2,000,000","Oct 30, 2020",Tract,"For kids, by kids online community and content marketplace for student-directed learning",Internet,—,"San Francisco, California, United States, North America",tract.app/,,"$9,000,000",Seed,3,—,9
Seed Round - Additor,Seed,Seed,"₩600,000,000","Oct 30, 2020",Additor,Additor is the collaborative knowledge base for distributed teams.,"Apps, B2B, B2C, Collaboration, Enterprise, Knowledge Management, Productivity Tools, SaaS, Software",—,"San Francisco, California, United States, North America",additor.io/,,"₩600,000,000",Seed,3,—,2
Seed Round - Karma Wellness Water,Seed,Seed,"$221,671","Nov 11, 2020",Karma Wellness Water,"Karma Wellness Water is a manufacturer of naturally enhanced, flavored spring water.","Food and Beverage, Food Processing, Manufacturing",—,"Rochester, New York, United States, North America",drinkkarma.com/,,"$221,671",Seed,2,—,1
Seed Round - Hiki,Seed,Seed,"$1,300,000","Nov 9, 2020",Hiki,Autistic friendship and dating platform,—,—,"New York, New York, United States, North America",www.hikiapp.com,,"$1,420,000",—,3,Chaac Ventures,2
Seed Round - Solvo,Seed,Seed,"$3,000,000","Oct 7, 2020",Solvo,"SaaS, Cloud, Security, Data, Entitlements","Cloud Infrastructure, Cloud Security, Developer Platform, Software",Women Led,"Palo Alto, California, United States, North America",www.solvo.cloud,,"$3,000,000",Seed,2,—,2
Seed Round - LiftUp Enterprises,Seed,Seed,"$1,750,000","Oct 26, 2020",LiftUp Enterprises,"LiftUp Enterprises is a for profit social enterprise that creates, grows, and scales profitable entities that are managed with dignity.","Communities, Social","Hispanic / Latine Founded, Hispanic / Latine Led","Chicago, Illinois, United States, North America",liftupchicago.org,,"$3,900,000",Seed,4,—,1
Pre Seed Round - MD Integrations,Pre-Seed,Seed,"$135,000","Sep 21, 2020",MD Integrations,MD Integrations is a telemedicine company that provides virtual healthcare services.,"Health Care, Medical, Wellness",—,"New York, New York, United States, North America",mdintegrations.com,,"$135,000",Seed,1,XRC Ventures,1
Seed Round - Zero Grocery,Seed,Seed,"$3,000,000","Sep 23, 2020",Zero Grocery,Zero Grocery provides a convenient zero-waste grocery delivery service.,"Consumer Goods, Delivery Service, Grocery, Waste Management","Black / African American Founded, Black / African American Led, Women Founded, Women Led","Berkeley, California, United States, North America",www.zerogrocery.com,,"$14,900,000",Seed,6,1984 Ventures,20
Pre Seed Round - Pallet,Pre-Seed,Seed,"$1,000,000","Nov 10, 2020",Pallet,Pallet is an infrastructure for community-driven hiring markets.,"Human Resources, Information Services, Internet, Recruiting, Search Engine, Staffing Agency",—,"New York, New York, United States, North America",pallet.com/,,"$4,857,279",Seed,2,—,3
Pre Seed Round - Veracity Protocol,Pre-Seed,Seed,"$2,000,000","Oct 31, 2020",Veracity Protocol,The Standard of Trust for Physical Objects – Protect anything with Vision AI,"Artificial Intelligence, B2B, Computer Vision, Information Technology, SaaS, Security",—,"New York, New York, United States, North America",veracityprotocol.org/,,"$4,800,000",Seed,3,Tensor Ventures,3
Seed Round - b.well Connected Health,Seed,Seed,"$84,407","Sep 30, 2020",b.well Connected Health,"b.well Connected Health provides an integrated solution for consumer engagement, holistic health management, and cost containment.","Biotechnology, Electronic Health Record (EHR), Health Care, Health Insurance, Personal Health, Pharmaceutical","Women Founded, Women Led","Baltimore, Maryland, United States, North America",icanbwell.com/,,"$58,769,407",Early Stage Venture,9,—,1
Seed Round - RxAll,Seed,Seed,"$100,000","Sep 21, 2020",RxAll,RxAll is a Deep Learning-Hyperspectral IoT Platform for the authentication and real-time global tracking of quality of drugs.,"Artificial Intelligence, Big Data, Database, Delivery Service, Enterprise, Hardware, Internet of Things, Software",Women Founded,"New Haven, Connecticut, United States, North America",www.rxall.net/,,"$6,555,137",Seed,7,Founders Factory Africa,1
Seed Round - CoreCare,Seed,Seed,"$3,000,000","Oct 29, 2020",CoreCare,CoreCare is a healthcare financial technology company developing solutions that make it easy for healthcare providers to collect payments.,"FinTech, Health Care, Payments, Software",—,"New York, New York, United States, North America",corecare.io/,,"$3,125,000",Seed,2,—,15
Seed Round - PROTO,Seed,Seed,"$3,000,000","Oct 30, 2020",PROTO,PORTL Hologram offers at-home hologram machines.,"Brand Marketing, Digital Signage, Higher Education, Media and Entertainment, Retail Technology, Software, Telecommunications, Unified Communications, Video Conferencing, Video Streaming",—,"Los Angeles, California, United States, North America",protohologram.com/,,"$22,500,000",—,4,—,5
