Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Hatica,Seed,Seed,"$3,700,000","Feb 9, 2023",Hatica,Hatica is an Engineering Analytics to boost developer productivity,"Analytics, Developer Tools, Software Engineering",—,"San Francisco, California, United States, North America",www.hatica.io,,"$4,600,000",Seed,2,Surge,10
Seed Round - Alongside,Seed,Seed,"$11,000,000","Feb 15, 2023",Alongside,Buy the crypto market in a single token.,"Cryptocurrency, FinTech",—,"San Francisco, California, United States, North America",www.alongside.xyz,,"$11,000,000",Seed,2,a16z crypto,16
Seed Round - Duo Oncology,Seed,Seed,"$3,000,000","Feb 8, 2023",Duo Oncology,Duo Oncology develops a new nanoparticle technology specially tailored to penetrate established tumors.,"Biotechnology, Medical, Pharmaceutical",—,"Pittsburgh, Pennsylvania, United States, North America",www.duooncology.com/,,"$3,000,000",Seed,1,SeedFolio,6
Pre Seed Round - Shield,Pre-Seed,Seed,"$2,100,000","Jan 13, 2023",Shield,Shield is an AI-powered discord bot that helps web3 communities grow securely.,—,—,"Miami, Florida, United States, North America",www.getshield.xyz/,,"$2,100,000",Seed,2,—,19
Seed Round - Architect,Seed,Seed,"$5,000,000","Jan 20, 2023",Architect,Architect provides a secure and customizable trading infrastructure while interfacing with crypto custodians and self-hosted wallets.,"Blockchain, Cryptocurrency, Digital Marketing",—,"New York, New York, United States, North America",www.architect.xyz,,"$5,000,000",Seed,1,—,9
Seed Round - Frond,Seed,Seed,"$3,300,000","Feb 7, 2023",Frond,A better way to build community online,"Communities, Social, Software",—,"San Francisco, California, United States, North America",www.frond.com,,"$3,300,000",Seed,1,Cherry Ventures,37
Pre Seed Round - Fondo,Pre-Seed,Seed,"$1,200,000","Feb 13, 2023",Fondo,Fondo helps with bookkeeping and beyond so founders can grow their businesses with more resources.,"Accounting, Business Development, Productivity Tools",—,"San Francisco, California, United States, North America",www.tryfondo.com/,,"$3,000,000",Seed,3,—,33
Seed Round - Nilus,Seed,Seed,"$8,600,000","Dec 12, 2022",Nilus,Financial operations platform that seamlessly automates reconciliation and payment workflows.,"Financial Services, FinTech, Payments",—,"New York, New York, United States, North America",www.nilus.com,,"$8,600,000",Seed,2,Bessemer Venture Partners,4
Seed Round - Capsule,Seed,Seed,"$5,700,000","Feb 14, 2023",Capsule,AI-powered video tools from the future.,"Artificial Intelligence, Enterprise, Marketing, SaaS, Software, Video",—,"New York, New York, United States, North America",capsule.video/,,"$7,700,000",Seed,2,Array Ventures,19
Seed Round - DigitSec,Seed,Seed,"$221,993","Dec 12, 2022",DigitSec,DigitSec offers an application security testing platform purpose-built for salesforce devsecops.,"Cyber Security, Information Technology, Software",—,"Seattle, Washington, United States, North America",www.digitsec.com,,"$221,993",Seed,2,—,1
Seed Round - Descope,Seed,Seed,"$53,000,000","Feb 15, 2023",Descope,"Descope enables any developer to create secure, frictionless authentication and user journeys for any application.","Apps, Developer Platform, Information Technology, Software",—,"Los Altos, California, United States, North America",www.descope.com,,"$53,000,000",Seed,1,"GGV Capital, Lightspeed Venture Partners",12
Seed Round - Harvest Thermal,Seed,Seed,"$2,500,000","Dec 12, 2022",Harvest Thermal,"Harvest Thermal develops a control system for home use that integrates heating, hot water, and cooling with thermal storage.","Electronics, Energy Efficiency, Home Improvement","Women Founded, Women Led","Berkeley, California, United States, North America",www.harvest-thermal.com,,"$6,844,738",Seed,8,"MUUS, Starshot Capital",4
Seed Round - Sovereign Labs,Seed,Seed,"$7,400,000","Jan 30, 2023",Sovereign Labs,Sovereign Labs is an ecosystem that provides a framework for secure and interoperable zero-knowledge rollups on blockchain.,"Blockchain, Security",—,"Nashville, Tennessee, United States, North America",www.sovereign.xyz,,"$7,400,000",Seed,1,Haun Ventures,20
Pre Seed Round - Blockfenders,Pre-Seed,Seed,"$1,500,000","Feb 7, 2023",Blockfenders,Blockfenders a startup with a blockchain-powered platform that promises to help businesses share data more securely with one another.,"Information Technology, Internet",—,"Palo Alto, California, United States, North America",www.blockfenders.com,,"$1,500,000",Seed,1,—,19
Seed Round - Michroma,Seed,Seed,"$6,400,000","Jan 10, 2023",Michroma,Fungal biofactories to produce the next generation of ingredients.,"Biopharma, Biotechnology, Cosmetics, Food and Beverage, Food Processing, Information Technology",—,"San Francisco, California, United States, North America",michroma.co/,,"$7,100,000",Seed,5,Supply Change Capital,20
Seed Round - Polyhedra Network,Seed,Seed,"$10,000,000","Jan 21, 2023",Polyhedra Network,Polyhedra Network is constructing the infrastructure for Web3 interoperability through the use of advanced zero-knowledge proof protocols.,Web Development,—,"California, Kentucky, United States, North America",polyhedra.network,,"$25,000,000",Early Stage Venture,2,"Binance Labs, Polychain",19
Seed Round - Healium,Seed,Seed,"$3,600,000","Feb 20, 2023",Healium,Healium is an augmented and virtual reality channel powered by consumer wearables for the self-management of anxiety and sleep.,"Human Computer Interaction, Virtual Reality, Wearables, Wellness","Women Founded, Women Led","Columbia, Missouri, United States, North America",www.tryhealium.com/,,"$4,950,000",Seed,4,—,13
Seed Round - Twentyeight Health,Seed,Seed,"$8,300,000","Feb 13, 2023",Twentyeight Health,"Twentyeight Health is a women's healthcare company providing birth control, vitamins, and medical treatments.","Health Care, Information Services, Online Portals, Wellness","East Asian Founded, Women Founded","Brooklyn, New York, United States, North America",twentyeighthealth.com,,"$13,400,000",Seed,3,—,16
Pre Seed Round - Zurp,Pre-Seed,Seed,"$5,000,000","Jan 24, 2023",Zurp,Zurp is a fintech platform built for superfans.,Financial Services,—,"Miami, Florida, United States, North America",www.zurp.com/,,"$5,000,000",Seed,1,—,22
Pre Seed Round - Metagood,Pre-Seed,Seed,"$5,000,000","Dec 8, 2022",Metagood,Metagood is a for-profit company that empowers communities to be catalysts for positive collective action.,"Cryptocurrency, Information Technology",—,"Seattle, Washington, United States, North America",metagood.com/,,"$5,000,000",Seed,1,—,34
Pre Seed Round - Spaceport Technologies,Pre-Seed,Seed,"$3,600,000","Dec 14, 2022",Spaceport Technologies,Spaceport Technologies offers a wide range of tools for creators to monetize IP in the metaverse.,"Information Technology, Intellectual Property, Software",—,"Boston, Massachusetts, United States, North America",www.spaceport.xyz/,,"$3,600,000",Seed,1,"Arca, CRIT Ventures, Decasonic",10
Seed Round - Stelo Labs,Seed,Seed,"$6,000,000","Feb 16, 2023",Stelo Labs,Stelo Labs is a web3 security firm.,"App Marketing, Blockchain, Payments, Transaction Processing",—,"San Francisco, California, United States, North America",blog.stelolabs.com,,"$6,000,000",Seed,1,a16z crypto,14
Seed Round - Feastables,Seed,Seed,"$5,000,000","Jan 1, 2023",Feastables,"Feastables is setting out to build the most engaging brand on the planet, bringing the games, stunts and spectacle.",—,—,"Chicago, Illinois, United States, North America",feastables.com/,,"$5,000,000",Seed,1,—,4
Pre Seed Round - Bluedot,Pre-Seed,Seed,"$2,000,000","Jan 25, 2023",Bluedot,Bluedot is a payment platform for EV charging stations.,"Automotive, Energy Management, Sharing Economy, Software, Transportation","Middle Eastern / North African Founded, Women Founded","San Francisco, California, United States, North America",thebluedot.co,,"$7,000,000",Seed,5,—,11
Seed Round - Elaborate,Seed,Seed,"$10,000,000","Jan 26, 2023",Elaborate,Elaborate is a developer of a lab results application that serves as a bridge between doctors and patients.,"Health Care, Health Diagnostics, Medical",—,"New York, New York, United States, North America",www.elaborate.com,,"$12,525,000",Seed,2,Tusk Venture Partners,10
Seed Round - Rembrand,Seed,Seed,"$8,000,000","Dec 15, 2022",Rembrand,Rembrand is a leader in AI virtual product insertion,"Advertising, Digital Marketing, Social Media Marketing",—,"Los Altos, California, United States, North America",www.rembrand.com,,"$8,000,000",Seed,1,"Greycroft, UTA Ventures",5
Seed Round - StoryCo,Seed,Seed,"$6,000,000","Jan 26, 2023",StoryCo,StoryCo is an open media platform where creators and passionate fans collaborate.,"Blockchain, Content Creators, Media and Entertainment, Social Media",—,"Dover, Delaware, United States, North America",story.co,,"$6,000,000",Seed,2,"Collab+Currency, Patron",14
Pre Seed Round - lockr,Pre-Seed,Seed,"$2,500,000","Dec 25, 2022",lockr,lockr is the only consumer-first identity layer for the Internet - the root of which is email.,—,—,"New York, New York, United States, North America",loc.kr,,"$2,500,000",Seed,1,—,10
Seed Round - Warp,Seed,Seed,"$2,200,000","Feb 1, 2023",Warp,Payroll and compliance for startups. Warp is the best platform for founders to run their companies.,"B2B, FinTech",—,"New York, New York, United States, North America",www.joinwarp.com,,"$2,700,000",Seed,2,—,7
Seed Round - Gateway,Seed,Seed,"$4,200,000","Jan 19, 2023",Gateway,"Gateway is a decentralized protocol for creating, consuming, and displaying verifiable credentials.","Information Technology, Internet",—,"New York, New York, United States, North America",beta.mygateway.xyz/,,"$4,200,000",Seed,1,Reciprocal Ventures,6
Seed Round - Metriport,Seed,Seed,"$2,400,000","Dec 21, 2022",Metriport,"Metriport helps digital health companies access and manage user health and medical data, through an open source and universal API.","Developer Tools, Health Care, Open Source, Software",—,"San Francisco, California, United States, North America",metriport.com/,,"$2,900,000",Seed,2,—,25
Seed Round - Sending.Me,Seed,Seed,"$12,500,000","Feb 16, 2023",Sending.Me,"SendingMe is Web3 native community chat software that engages, transacts, and compensates users.","Information Technology, Internet, Software",—,"New York, New York, United States, North America",sending.me,,"$12,500,000",Seed,1,"Insignia Ventures Partners, MindWorks Capital, Signum Capital",7
Pre Seed Round - Killington Technologies,Pre-Seed,Seed,"$240,000","Jan 1, 2023",Killington Technologies,Killington Technologies specializes in public-source data intelligence.,"Analytics, Big Data, Database",—,"San Francisco, California, United States, North America",www.killingtontechnologies.com,,"$240,000",Seed,1,—,—
Pre Seed Round - Kubeark,Pre-Seed,Seed,"$2,800,000","Feb 1, 2023",Kubeark,Kubeark is your fast lane to the cloud,"Cloud Infrastructure, IT Infrastructure, PaaS, SaaS",—,"New York, New York, United States, North America",kubeark.com,,"$2,800,000",Seed,1,Credo Ventures,4
Seed Round - Monad,Seed,Seed,"$19,000,000","Feb 14, 2023",Monad,MONAD is a proof-of-stake (PoS) blockchain and decentralized computation platform.,Blockchain,—,"New York, New York, United States, North America",www.monad.xyz/,,"$19,000,000",Seed,1,Dragonfly,9
