Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Pre Seed Round - Glass Health,Pre-Seed,Seed,"$1,500,000","Jan 1, 2022",Glass Health,Glass Health empowers clinicians with a platform for AI-assisted diagnosis and clinical decision-making,"Artificial Intelligence, Health Care, Software",—,"San Francisco, California, United States, North America",glass.health,,"$7,000,000",Seed,3,Breyer Capital,1
Pre Seed Round - Edutechs,Pre-Seed,Seed,"$110,000","Jan 1, 2022",Edutechs,Edutechs offers inclusive education system that promotes equity.,"Education, Information Technology, Machine Learning, Software",—,"Middletown, Delaware, United States, North America",edutechs.app/Welcome,,"$121,685",Seed,3,"F. K. Md Emdad khan, Mohammad Maaz",2
Seed Round - Inceptive,Seed,Seed,"$20,000,000","Jan 1, 2022",Inceptive,Inceptive designs RNA molecules using large-scale deep learning in a tight loop with high-throughput experiments.,"Biotechnology, Life Science, Medical",—,"Palo Alto, California, United States, North America",inceptive.life/,,"$120,000,000",Early Stage Venture,2,—,—
Seed Round - Viage Therapeutics,Seed,Seed,"$10,000,000","Jan 6, 2022",Viage Therapeutics,Viage Therapeutics is a biotech company that develops therapeutics that stimulates the central nervous system via the gut-brain axis.,"Biotechnology, Clinical Trials, Medical",—,"San Francisco, California, United States, North America",viagetx.com,,"$10,000,000",Seed,1,Remiges Ventures,5
Pre Seed Round - OpenAxis,Pre-Seed,Seed,"$1,500,000","Dec 31, 2021",OpenAxis,OpenAxis is a data visualization platform,"Analytics, Data Visualization, Journalism, Social Impact, Software",—,"New York, New York, United States, North America",www.openaxis.com,,"$1,620,000",Seed,2,—,9
Pre Seed Round - MoneyHash,Pre-Seed,Seed,"$3,000,000","Jan 1, 2022",MoneyHash,MoneyHash provides access to payment and fintech services across the Middle East & Africa with one simple integration.,"Financial Services, FinTech, Payments",—,"San Francisco, California, United States, North America",moneyhash.io,,"$3,300,000",Seed,2,"COTU Ventures, VentureFriends, VentureSouq",17
Seed Round - Asaak,Seed,Seed,"$30,000,000","Jan 17, 2022",Asaak,Asaak is a fintech company that provides asset financing to mobility workers across emerging markets.,"Emerging Markets, Financial Services, FinTech, Lending, Mobile",—,"New York, New York, United States, North America",www.asaak.com,,"$36,150,000",—,10,—,12
Seed Round - Planet Mojo,Seed,Seed,"$250,000","Jan 1, 2022",Planet Mojo,Planet Mojo is an auto chess game where players can own their game characters as NFTs and play-to-earn in tournaments.,Gaming,—,"Conway, Massachusetts, United States, North America",www.planetmojo.io,,"$5,250,000",Seed,3,Alameda Research,2
Seed Round - Unlocked Labs,Seed,Seed,"$250,000","Dec 15, 2021",Unlocked Labs,Unlocked Labs develops probiotics with an enhanced ability to biodegrade toxins that are the root causes of serious chronic conditions.,"Biotechnology, Dietary Supplements, Health Care",—,"Laramie, Wyoming, United States, North America",unlocked.bio,,"$1,683,984",Seed,7,—,2
Seed Round - Alluvial Finance,Seed,Seed,"$6,200,000","Jan 1, 2022",Alluvial Finance,Alluvial Finance is a software development company that provides robust solutions.,"Finance, Financial Services, Information Technology",—,"New Castle, Delaware, United States, North America",alluvial.finance/,,"$18,200,000",Early Stage Venture,2,—,4
Seed Round - Triumph,Seed,Seed,"$3,900,000","Jan 7, 2022",Triumph,Triumph is a game-developing software firm.,"Developer Platform, Gaming, Online Games, Software",—,"San Francisco, California, United States, North America",triumpharcade.com,,"$14,100,000",Early Stage Venture,3,Flux Capital,6
Seed Round - Carats and Cake,Seed,Seed,"$19,300,000","Dec 21, 2021",Carats and Cake,Carats and Cake is a revenue optimization platform for the hospitality group that delivers solutions to wedding-focused businesses.,"Event Management, Hospitality, Wedding",—,"New York, New York, United States, North America",caratsandcake.com/,,"$29,900,000",Early Stage Venture,2,"Acrew Capital, Founders Fund",3
Seed Round - Ensurre,Seed,Seed,"$1,980,000","Jan 10, 2022",Ensurre,"Ensurre is a blockchain based decentralised, democratised & disruptive property and real estate insurance platform.","Blockchain, Cryptocurrency, Insurance, InsurTech, Real Estate",—,"New York, New York, United States, North America",ensurre.com,,"$1,980,000",Seed,1,—,8
