Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - MessageDesk,Seed,Seed,"$1,661,037","Mar 24, 2023",MessageDesk,MessageDesk is a shared team inbox for business text messaging.,"Messaging, SaaS, SMS, Software",—,"Reno, Nevada, United States, North America",messagedesk.com,,"$1,901,037",Seed,2,Reno Seed Fund,6
Seed Round - zkPass,Seed,Seed,"$2,500,000","Apr 3, 2023",zkPass,zkPass is a privacy-preserving protocol for private data verification.,Blockchain,—,"New York, New York, United States, North America",zkpass.org,,"$2,500,000",—,4,Binance Labs,8
Seed Round - SnoFox Sciences,Seed,Seed,"$4,500,000","Apr 6, 2023",SnoFox Sciences,SnoFox Sciences provides analytics focused on increasing efficiency and decreasing energy usage for the cold industrial space.,"Analytics, Energy, Information Technology",—,"New York, New York, United States, North America",snofox.com/,,"$5,700,000",Seed,2,Voyager Ventures,4
Seed Round - Soul Wallet,Seed,Seed,"$3,000,000","Mar 16, 2023",Soul Wallet,Soul Wallet is a smart contract wallet.,—,—,"Santa Monica, California, United States, North America",www.soulwallet.io/,,"$3,000,000",Seed,1,—,42
Seed Round - FedML,Seed,Seed,"$11,500,000","Mar 28, 2023",FedML,"SaaS, PaaS, MLaaS (machine learning as a service)","Artificial Intelligence, Machine Learning, Software",—,"Sunnyvale, California, United States, North America",fedml.ai,,"$13,500,000",Seed,2,Camford Capital,13
Seed Round - Elevai Labs,Seed,Seed,"$463,589","Apr 27, 2023",Elevai Labs,Elevai Labs is a biotechnology company that develops regenerative skin care applications.,"Beauty, Biotechnology, Cosmetics",—,"Davis, California, United States, North America",elevaiskincare.com/,,"$1,554,166",Seed,2,—,—
Pre Seed Round - Automat AI,Pre-Seed,Seed,"$500,000","Mar 9, 2023",Automat AI,Automat offers robotic process automation for Chrome using GPT4 and computer vision.,"Artificial Intelligence, Developer Tools",—,"San Francisco, California, United States, North America",runautomat.com,,"$4,250,000",Seed,2,Y Combinator,1
Seed Round - Chaos Labs,Seed,Seed,"$20,000,000","Feb 21, 2023",Chaos Labs,Chaos Labs is a cloud platform that allows teams to build high-fidelity agent and scenario-based simulations on mainnet forks.,"Blockchain, Cloud Infrastructure, Risk Management, Software, Web Development",—,"New York, New York, United States, North America",chaoslabs.xyz,,"$20,000,000",Seed,1,"Galaxy Venture Capital, PayPal Ventures",32
Seed Round - Affine,Seed,Seed,"$5,100,000","Feb 23, 2023",Affine,Affine is a Web3 protocol and dApp that helps users automate their savings and grow their crypto holdings by getting rid of high fees.,"Cryptocurrency, Internet, Software",—,"Miami, Florida, United States, North America",affinedefi.com/,,"$6,900,000",Seed,2,"Hack VC, Jump Crypto",6
Seed Round - Jia,Seed,Seed,"$4,300,000","Apr 26, 2023",Jia,Jia provides blockchain-based financing to businesses in emerging markets and delivers returns on real-world assets to investors.,"Banking, Blockchain, Cryptocurrency, Emerging Markets, Finance, Financial Services, FinTech, Lending",—,"Los Angeles, California, United States, North America",jia.xyz,,"$5,300,000",Seed,3,TCG Crypto,16
Pre Seed Round - Koree,Pre-Seed,Seed,"€20,000","Apr 17, 2023",Koree,Francophone Africa's first and largest Rewards scheme,"Affiliate Marketing, Consumer, Financial Services, Retail",—,"Middletown, Delaware, United States, North America",koree.africa,,"$186,849",Seed,5,Cameroon Angels Network,1
Seed Round - SquadTrip,Seed,Seed,"$1,500,000","Apr 13, 2023",SquadTrip,SquadTrip is a SaaS platform that makes booking and payments easy for group trips.,"SaaS, Travel, Travel Accommodations",—,"Tulsa, Oklahoma, United States, North America",www.squadtrip.com/,,"$1,650,000",Seed,3,Atento Capital,2
Seed Round - MOGL,Seed,Seed,"$2,600,000","Mar 23, 2023",MOGL,MOGL is a marketplace for athletes and brands that connects brands with college athletes.,"Advertising, Affiliate Marketing, Brand Marketing, Marketing, Marketplace, Software",—,"Royal Palm Beach, Florida, United States, North America",www.mogl.online,,"$2,600,000",Seed,2,Magarac Venture Partners,10
Seed Round - Fractal,Seed,Seed,"$6,000,000","Apr 17, 2023",Fractal,"Fractal expands the digital economy by providing institutional grade, capital efficient technology for assets on-chain.","Blockchain, Finance",—,"New York, New York, United States, North America",www.fractalprotocol.org/,,"$6,000,000",Seed,1,Hack VC,15
Seed Round - Videowise,Seed,Seed,"$3,000,000","Mar 27, 2023",Videowise,Videowise is a review application platform that automates product video reviews for online stores.,"Consumer Reviews, E-Commerce, Marketing Automation",—,"Dover, Delaware, United States, North America",www.videowise.com/,,"$3,000,000",Seed,1,Slack Fund,10
Seed Round - Ansa,Seed,Seed,"$5,400,000","Apr 26, 2023",Ansa,The closed loop platform built for your customers,—,—,"San Francisco, California, United States, North America",www.ansa.dev/,,"$5,400,000",Seed,1,Bain Capital Ventures,10
Seed Round - Term Labs,Seed,Seed,"$2,500,000","Feb 28, 2023",Term Labs,"Term Labs is a blockchain research and development business, is to provide scalable, transparent fixed-rate lending on blockchains.","Blockchain, Finance, Service Industry",—,"San Diego, California, United States, North America",termfinance.io/,,"$2,500,000",Seed,1,Electric Capital,5
Seed Round - Togal.AI,Seed,Seed,"$5,000,000","Mar 21, 2023",Togal.AI,Togal.AI is the fastest estimating takeoff software powered by deep machine learning.,"Artificial Intelligence, Information Technology, Machine Learning, Software",—,"Miami, Florida, United States, North America",togal.ai/,,"$5,000,000",Seed,2,—,2
Seed Round - Fynn,Seed,Seed,"$11,000,000","Mar 7, 2023",Fynn,Fynn provides education loans and financial assistance to students.,"Finance, Financial Services, Lending",—,"Wilmington, Delaware, United States, North America",fynncredit.com,,"$40,011,495",Seed,7,"Susa Ventures, Tenacity Venture Capital, Village Global, Watchfire Ventures, Y Combinator",7
Seed Round - Chroma,Seed,Seed,"$18,000,000","Apr 6, 2023",Chroma,Chroma operates as an AI-native open-source embedding database.,"Artificial Intelligence, Database, Software",—,"San Francisco, California, United States, North America",www.trychroma.com/,,"$20,300,000",Seed,2,Quiet Capital,9
Seed Round - Ampersand,Seed,Seed,"$4,700,000","Apr 13, 2023",Ampersand,Ampersand is a development platform for user-facing SaaS integrations.,"Information Technology, Internet, Software",—,"San Francisco, California, United States, North America",www.withampersand.com,,"$4,700,000",Seed,1,Matrix Partners,15
Seed Round - Tavus,Seed,Seed,"$6,100,000","Mar 20, 2023",Tavus,"Record One Video, We'll Handle The Next Thousand","Artificial Intelligence, Developer Platform, Software, Video",—,"San Francisco, California, United States, North America",www.tavus.io/,,"$24,100,000",Early Stage Venture,4,Sequoia Capital,15
Seed Round - Type One Energy,Seed,Seed,"$29,000,000","Mar 28, 2023",Type One Energy,Type One Energy is a high-temperature superconducting stellarator magnet with additive manufactured assemblies.,"Clean Energy, Electrical Distribution, Energy, Energy Management",—,"Middleton, Wisconsin, United States, North America",www.typeoneenergy.com,,"$29,000,000",Seed,2,"Breakthrough Energy Ventures, Doral Energy-Tech Ventures, TDK Ventures",10
Seed Round - Blacktop Hoops,Seed,Seed,"$5,100,000","Apr 18, 2023",Blacktop Hoops,Blacktop Hoops is a multiplayer virtual reality sports game inspired by the society of streetball.,"Computer, Online Games, PC Games, Virtual Reality",—,"Berkeley, California, United States, North America",www.blacktophoopsvr.com,,"$5,100,000",Seed,2,Makers Fund,7
Seed Round - Tally Health,Seed,Seed,"$10,000,000","Apr 6, 2023",Tally Health,Tally Health™ is a biotechnology company founded to change the way we age. Co-founded by longevity expert Dr. David Sinclair.,Biotechnology,—,"New York, New York, United States, North America",www.tallyhealth.com,,"$10,000,000",Seed,1,Forerunner Ventures,12
Pre Seed Round - CAT Labs,Pre-Seed,Seed,"$4,300,000","Apr 10, 2023",CAT Labs,CAT Labs is working on cybersecurity and digital asset recovery solutions.,"Computer, Network Security",—,"Miami, Florida, United States, North America",catlabs.io,,"$4,300,000",Seed,2,"BH Digital, Castle Island Ventures, CMT Digital Ventures, RW3 Ventures",9
Seed Round - Catalyst,Seed,Seed,"$4,200,000","Apr 26, 2023",Catalyst,"Catalyst is an open-source liquidity protocol for modular blockchains, developed by Cata Labs.","Blockchain, Cryptocurrency, Open Source",—,"Wilmington, Delaware, United States, North America",catalyst.exchange,,"$4,200,000",Seed,2,The Spartan Group,10
Seed Round - Rise,Seed,Seed,"$3,800,000","Apr 24, 2023",Rise,"We make it easy for businesses to onboard, pay and manage independent contractors globally & compliantly.","Cryptocurrency, Freelance, Human Resources, Infrastructure, Payments",—,"Pike Road, Alabama, United States, North America",www.riseworks.io,,"$3,800,000",Seed,1,"Polymorphic Capital, Sino Global Capital",15
Pre Seed Round - ROOK,Pre-Seed,Seed,"$1,700,000","Mar 18, 2023",ROOK,Transform health data from wearables into actionable insights,"Apps, Fitness, Health Care, Mobile Apps, Sports, Wearables, Wellness","Hispanic / Latine Founded, Hispanic / Latine Led","Miami, Florida, United States, North America",www.tryrook.io,,"$4,220,000",Seed,6,Tech Coast Angels San Diego,14
Seed Round - EVEN,Seed,Seed,"$2,200,000","Apr 14, 2023",EVEN,Empowering artists & fans to invest in each other.,"Blockchain, Music",—,"Milwaukee, Wisconsin, United States, North America",www.even.biz,,"$2,200,000",Seed,1,CSA Partners LLC,7
Seed Round - Cubist,Seed,Seed,"$7,000,000","Mar 9, 2023",Cubist,Cubist is a developer tools and infrastructure company that helps web3 engineers build safer dapps faster.,"Blockchain, Developer Tools, Software",—,"San Diego, California, United States, North America",cubist.dev,,"$7,000,000",Seed,1,Polychain,15
