Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Mesh++,Seed,Seed,"$4,900,000","Oct 22, 2019",Mesh++,Mesh++ is a wireless technology company that builds self-powered routers that run an efficient mesh networking protocol.,"Hardware, Internet, Wireless",—,"Chicago, Illinois, United States, North America",meshplusplus.com/,,"$5,125,000",Seed,10,World Within Ventures,8
Seed Round - INITECH,Seed,Seed,"$460,000","Nov 1, 2019",INITECH,PKI based security technology company. IPO KOSDAQ in 2001 (053350),"Information Technology, Security",—,"Salt Lake City, Utah, United States, North America",www.initech.com/,,"$460,000",IPO,1,—,4
Seed Round - Rho,Seed,Seed,"$4,900,000","Oct 15, 2019",Rho,"Rho is the all-in-one financial platform organizations rely on to manage spend and cash with greater efficiency, control, and visibility.",FinTech,—,"New York, New York, United States, North America",rho.co,,"$194,900,000",Early Stage Venture,5,Inspired Capital Partners,2
Seed Round - Path,Seed,Seed,"$5,350,000","Oct 7, 2019",Path,Path is a health-tech company that aims to make mental healthcare accessible to everyone.,"Health Care, Health Insurance, Home Health Care, Personal Health, Wellness",—,"Los Angeles, California, United States, North America",www.pathmentalhealth.com/,,"$110,850,000",Early Stage Venture,4,Upfront Ventures,5
Seed Round - Connext,Seed,Seed,"$550,000","Nov 3, 2019",Connext,"Connext is an interoperability protocol that enables fast, fully-trustless communication between blockchains.","Cryptocurrency, FinTech, Internet, Mobile Apps","South Asian Led, Women Founded","San Francisco, California, United States, North America",connext.network,,"$23,245,000",Early Stage Venture,7,—,3
"Pre Seed Round - Naboso Technology, Inc.",Pre-Seed,Seed,"$300,000","Oct 15, 2019","Naboso Technology, Inc.",Health and wellness company that develops products that restore function and improve movement through sensory stimulation.,"Health Care, Medical",—,"Brooklyn, New York, United States, North America",nabosotechnology.com,,"$300,000",Seed,1,Upward,1
Seed Round - OSD,Seed,Seed,"$300,000","Oct 1, 2019",OSD,ICT-Based Personalized Mobile Wellness Care Service,"Fitness, Hardware, Health Care, Nutrition, Software, Wellness",—,"San Jose, California, United States, North America",onesoftdigm.com/index.php,,"$1,200,000",Seed,7,Upward,1
Seed Round - Finless Foods,Seed,Seed,"$25,000","Oct 17, 2019",Finless Foods,Finless Foods provides cellular-agriculture technologies to create accessible plant-based and cell-cultured seafood alternatives.,"Consumer Goods, Food and Beverage, Sustainability",—,"Emeryville, California, United States, North America",finlessfoods.com,,"$37,525,000",Early Stage Venture,11,—,4
Pre Seed Round - Bestlook,Pre-Seed,Seed,"$530,000","Nov 4, 2019",Bestlook,Widget integration for B2B,"Information Technology, Retail",Women Led,"Miami, Florida, United States, North America",www.bestlook.co/,,"$530,000",Seed,2,Uruna,4
Seed Round - Hallow,Seed,Seed,"$3,000,000","Nov 1, 2019",Hallow,Hallow is a Catholic prayer and meditation app that hopes to help people grow closer to God.,"Apps, Health Care, Religion, Wellness",—,"Chicago, Illinois, United States, North America",www.hallow.com,,"$105,000,000",Late Stage Venture,5,—,11
Seed Round - Apptest.ai,Seed,Seed,"$2,000,000","Oct 18, 2019",Apptest.ai,Fully automated mobile app QA at your fingertips,"Artificial Intelligence, Developer Tools, Mobile, Usability Testing",Women Founded,"San Jose, California, United States, North America",apptest.ai,,"$5,000,000",Seed,3,Samsung NEXT,3
Seed Round - Logixboard,Seed,Seed,"$5,400,000","Oct 22, 2019",Logixboard,Logixboard is a white-labeled customer experience software that helps logistics service providers increase sales and retain customers.,"CRM, Freight Service, Logistics, Software, Supply Chain Management","Hispanic / Latine Founded, Hispanic / Latine Led","Seattle, Washington, United States, North America",logixboard.com/,,"$50,750,000",Early Stage Venture,4,Social Leverage,8
