Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Liquality,Seed,Seed,"$7,000,000","Aug 21, 2021",Liquality,"Liquality provides web3 infrastructure for app builders, removing barriers for users and developers while maintaining the values of web3.",Blockchain,—,"New York, New York, United States, North America",liquality.io,,"$7,000,000",Seed,1,"Galaxy Digital, Hashed",22
Seed Round - unspun,Seed,Seed,"$7,500,000","Sep 8, 2021",unspun,Snspun is a robotics and digital apparel company building custom jeans.,"3D Technology, Fashion, Industrial Automation, Software, Textiles","East Asian Founded, Women Founded","San Francisco, California, United States, North America",unspun.io,,"$26,424,999",Early Stage Venture,8,"Buckley Ventures, Hyper",12
Seed Round - HeroMaker Studios,Seed,Seed,"$4,000,000","Aug 15, 2021",HeroMaker Studios,"HeroMaker Studios web3 ecosystem connects creators, fans, and collectors with a metaverse of superheroes, comics, and NFT collectibles.",—,—,"West Hollywood, California, United States, North America",www.heromakerstudios.com,,"$4,000,000",Seed,1,—,8
Pre Seed Round - Whalesync,Pre-Seed,Seed,"$125,000","Aug 31, 2021",Whalesync,Whalesync is a software company that develops no-code data syncing and automation tools.,"Computer, Data Center Automation, Data Integration, Software",—,"Redmond, Washington, United States, North America",www.whalesync.com/,,"$1,925,000",Seed,2,—,5
Seed Round - Parative Revenue Expansion System,Seed,Seed,"$5,900,000","Aug 20, 2021",Parative Revenue Expansion System,Parative helps SaaS teams find new revenue by combining software and data science to identify expansion opportunities.,"Apps, Enterprise Software, SaaS, Software",Women Founded,"Boston, Massachusetts, United States, North America",parative.com,,"$8,700,000",Seed,3,—,5
Seed Round - Fortunafi,Seed,Seed,"$6,350,000","Sep 7, 2021",Fortunafi,Fortunafi brings institutional yield products to DeFi by rebuilding the securitization stack from the ground up.,"Consumer, Financial Services",—,"Miami, Florida, United States, North America",www.fortunafi.com,,"$6,350,000",Seed,1,—,1
Pre Seed Round - Chptr,Pre-Seed,Seed,"$2,400,000","Sep 1, 2021",Chptr,"Chptr is a mobile-first memorialization platform to gather, share, and hold memories for a lost loved one’s life for generations to come.","Internet, News, Social Media","Black / African American Founded, South Asian Founded, South Asian Led, Women Founded","New York, New York, United States, North America",www.chptr.com/,,"$2,400,000",Seed,2,—,10
Seed Round - Glassdome,Seed,Seed,"$2,000,000","Aug 30, 2021",Glassdome,The New Operating System for Industry,"Internet of Things, Software",—,"Camas, Washington, United States, North America",www.glassdome.us,,"$11,100,000",Early Stage Venture,4,—,3
Seed Round - Joshin,Seed,Seed,"$3,500,000","Aug 31, 2021",Joshin,Joshin is a comprehensive support system for disability and neurodivergence.,"Health Care, Software","Women Founded, Women Led","Saint Paul, Minnesota, United States, North America",joshin.com/,,"$5,000,000",Seed,2,"Anthemis Group, Autism Impact Fund",6
Pre Seed Round - Thumb Technologies,Pre-Seed,Seed,"₩1,600,000,000","Aug 18, 2021",Thumb Technologies,Thumb Technologies is a provider of virtual meeting assistant solutions for the future of work.,"Artificial Intelligence, Information Technology, Internet, Machine Learning, Software",—,"Irvine, California, United States, North America",www.thumb-technologies.com,,"₩1,600,000,000",Seed,1,—,3
Seed Round - BuildBlock,Seed,Seed,"₩3,500,000,000","Aug 20, 2021",BuildBlock,BuildBlock is a global real estate investment platform for everyone to easily and safely invest in the global market.,"Information Technology, Real Estate Investment",—,"San Jose, California, United States, North America",www.buildblock.io/,,"$12,929,086",Early Stage Venture,4,—,6
"Seed Round - Arovia, Inc.",Seed,Seed,"$1,500,000","Sep 5, 2021","Arovia, Inc.","Giving you the freedom to work or play wherever you want with portable, large displays","Computer Vision, Consumer Electronics, Mobile Devices",—,"Houston, Texas, United States, North America",www.arovia.com,,"$1,550,000",Seed,4,—,1
Seed Round - Minus,Seed,Seed,"$4,500,000","Aug 31, 2021",Minus,Minus is a beanless coffee company which produces coffee.,"Coffee, Food and Beverage","Women Founded, Women Led","San Francisco, California, United States, North America",shopminuscoffee.com,,"$4,500,000",Seed,4,—,13
Seed Round - Fig,Seed,Seed,"$2,200,000","Aug 25, 2021",Fig,"Fig adds visual apps, shortcuts, and autocomplete to your terminal.","Apps, Developer Platform, Developer Tools, Information Technology, Software",—,"San Francisco, California, United States, North America",fig.io,,"$2,350,000",M&A,2,General Catalyst,13
Seed Round - MiResource,Seed,Seed,"$3,000,000","Aug 24, 2021",MiResource,MiResource is a developer of a referral management platform used to help manage referral lists.,Health Care,—,"Foster City, California, United States, North America",www.miresource.com,,"$3,000,000",Seed,1,—,7
Seed Round - Volan Technology,Seed,Seed,"$3,000,000","Sep 1, 2021",Volan Technology,Volan is a people-positioning SaaS analytics platform that companies use to reduce labor cost and increase safety and productivity.,"Analytics, Artificial Intelligence, Machine Learning, Physical Security, SaaS, Software",—,"Hoboken, New Jersey, United States, North America",www.volantechnology.com,,"$5,525,000",Seed,5,—,1
Pre Seed Round - STYL,Pre-Seed,Seed,"$500,000","Aug 26, 2021",STYL,Mobile App,"E-Commerce, Fashion, Retail Technology",Women Founded,"Chicago, Illinois, United States, North America",www.askstyl.app,,"$500,000",Seed,1,—,1
Seed Round - LitPic,Seed,Seed,"$1,500,000","Aug 18, 2021",LitPic,LitPic is a subscription based platform where creators can get discovered easily.,"Social Network, Video Editing, Video Streaming",Women Founded,"University Place, Washington, United States, North America",www.litpic.live,,"$2,100,000",Seed,4,—,1
Pre Seed Round - Flowly,Pre-Seed,Seed,"$125,000","Aug 31, 2021",Flowly,Flowly is a mobile application developed to manage pain and anxiety.,"Information Services, Medical, Virtual Reality, Wellness","East Asian Founded, East Asian Led, Women Founded, Women Led","Pasadena, California, United States, North America",www.flowly.world/,,"$225,000",Seed,6,—,5
Pre Seed Round - Dieta Health,Pre-Seed,Seed,"$1,350,000","Aug 19, 2021",Dieta Health,AI-driven digestive health,"Apps, Big Data, Health Care, Machine Learning, Mobile Apps, Personal Health",Middle Eastern / North African Founded,"Los Angeles, California, United States, North America",www.dietahealth.com/,,"$1,520,000",Seed,5,Tom Williams,5
Pre Seed Round - Coco Coders,Pre-Seed,Seed,"£788,000","Sep 1, 2021",Coco Coders,Coco Coders in a live online coding school for kids age 6-14.,"Children, EdTech, Education, Online Portals, Subscription Service",—,"Incline Village, Nevada, United States, North America",www.cococoders.com/,,"£788,000",Seed,1,Amrock Ventures,3
Seed Round - SingleFile Technologies,Seed,Seed,"$2,100,000","Aug 22, 2021",SingleFile Technologies,"SingleFile Technologies is a companies and law firms fill out reports, manage filings, maintain internal records and remain in good standing","Information Technology, Law Enforcement, Software",—,"Seattle, Washington, United States, North America",www.singlefile.io,,"$8,600,000",Seed,3,Foundry Group,2
Pre Seed Round - Wavv,Pre-Seed,Seed,"$450,000","Sep 1, 2021",Wavv,"Wavv introduces musicGPT, a groundbreaking technology that empowers individuals to unleash their creativity as music creators.","Cloud Computing, Music, Software",—,"San Francisco, California, United States, North America",wavv.app,,"$2,150,000",Seed,2,Family Office,1
Seed Round - Orson,Seed,Seed,"$3,000,000","Aug 16, 2021",Orson,"Orson is the first automated video storytelling platform that helps people open up and share their stories, experiences, and aspirations.","Human Resources, Video",—,"Winter Garden, Florida, United States, North America",heyorson.com,,"$6,100,000",Seed,3,—,—
Pre Seed Round - Parallel Bio,Pre-Seed,Seed,"$325,000","Aug 30, 2021",Parallel Bio,Parallel Bio develops tools that help in the discovery and development of immunotherapies.,"Biotechnology, Life Science, Pharmaceutical, Therapeutics",Women Founded,"Cambridge, Massachusetts, United States, North America",www.parallel.bio,,"$4,625,000",Seed,2,—,2
Pre Seed Round - Hyperseed,Pre-Seed,Seed,"$125,000","Aug 31, 2021",Hyperseed,Hyperseed is the no-code platform for finance professionals.,"Developer Tools, Financial Services, FinTech, Software",—,"San Francisco, California, United States, North America",www.hyperseed.com/,,"$125,000",Seed,1,—,4
Seed Round - Peertol,Seed,Seed,"$10,000,000","Sep 1, 2021",Peertol,Peertol is building the new internet.,"Blockchain, Information Technology",—,"San Francisco, California, United States, North America",peertol.com,,"$10,000,000",Seed,1,Edge Case Capital Partners,1
Seed Round - Zippedi,Seed,Seed,"$6,900,000","Sep 9, 2021",Zippedi,"Zippedi creates a digital twin of a large grocery, home improvement or big box retail store to improve sales, inventory, and online ordering","Artificial Intelligence, Machine Learning, Retail, Retail Technology, Service Industry",—,"Burlingame, California, United States, North America",www.zippedi.com,,"$19,474,724",Early Stage Venture,3,"ChileGlobal Ventures, Grep VC",3
Pre Seed Round - HILOS,Pre-Seed,Seed,"$1,600,000","Aug 28, 2021",HILOS,HILOS is an end-to-end innovation platform for brands to launch digitally crafted footwear without inventory or end-of-life waste.,"3D Printing, CleanTech, Fashion, Software, Supply Chain Management",Women Led,"Portland, Oregon, United States, North America",www.hilos.co,,"$7,100,000",Seed,3,Techstars,1
Seed Round - OneStopKitchen,Seed,Seed,"$1,600,000","Sep 7, 2021",OneStopKitchen,AI-Driven Tech & Space Optimization to Scale Restaurants,"Artificial Intelligence, Internet, Logistics, Machine Learning, Restaurants",—,"San Francisco, California, United States, North America",onestopkitchen.com/,,"$1,600,000",Seed,1,—,5
Seed Round - Pillar,Seed,Seed,"$2,800,000","Aug 24, 2021",Pillar,The infrastructure layer for health education,"Consulting, Health Care, Wellness",—,"Austin, Texas, United States, North America",withpillar.com/,,"$2,800,000",Seed,2,—,4
Seed Round - OLIMP,Seed,Seed,"$1,250,000","Sep 10, 2021",OLIMP,OLIMP is the digital warehouses network for distress freight. We eliminating carbon emissions from our planet.,"Supply Chain Management, Transportation, Warehousing",—,"Chicago, Illinois, United States, North America",olimpwarehousing.com,,"$2,047,500",Seed,4,humbition,1
Seed Round - Kocomo,Seed,Seed,"$6,000,000","Aug 30, 2021",Kocomo,Kocomo is an early-stage proptech startup leveraging the power of technology to make the dream of vacation home ownership attainable,"Leisure, Real Estate, Vacation Rental",—,"Miami, Florida, United States, North America",www.kocomo.com/,,"$56,000,000",Seed,4,"ALLVP, Vine Ventures",14
Pre Seed Round - TiiCKER,Pre-Seed,Seed,"$2,000,000","Sep 9, 2021",TiiCKER,"TiiCKER is an intelligent software platform that engages, verifies, and incentivizes consumer shareholders.","Finance, Financial Services, Software",—,"Detroit, Michigan, United States, North America",www.tiicker.com/,,"$7,000,000",Seed,2,—,2
Seed Round - Neurotype Inc.,Seed,Seed,"$5,000","Aug 31, 2021",Neurotype Inc.,"Medical Device, SaMD, Software, Neurotechnology, Biofeedback, Neurofeedback","Health Care, Information Technology, Medical Device, Neuroscience, Software",—,"Minneapolis, Minnesota, United States, North America",www.neurotype.io,,"$837,983",Seed,10,—,1
Seed Round - Call Center Studio,Seed,Seed,"$1,500,000","Aug 25, 2021",Call Center Studio,"Call Center Studio is 100% cloud native contact center software that delivers the best experiences for your business, customers, and agents.","Artificial Intelligence, Call Center, Contact Management, Enterprise Software, Natural Language Processing, Software, Speech Recognition, Telecommunications, Text Analytics, VoIP",—,"Chicago, Illinois, United States, North America",callcenterstudio.com,,"$1,500,000",Seed,1,Collective Spark,1
Seed Round - Stateful,Seed,Seed,"$4,200,000","Sep 8, 2021",Stateful,Stateful makes a SaaS for eng teams to collaborate around code/infra built on their markdown powered runbook toolchain - Runme (runme.dev),"Information Technology, Internet, Software",—,"Berkeley, California, United States, North America",stateful.com,,"$5,698,000",Seed,2,Four Rivers Group,4
Seed Round - Quattr,Seed,Seed,"$6,000,000","Aug 16, 2021",Quattr,Quattr is a SEO platform that uses AI and large language models like ones used by chatGPT to drive higher SEO and SEM traffic and leads.,"Artificial Intelligence, Content Discovery, Content Marketing, Digital Marketing, Internet, Marketing, Natural Language Processing, SEM, SEO",—,"Palo Alto, California, United States, North America",www.quattr.com/,,"$7,065,000",Seed,2,Neotribe Ventures,3
Pre Seed Round - Marble,Pre-Seed,Seed,"$125,000","Aug 31, 2021",Marble,Marble provides is a virtual property manager for long-term rentals.,"Property Management, Real Estate, Rental Property",—,"Seattle, Washington, United States, North America",www.rentmarble.com/,,"$2,125,000",Seed,2,—,2
Seed Round - Diamond Age,Seed,Seed,"$8,000,000","Aug 19, 2021",Diamond Age,Diamond Age offers robotic construction technology that is intended to address construction labor shortages.,"Construction, Industrial, Robotics",—,"Phoenix, Arizona, United States, North America",www.diamondage3d.com,,"$58,000,000",Early Stage Venture,4,"Alpaca VC, Prime Movers Lab",9
Seed Round - MEandMine,Seed,Seed,"$2,400,000","Sep 11, 2021",MEandMine,Game-Based Social Emotional Learning,EdTech,—,"San Jose, California, United States, North America",meandmine.com/,,"$2,400,000",Seed,1,—,—
Seed Round - ParentSquare,Seed,Seed,"$689,750","Sep 7, 2021",ParentSquare,ParentSquare is a startup that develops a school-home communication platform.,"Charter Schools, Education, Software",Women Founded,"Goleta, California, United States, North America",www.parentsquare.com,,"$57,829,423",Seed,8,—,—
Pre Seed Round - ElectroTempo,Pre-Seed,Seed,"$1,000,000","Aug 31, 2021",ElectroTempo,"ElectroTempo is a consulting firm offering fleet electrification strategy, equipment, and infrastructure advisory services for companies.","Consulting, Electric Vehicle, Infrastructure, Software",—,"Arlington, Virginia, United States, North America",www.electrotempo.com/,,"$5,999,997",Seed,2,Schematic Ventures,1
Pre Seed Round - Ahi-ta!,Pre-Seed,Seed,"$200,000","Sep 1, 2021",Ahi-ta!,Tu asistente personal para comprar en el súper online,Retail Technology,—,"Miami, Florida, United States, North America",ahi-ta.com,,"$600,000",—,3,7DS Investment Limited,2
Seed Round - Turion Space,Seed,Seed,"$6,200,000","Sep 1, 2021",Turion Space,Turion Space provides space domain awareness data and space logistic services.,"Aerospace, Information Technology, Space Travel",—,"Irvine, California, United States, North America",turionspace.com,,"$7,825,000",Seed,3,—,27
Pre Seed Round - Delise Auto,Pre-Seed,Seed,"$230,000","Sep 11, 2021",Delise Auto,Regenerative Automotive Design system,"Automotive, Manufacturing, Sustainability",—,"Denver, Colorado, United States, North America",www.deliseauto.com,,"$230,000",Seed,1,—,—
Pre Seed Round - Gesund,Pre-Seed,Seed,"$2,000,000","Sep 1, 2021",Gesund,Highway to clinical-grade AI,"Artificial Intelligence, Health Care, Information Technology, Machine Learning, Privacy",—,"Boston, Massachusetts, United States, North America",www.gesund.ai,,"$2,000,000",Seed,3,500 Emerging Europe,1
Seed Round - Raven,Seed,Seed,"$20,000,000","Aug 18, 2021",Raven,Raven is a producer of green hydrogen and synthetic fuels using organic waste.,"Manufacturing, Mineral, Waste Management, Water",—,"Pinedale, Wyoming, United States, North America",ravensr.com,,"$21,779,453",—,5,—,4
Seed Round - Elevent,Seed,Seed,"$1,975,000","Aug 18, 2021",Elevent,Elevent is a marketplace that connects providers and companies to deliver virtual and physical experiences.,Events,—,"Boston, Massachusetts, United States, North America",www.bookelevent.com,,"$5,146,000",Seed,4,Lightbank,5
Seed Round - BoldVoice,Seed,Seed,"$3,000,000","Sep 2, 2021",BoldVoice,BoldVoice is a communication coaching app that helps non-native speakers improve their communication and confidence.,"Apps, E-Learning, EdTech, Language Learning, Mobile Apps","Women Founded, Women Led","New York, New York, United States, North America",boldvoice.com,,"$5,625,000",Seed,3,—,5
Seed Round - Polimorphic,Seed,Seed,"$3,790,977","Sep 3, 2021",Polimorphic,Polimorphic is a software company that builds and develops operating system for local and state governments.,"Government, GovTech, Software",—,"Palo Alto, California, United States, North America",www.polimorphic.com,,"$3,790,977",Seed,2,—,7
Pre Seed Round - Kanthaka,Pre-Seed,Seed,"$30,100","Aug 26, 2021",Kanthaka,Kanthaka is an app that connects people with on-demand personal trainers.,"Fitness, Health Care, Lifestyle",—,"Houston, Texas, United States, North America",mykanthaka.com/,,"$330,100",Seed,6,—,1
Pre Seed Round - Patient Sortal,Pre-Seed,Seed,"$100,000","Aug 16, 2021",Patient Sortal,Patient Sortal is a healthcare data management company.,"Cloud Data Services, Health Care, Information Technology",—,"Austin, Texas, United States, North America",www.patientsortal.com,,"$250,000",Seed,4,Sputnik ATX,1
Seed Round - FintraDao,Seed,Seed,"$5,000,000","Sep 1, 2021",FintraDao,FintraDao is building a Cex/Dex trading bot marketplace.,"Blockchain, Cryptocurrency",—,"Russia, Ohio, United States, North America",,,"$5,000,000",Seed,1,—,—
Seed Round - NFANT Labs,Seed,Seed,"$1,421,000","Aug 30, 2021",NFANT Labs,NFANT Labs is a digital health company developing solutions to improve infant feeding.,"Health Care, Information Technology, Medical",Women Founded,"Atlanta, Georgia, United States, North America",www.nfant.com,,"$3,936,000",Seed,4,—,—
Seed Round - Flume,Seed,Seed,"$3,405,000","Aug 20, 2021",Flume,Flume is a modern fiber company bringing new home broadbands options.,"Information Technology, Internet, Internet of Things","Black / African American Founded, South Asian Founded","New York, New York, United States, North America",flumeinternet.com,,"$5,210,001",—,3,"Amplo, Hyperplane",6
Pre Seed Round - 2Cents,Pre-Seed,Seed,"$125,000","Aug 31, 2021",2Cents,2Cents is an ethereum protocol that turns users into network owners for internet communities.,"Communities, Cryptocurrency, Internet",—,"San Francisco, California, United States, North America",join2cents.com,,"$125,000",Seed,1,Y Combinator,3
Seed Round - RedSwan CRE,Seed,Seed,"$1,200,000","Sep 1, 2021",RedSwan CRE,"Real estate marketplace, tokenized properties, off-market investments, blockchain-backed security, high-net-worth investors","Blockchain, FinTech, Real Estate","Black / African American Founded, Black / African American Led","Houston, Texas, United States, North America",redswan.io/,,"$1,200,000",Seed,1,—,—
Pre Seed Round - OurPass,Pre-Seed,Seed,"$1,000,000","Sep 10, 2021",OurPass,OurPass is the fastest one-click checkout for digital commerce in Africa.,"E-Commerce, Information Technology, Payments, Software",—,"Lewes, Delaware, United States, North America",www.ourpass.co,,"$1,100,000",Seed,2,Tekedia Capital,1
Seed Round - Lean Financial,Seed,Seed,"$4,500,000","Sep 8, 2021",Lean Financial,Lean Financial operates as a financial technology company.,"Finance, Financial Services",—,"San Diego, California, United States, North America",www.withlean.com/,,"$10,100,000",M&A,4,Inspired Capital Partners,14
Pre Seed Round - Customily,Pre-Seed,Seed,"$125,000","Aug 31, 2021",Customily,Customily is an e-commerce platform that allows customers to personalize products online.,"B2B, E-Commerce, Product Design, Retail Technology, Sales Automation",—,"St Louis, Missouri, United States, North America",www.customily.com,,"$1,775,000",Seed,4,—,1
