Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Andluca Technologies,Seed,Seed,"$1,650,000","Sep 30, 2021",Andluca Technologies,Andluca designs and develops self-powered smart window products based on intelligent systems and highly-transparent photovoltaic coatings.,"Electronics, Renewable Energy, Smart Building, Solar",—,"Princeton, New Jersey, United States, North America",andluca.com,,"$3,620,038",Seed,4,—,1
Seed Round - Amplo Biotechnology,Seed,Seed,"$2,235,701","Oct 1, 2021",Amplo Biotechnology,"Amplo Biotechnology is to develop multiple, potentially curative, Adeno-Associated Viral (AAV) therapies for the neuromuscular junction.","Biotechnology, Health Care, Neuroscience, Therapeutics",—,"Pompano Beach, Florida, United States, North America",www.amplobiotechnology.com/,,"$2,235,701",Seed,3,BioBrit,3
Seed Round - Alertgy,Seed,Seed,"$250,000","Sep 30, 2021",Alertgy,Alertgy specializes in addressing the highly desired ability to measure blood sugar levels with an external wearable sensor device.,"Health Care, Software, Wearables",—,"Melbourne, Florida, United States, North America",www.alertgy.com/,,"$1,450,000",Seed,2,Luminate,2
Seed Round - Bobidi,Seed,Seed,"₩2,300,000,000","Sep 27, 2021",Bobidi,Bug Bounty As A Service For AI Models,"Apps, Artificial Intelligence, Information Services, Information Technology, Software",—,"Los Gatos, California, United States, North America",www.bobidi.com,,"₩9,800,000,000",Seed,3,—,5
Seed Round - Xona Space Systems,Seed,Seed,"$8,000,000","Sep 22, 2021",Xona Space Systems,"Xona Space Systems is a developer of positioning, navigation, and timing satellite services.","GPS, Information Services, Navigation, Software",—,"San Mateo, California, United States, North America",www.xonaspace.com,,"$30,424,995",—,11,Seraphim Space,7
Pre Seed Round - Voltaku,Pre-Seed,Seed,"$1,450,000","Oct 1, 2021",Voltaku,Voltaku is a developer of XR products and virtual worlds attached to existing stories and characters for the global otaku community.,"Augmented Reality, Gaming, Media and Entertainment, Virtual Reality",—,"Los Angeles, California, United States, North America",voltaku.com/,,"$1,550,000",Seed,2,—,6
Seed Round - Enabled Intelligence,Seed,Seed,"$1,000,000","Sep 13, 2021",Enabled Intelligence,Enabled Intelligence provides secure and accurate data labeling services.,"Artificial Intelligence, Information Services, Machine Learning",—,"Arlington, Virginia, United States, North America",enabledintelligence.net/,,"$1,000,000",Seed,1,—,1
Seed Round - Apptest.ai,Seed,Seed,"$2,500,000","Oct 1, 2021",Apptest.ai,Fully automated mobile app QA at your fingertips,"Artificial Intelligence, Developer Tools, Mobile, Usability Testing",Women Founded,"San Jose, California, United States, North America",apptest.ai,,"$5,000,000",Seed,3,Xeno Holdings,2
Seed Round - Market Stadium,Seed,Seed,"₩1,000,000,000","Oct 12, 2021",Market Stadium,Market Stadium is a real estate data firm that optimises market analysis for commercial real estate.,"Analytics, Real Estate",—,"Forest Hills, New York, United States, North America",www.marketstadium.com,,"₩1,000,000,000",Seed,1,—,3
Pre Seed Round - Nixtla,Pre-Seed,Seed,"$1,400,000","Sep 14, 2021",Nixtla,"Nixtla is a time series research and deployment company building AI to understand, classify and predict time series.","Artificial Intelligence, Developer Tools, Machine Learning, Open Source, Software",Hispanic / Latine Founded,"Brooklyn, New York, United States, North America",www.nixtla.io/,,"$6,000,000",Seed,3,Merus Capital,4
Pre Seed Round - Orgspace,Pre-Seed,Seed,"$2,500,000","Sep 22, 2021",Orgspace,Orgspace provides a people management platform for software organizations to meet the needs of operational leaders.,"Consulting, Enterprise Software, Software",—,"Brooklyn, New York, United States, North America",orgspace.io,,"$2,500,000",Seed,1,"Bloomberg Beta, Fika Ventures",3
Seed Round - Pearl Bio,Seed,Seed,"$4,108,740","Oct 7, 2021",Pearl Bio,Pearl Bio is a synthetic biology company.,Biotechnology,—,"Cambridge, Massachusetts, United States, North America",www.pearlbio.com/contact/,,"$4,108,740",Seed,1,Khosla Ventures,1
Seed Round - Ferveret,Seed,Seed,"$2,100,000","Sep 13, 2021",Ferveret,Liquid cooling solutions inspired by nuclear power plant cooling.,"Data Center, Energy Management, Hardware",—,"San Jose, California, United States, North America",www.ferveret.com,,"$2,225,000",Seed,2,—,7
Seed Round - Dynocardia,Seed,Seed,"$250,000","Sep 30, 2021",Dynocardia,"Dynocardia is a medical device company that offers direct, beat-to-beat measurement of blood pressure that is wrist-wearable.","Biotechnology, Health Care, Medical Device, Personal Health, Wearables, Wellness",—,"Cambridge, Massachusetts, United States, North America",www.dynocardia.care/,,"$4,495,999",—,7,—,1
Seed Round - Sequin,Seed,Seed,"$5,700,000","Sep 15, 2021",Sequin,"Sequin is building a suite of credit products for women, starting with a debit card and checking account.","Financial Services, FinTech","South Asian Founded, Women Founded, Women Led","San Francisco, California, United States, North America",www.sequincard.com/,,"$5,700,000",Seed,1,—,18
Seed Round - Yendo,Seed,Seed,"$8,500,000","Sep 30, 2021",Yendo,Yendo is a credit card secured by vehicle equity that leverages machine learning and artificial intelligence to inform credit decisions.,"Credit Cards, Financial Services, FinTech",—,"Dallas, Texas, United States, North America",yendo.com,,"$92,500,000",Early Stage Venture,3,"Human Capital, Uncommon Capital",11
Seed Round - Humanly.io,Seed,Seed,"$4,000,000","Sep 15, 2021",Humanly.io,Humanly.io is a conversational AI that engages with every single candidate.,"Artificial Intelligence, Human Resources, Machine Learning, Recruiting, SaaS, Software",—,"Seattle, Washington, United States, North America",humanly.io/,,"$23,213,303",Early Stage Venture,7,Zeal Capital Partners,9
Pre Seed Round - Blip Energy,Pre-Seed,Seed,"$850,000","Oct 9, 2021",Blip Energy,Blip is making energy equity accessible by building a new category of affordable energy storage to add millions of homes to the smart grid.,"Battery, Clean Energy, Electrical Distribution, Energy, Energy Management, Energy Storage, Power Grid, Renewable Energy, Solar, Supply Chain Management","Women Founded, Women Led","Chicago, Illinois, United States, North America",www.blipenergy.com/,,"$1,395,000",Seed,8,Ronald Conway,5
Seed Round - Metaverse AI,Seed,Seed,"$6,000,000","Sep 18, 2021",Metaverse AI,"Building the Open Metaverse with interoperable infra, AI virtual beings and data engine.","Blockchain, Information Technology, Software",—,"San Francisco, California, United States, North America",metaverseai.org,,"$8,020,000",Seed,3,Delta Blockchain Fund,1
Seed Round - Rares.io,Seed,Seed,"$4,000,000","Oct 11, 2021",Rares.io,"Rares is an online community and marketplace for investing in ultra-rare, vintage, and collectible sneakers.","Financial Services, FinTech, Impact Investing","Black / African American Founded, Black / African American Led","Las Vegas, Nevada, United States, North America",rares.io,,"$9,282,033",—,3,MaC Venture Capital,12
Pre Seed Round - Default,Pre-Seed,Seed,"$700,000","Oct 1, 2021",Default,"Default is an all-in-one inbound lead qualification, scheduling, & routing platform.",Sales,—,"San Francisco, California, United States, North America",www.default.com/,,"$725,000",Seed,3,—,3
Pre Seed Round - Handle,Pre-Seed,Seed,"$1,100,000","Oct 1, 2021",Handle,"Handle is an instant convenience store for college students. We deliver snacks, beverages, ice cream and more in 15 minutes or less.","Delivery Service, Last Mile Transportation, Mobile Apps",—,"Los Angeles, California, United States, North America",handledelivery.com,,"$1,100,000",Seed,1,Valuetainment Investments Group,2
"Seed Round - SundaeSwap Labs, Inc.",Seed,Seed,"$1,300,000","Sep 21, 2021","SundaeSwap Labs, Inc.","SundaeSwap Labs contributes to the SundaeSwap protocol, a decentralized exchange and automated liquidity provision protocol built on Cardano","Blockchain, Cryptocurrency",—,"Greenbrae, California, United States, North America",sundaeswap.finance,,"$1,300,000",Seed,1,"Alameda Research, cFund, Double Peak Group",4
Seed Round - Relevvo,Seed,Seed,"$1,500,000","Oct 6, 2021",Relevvo,Relevvo is an AI-based platform for sales and marketing leaders.,—,—,"Seattle, Washington, United States, North America",relevvo.com/,,"$1,500,000",Seed,1,—,2
Seed Round - Black Oak TV,Seed,Seed,"$1,500,000","Oct 7, 2021",Black Oak TV,"Black Oak TV focuses on digital media, film, television, video streaming, and content such as black web series.","Film, Film Production, Video Streaming","Black / African American Founded, Black / African American Led","New York, New York, United States, North America",beta.blackoak.tv,,"$1,620,000",Seed,2,—,3
