Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - MindsDB,Seed,Seed,"$5,000,000","Aug 8, 2023",MindsDB,MindsDB is an open-source platform that enables developers to integrate machine learning into applications.,"Database, Machine Learning, Open Source, Predictive Analytics, Software","Hispanic / Latine Founded, Hispanic / Latine Led","Berkeley, California, United States, North America",mindsdb.com,,"$54,355,000",Seed,6,NVentures,6
Seed Round - Qualiti,Seed,Seed,"$6,500,000","Aug 9, 2023",Qualiti,"Qualiti is an AI-managed test automation solution that creates, maintains, executes, and triages tests.","Artificial Intelligence, Information Technology, Software",—,"Salt Lake City, Utah, United States, North America",qualiti.ai/,,"$12,130,886",Seed,4,Sierra Ventures,2
Seed Round - Atmosfy,Seed,Seed,"$12,000,000","Aug 9, 2023",Atmosfy,Atmosfy is a platform for discovering dining and nightlife through video.,"Hospitality, Restaurants, Video",—,"San Francisco, California, United States, North America",atmosfy.io,,"$12,000,000",Seed,3,Redpoint,10
Seed Round - AuthMind,Seed,Seed,"$8,500,000","Jul 11, 2023",AuthMind,"AuthMind is a risk intelligence platform designed to detect, protect, and prevent identity and access risks.","Cyber Security, Identity Management, Software Engineering",—,"Bethesda, Maryland, United States, North America",www.authmind.com,,"$8,500,000",Seed,1,Ballistic Ventures,2
Seed Round - SportsVisio,Seed,Seed,"$3,000,000","Aug 10, 2023",SportsVisio,SportsVisio develops a sports statistics platform that uses computer vision on sports video feeds to capture statistical information.,"Artificial Intelligence, Computer Vision, Information Technology, Sports",—,"Miami, Florida, United States, North America",sportsvisio.com/,,"$6,105,000",Seed,2,Sapphire Sport,1
Seed Round - Cube3.ai,Seed,Seed,"$8,199,999","Aug 9, 2023",Cube3.ai,Cube3.ai operates as a blockchain security company.,"Blockchain, Network Security",—,"Palo Alto, California, United States, North America",www.cube3.ai/,,"$8,199,999",Seed,1,"Beacon, Blockchange Ventures",7
Seed Round - Flo Recruit,Seed,Seed,"$4,200,000","Aug 8, 2023",Flo Recruit,Flo Recruit enables law firms to hire faster and support law schools in helping their students find jobs.,"College Recruiting, Human Resources, Legal, Legal Tech, Recruiting","Women Founded, Women Led","Austin, Texas, United States, North America",start.florecruit.com,,"$14,814,762",Seed,6,"LiveOak Venture Partners, Moneta Ventures",4
Seed Round - ShapesXR,Seed,Seed,"$8,600,000","Aug 9, 2023",ShapesXR,ShapesXR is a collaborative design and prototyping platform for spatial apps and real-world 3D.,"Information Technology, Software, UX Design, Virtual Reality",—,"San Mateo, California, United States, North America",www.shapesxr.com/,,"$8,600,000",Seed,2,Supernode Global,12
Seed Round - Abbey Labs,Seed,Seed,"$5,250,000","Aug 1, 2023",Abbey Labs,Abbey is a platform for security teams to automate and secure access to sensitive data,"Cloud Computing, Cloud Data Services, Compliance, Cyber Security, Identity Management, Software",—,"San Francisco, California, United States, North America",abbey.io,,"$5,250,000",Seed,2,Point72 Ventures,9
Seed Round - Middleware,Seed,Seed,"$6,500,000","Aug 10, 2023",Middleware,Middleware creates a real-time cloud native observability platform to condense data into a uniform chronology to fix issues more rapidly.,"Cloud Computing, Cloud Infrastructure, Cloud Management, SaaS, Software",—,"San Francisco, California, United States, North America",middleware.io/,,"$7,000,000",Seed,2,8VC,8
Seed Round - Multiplayer,Seed,Seed,"$3,000,000","Aug 7, 2023",Multiplayer,Multiplayer is a collaborative tool that enables distributed development team cooperation.,"Artificial Intelligence, Software",—,"New York, New York, United States, North America",www.multiplayer.app,,"$3,000,000",Seed,1,Bowery Capital,4
Seed Round - Ubicept,Seed,Seed,"$8,000,000","Jul 25, 2023",Ubicept,Ubicept provides imaging solutions that enables to see in the dark and other challenging environments.,"Computer Vision, Image Recognition, Software",—,"Boston, Massachusetts, United States, North America",www.ubicept.com/,,"$8,000,000",Seed,3,"The E14 Fund, Ubiquity Ventures",4
Seed Round - Grapevine,Seed,Seed,"$1,670,000","Aug 8, 2023",Grapevine,The donor platform for collaborative giving.,Social Entrepreneurship,Women Founded,"New York, New York, United States, North America",www.grapevine.org,,"$1,850,000",Seed,5,PJC,19
Seed Round - Silk Security,Seed,Seed,"$12,500,000","Aug 1, 2023",Silk Security,Silk Security is a platform that enables businesses to adopt a comprehensive strategy for addressing code and application risk.,"Artificial Intelligence, Network Security",—,"Santa Clara, California, United States, North America",www.silk.security,,"$12,500,000",Seed,1,"Hetz Ventures, Insight Partners",6
Seed Round - Datasaur,Seed,Seed,"$4,000,000","Aug 3, 2023",Datasaur,Datasaur develops productive tools that design for data labelling needs.,"Artificial Intelligence, Information Technology, Productivity Tools",—,"Sunnyvale, California, United States, North America",www.datasaur.ai,,"$7,900,000",Seed,3,Initialized Capital,4
Pre Seed Round - Miri,Pre-Seed,Seed,"$1,200,000","Aug 9, 2023",Miri,Miri operates as a comprehensive wellness platform.,"Health Care, Wellness",—,"San Francisco, California, United States, North America",www.miri.health/,,"$1,200,000",Seed,1,Sassafras Investments,1
Seed Round - Persist AI,Seed,Seed,"$4,000,000","Aug 4, 2023",Persist AI,Persist AI is a biotechnology company that builds long-acting microsphere formulations.,"Artificial Intelligence, Biotechnology, Machine Learning",—,"Woodland, California, United States, North America",www.persist-ai.com,,"$4,500,000",Seed,2,2048 Ventures,6
Pre Seed Round - Tilebox Inc.,Pre-Seed,Seed,"$1,700,000","Aug 1, 2023",Tilebox Inc.,"Tilebox is the first fully integrated midstream cloud platform that offers a streamlined, efficient, and scalable platform for space data.","Aerospace, Big Data, Information Technology, Software",—,"Delaware, New Jersey, United States, North America",tilebox.io/,,"$1,700,000",Seed,1,"Cocoa Ventures, Possible Ventures, Remote First Capital",4
Seed Round - Skycool Systems,Seed,Seed,"$5,000,000","Aug 9, 2023",Skycool Systems,Skycool Systems is improving the efficiency of all cooling systems by harnessing an untapped renewable resource: the sky.,"Advanced Materials, GreenTech",—,"Mountain View, California, United States, North America",skycoolsystems.com/,,"$9,290,000",Seed,7,Nadel and Gussman Ventures,2
Seed Round - Kivera,Seed,Seed,"$3,500,000","Aug 9, 2023",Kivera,Kivera is the next generation of cloud compliance tooling providing deep visibility and protection across your cloud deployments.,"Cloud Computing, Cloud Management, Cloud Security, Compliance",—,"New York, New York, United States, North America",kivera.io,,"$5,400,473",Seed,2,—,5
Seed Round - Effectiv,Seed,Seed,"$4,500,000","Jul 26, 2023",Effectiv,Fraud detection platform for financial institutions,"Analytics, FinTech",—,"San Francisco, California, United States, North America",effectiv.ai,,"$9,560,000",Seed,3,Better Tomorrow Ventures,2
Seed Round - Blue Laser Fusion,Seed,Seed,"$25,000,000","Jul 27, 2023",Blue Laser Fusion,Blue Laser Fusion is a commercial fusion company.,"Commercial, Laser",—,"Palo Alto, California, United States, North America",,,"$25,000,000",Seed,1,"JAFCO Group, SPARX Group",2
Seed Round - EMTECH,Seed,Seed,"$4,000,000","Aug 3, 2023",EMTECH,EMTECH is a fintech company that modernizes central banks for financial inclusion and resilience.,"Big Data, Developer APIs, Financial Services, FinTech, Payments","Black / African American Founded, Women Founded, Women Led","New York, New York, United States, North America",emtech.com,,"$13,000,000",Seed,4,Matrix Partners India,7
Pre Seed Round - basys.ai,Pre-Seed,Seed,"$2,400,000","Jul 7, 2023",basys.ai,Basys.ai automates the process of prior authorization and utilization management for health plans/payers using an AI-based platform.,"Artificial Intelligence, Health Care, Software",—,"Cambridge, Massachusetts, United States, North America",www.basys.ai,,"$2,400,000",Seed,1,Nina Capital,6
Seed Round - Functional Finance,Seed,Seed,"$10,000,000","Aug 3, 2023",Functional Finance,"Functional Finance is a fintech platform that enables insurance operators to manage billing, financing, and other aspects of money transfer.","Financial Services, FinTech, Insurance",—,"San Francisco, California, United States, North America",www.functionalfi.com,,"$10,000,000",Seed,1,"Altai Ventures, New Enterprise Associates, Walkabout Ventures",4
Seed Round - Gomboc.AI,Seed,Seed,"$5,300,000","Aug 7, 2023",Gomboc.AI,Gomboc.AI solves cloud infrastructure security issues by delivering tailored remediations for architecture.,"Cloud Infrastructure, Cloud Security, Cyber Security",—,"New York, New York, United States, North America",www.gomboc.ai,,"$5,300,000",Seed,2,"Glilot Capital Partners, Hetz Ventures",2
Seed Round - Nature Coatings,Seed,Seed,"$2,450,000","May 9, 2023",Nature Coatings,Nature Coatings is a chemical manufacturer that produces pigments and dyes for the apparel industry.,"Chemical, Manufacturing, Textiles",—,"Los Angeles, California, United States, North America",naturecoatingsinc.com,,"$2,450,000",Seed,1,"Regeneration.VC, The 22 Fund",5
Seed Round - EthStorage,Seed,Seed,"$7,000,000","Jul 27, 2023",EthStorage,EthStorage is a crypto startup and It is a storage rollup built on top of ethereum.,"Computer, Web Development",—,"San Francisco, California, United States, North America",eth-store.w3eth.io,,"$7,000,000",Seed,1,dao5,14
Seed Round - Mobilo Card,Seed,Seed,"$4,100,000","Jul 25, 2023",Mobilo Card,Mobilo is a digital business card that uses NFC to wirelessly exchange contact information.,—,—,"New York, New York, United States, North America",www.mobilocard.com/,,"$4,185,000",Seed,2,"DeepWork Capital, TMT Investments",2
