Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Bizly,Seed,Seed,"$3,000,000","Mar 15, 2019",Bizly,Bizly provides an employee hub for meetings and events.,"Meeting Software, SaaS, Software",South Asian Founded,"Palo Alto, California, United States, North America",www.bizly.com,,"$11,471,345",Private Equity,8,Brand New Matter,8
Seed Round - Restream,Seed,Seed,"₩3,800,000,000","Mar 20, 2019",Restream,Restream is a multi-streaming solution that allows producers to analyze and interact with their viewers across platforms.,"Broadcasting, Information Technology, SaaS, Video, Video on Demand, Video Streaming",—,"Austin, Texas, United States, North America",restream.io/,,"$56,774,834",Early Stage Venture,5,—,3
Seed Round - MicroByre,Seed,Seed,"$3,000,000","Apr 26, 2019",MicroByre,"MicroByre is a biotechnology company that specializes in microbiology, synthetic biology, molecular biology, and machine learning..","Bioinformatics, Biotechnology, Genetics","Women Founded, Women Led","Berkeley, California, United States, North America",www.microbyre.com,,"$20,210,332",Early Stage Venture,5,Bioeconomy Capital,4
Seed Round - Linear Labs,Seed,Seed,"$4,500,000","Mar 26, 2019",Linear Labs,"Smart Electric Motors Systems for Electric Vehicles, HVAC and Robotics","Electronics, Manufacturing, Robotics, Transportation",—,"Fort Worth, Texas, United States, North America",www.linearlabsinc.com,,"$119,400,000",Early Stage Venture,9,"Kindred Ventures, Science",8
Seed Round - Golden,Seed,Seed,"$5,000,000","May 1, 2019",Golden,Golden is a developer of a self-constructing knowledge database used to accelerate discovery and education.,"Artificial Intelligence, Blockchain, Machine Learning, Natural Language Processing, Software",—,"San Francisco, California, United States, North America",golden.com,,"$59,500,000",Early Stage Venture,5,—,23
Seed Round - Vital,Seed,Seed,"$5,200,000","Apr 24, 2019",Vital,AI-Powered digital experiences for the most vital points in care.,"Artificial Intelligence, Health Care, Productivity Tools",—,"Atlanta, Georgia, United States, North America",vital.io,,"$45,900,000",Early Stage Venture,4,"First Round Capital, Threshold",10
Seed Round - Finhabits,Seed,Seed,"$5,000,000","Apr 1, 2019",Finhabits,Finhabits is an investment advisory service company.,"Finance, Financial Services, Health Insurance, Personal Finance, Small and Medium Businesses, Wealth Management","Hispanic / Latine Founded, Hispanic / Latine Led","New York, New York, United States, North America",www.finhabits.com/,,"$8,000,000",Seed,2,—,4
Seed Round - IFundWomen,Seed,Seed,"$2,425,000","Mar 31, 2019",IFundWomen,"IFundWomen is the go-to funding marketplace for women entrepreneurs providing access to capital, coaching, and connections.","Financial Services, FinTech, Marketplace, Women's","Women Founded, Women Led","New York, New York, United States, North America",www.ifundwomen.com,,"$2,425,000",Seed,1,—,18
Seed Round - Medcurity,Seed,Seed,"$737,500","May 3, 2019",Medcurity,Medcurity is a developer of a compliance management platform used to perform complex HIPAA and security requirements for healthcare systems.,"Health Care, Information Technology, Security, Software",Women Founded,"Spokane, Washington, United States, North America",medcurity.com/,,"$1,637,500",—,4,—,—
Pre Seed Round - Yac,Pre-Seed,Seed,"$275,000","Apr 25, 2019",Yac,Yac is an asynchronous voice messaging platform for remote teams.,"Audio, Collaboration, Messaging, Software",Black / African American Founded,"Kissimmee, Florida, United States, North America",www.yac.com/,,"$11,025,000",Early Stage Venture,6,"Betaworks, Boost VC",4
Pre Seed Round - Encarte,Pre-Seed,Seed,"$150,000","Mar 18, 2019",Encarte,Encarte is a browser extension bringing one-click checkout to any e-commerce store.,"Browser Extensions, E-Commerce, Internet",—,"San Francisco, California, United States, North America",www.encarte.io/,,"$150,000",Seed,1,Y Combinator,3
