Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Sentry Enterprises,Seed,Seed,"$860,260","Feb 25, 2019",Sentry Enterprises,"Sentry Enterprises is specializing in the development of multi-factor biometric authentication, authorization, and data security solutions.","Biometrics, Cyber Security, Hardware, Identity Management, Security",—,"West Chester, Pennsylvania, United States, North America",sentryenterprises.com/,,"$37,960,260",Late Stage Venture,5,—,—
Seed Round - Staked us,Seed,Seed,"$4,500,000","Jan 31, 2019",Staked us,Staked is a startup that provides institutional investors with the technical infrastructure for non-custodial staking services.,"Blockchain, Internet, Publishing",—,"New York, New York, United States, North America",staked.us/,,"$9,000,000",M&A,4,Pantera Capital,8
Seed Round - Lithero,Seed,Seed,"$425,000","Feb 4, 2019",Lithero,Lithero's AI enables the life sciences industry to optimize time and budget without increasing risks.,"Artificial Intelligence, Risk Management, Software",—,"Philadelphia, Pennsylvania, United States, North America",lithero.com/,,"$425,000",Seed,1,—,—
Seed Round - Inspire Care 360,Seed,Seed,"$800,000","Feb 20, 2019",Inspire Care 360,Inspire Care 360 is full Service provider of back-office solutions to the Early Learning and Childcare industry.,"Child Care, Education, Health Care",—,"Pittsford, New York, United States, North America",inspirecare360.com,,"$800,000",Seed,1,—,1
Seed Round - Oxygen,Seed,Seed,"$7,000,000","Jan 29, 2019",Oxygen,"Financial platform for the 21st century - providing digital natives, creators & entrepreneurs consumer & business banking in a single app.","Banking, Financial Services, FinTech",—,"San Francisco, California, United States, North America",www.oxygen.us,,"$45,000,000",Early Stage Venture,6,—,20
Seed Round - Populus,Seed,Seed,"$3,100,000","Mar 11, 2019",Populus,Populus is a data platform for cities to manage and price commercial fleets.,"Analytics, Automotive, Transportation","East Asian Founded, Women Founded, Women Led","San Francisco, California, United States, North America",www.populus.ai/,,"$19,850,000",Early Stage Venture,4,"Precursor Ventures, Relay Ventures",4
Seed Round - Knoq,Seed,Seed,"$2,686,000","Feb 27, 2019",Knoq,Knoq is a technology company that encourages people to talk to their neighbors.,"Computer, Internet, Sales, Software","Women Founded, Women Led","Boston, Massachusetts, United States, North America",knoq.com/,,"$4,686,000",M&A,4,Haystack,3
"Seed Round - Hex Five Security, Inc.",Seed,Seed,"$770,000","Feb 8, 2019","Hex Five Security, Inc.","Hex Five is the creator of MultiZone® Security, the quick and safe way to build high-grade security firmware for embedded systems.","Aerospace, Developer Tools, Internet, Internet of Things, Mobile, Security, Semiconductor, Software, Telecommunications, Wearables",—,"Redwood City, California, United States, North America",www.hex-five.com/,,"$770,000",Seed,1,OSS Capital L.P.,1
Pre Seed Round - Be Smart Mobile LLC,Pre-Seed,Seed,"$500,000","Feb 5, 2019",Be Smart Mobile LLC,"Be Smart Mobile specializes in the fields of information technology, advertising, developer, and E-commerce platforms.","Advertising Platforms, Developer Platform, E-Commerce, E-Commerce Platforms, Information Technology, Mobile Apps, Music Streaming, Social Media, Software, Web Apps",—,"Miami, Florida, United States, North America",besmart.technology,,"$3,920,000",Seed,4,—,1
Seed Round - Skycool Systems,Seed,Seed,"$1,700,000","Jan 31, 2019",Skycool Systems,Skycool Systems is improving the efficiency of all cooling systems by harnessing an untapped renewable resource: the sky.,"Advanced Materials, GreenTech",—,"Mountain View, California, United States, North America",skycoolsystems.com/,,"$9,290,000",Seed,7,—,3
Seed Round - Treehouse Eyes,Seed,Seed,"$225,000","Jan 31, 2019",Treehouse Eyes,Treehouse Eyes is a pediatric specialty eye care practice that specializes in the treatment of myopia in children.,"Child Care, Children, Health Care, Outpatient Care",—,"Boulder, Colorado, United States, North America",treehouseeyes.com,,"$8,224,977",—,2,—,—
Seed Round - KAI Media,Seed,Seed,"$4,000,000","Feb 11, 2019",KAI Media,NEXT GENERATION ENTERTAINMENT FOR GLOBAL K-POP[CULTURE] FANDOMS,"Events, Media and Entertainment, Music, Music Label, Retail",—,"Los Angeles, California, United States, North America",hello82.com/,,"$4,000,000",Seed,1,—,1
Seed Round - Modulate,Seed,Seed,"$2,000,000","Feb 27, 2019",Modulate,Modulate creates customizable voice skins for games & using machine learning to make voice completely customizable.,"Audio, Machine Learning, Software, Video Games",East Asian Led,"Cambridge, Massachusetts, United States, North America",modulate.ai/,,"$36,000,000",Early Stage Venture,4,Hyperplane,4
Pre Seed Round - Sensegrass Inc,Pre-Seed,Seed,"$80,000","Jan 29, 2019",Sensegrass Inc,Sensegrass provides a platform for soil intelligence.,—,—,"San Mateo, California, United States, North America",sensegrass.com/,,"$627,771",Seed,12,—,1
Seed Round - Downstream,Seed,Seed,"$2,610,000","Feb 8, 2019",Downstream,Downstream is an enterprise-ready software solution that helps large brands and agencies automate and optimize their advertising campaigns.,"Advertising, Machine Learning, Marketing, SEM, Software",—,"Seattle, Washington, United States, North America",downstreamimpact.com/,,"$6,655,000",M&A,4,—,2
Seed Round - Alto Solutions,Seed,Seed,"$2,800,000","Mar 6, 2019",Alto Solutions,"Alto Solutions delivers an easy-to-use, automated process for investing in alternatives with IRA savings.","Financial Services, FinTech, Information Technology, Personal Finance",—,"Nashville, Tennessee, United States, North America",www.altoira.com,,"$70,251,423",Early Stage Venture,10,—,7
Seed Round - Ligero,Seed,Seed,"$1,150,000","Mar 7, 2019",Ligero,Ligero is a blockchain privacy company that offers secure and private collaboration for blockchains.,"Blockchain, Cryptocurrency",—,"Rochester, New York, United States, North America",ligero-inc.com,,"$1,150,000",Seed,1,ConsenSys,2
Pre Seed Round - Leia,Pre-Seed,Seed,"$100,000","Jan 25, 2019",Leia,Leia is a nanotechnology company that offers 3D lightfield products and software applications.,"3D Technology, Hardware, Mobile Devices",—,"Menlo Park, California, United States, North America",www.leiainc.com,,"$325,175,000",Seed,9,—,1
Seed Round - Venock Inc.,Seed,Seed,"$2,000,000","Jan 23, 2019",Venock Inc.,Medical technology startup company specializing in large bore vascular closure following transcatheter cardiovascular therapies,"Biotechnology, Health Care, Hospital, Life Science, Medical, Medical Device",—,"New York, New York, United States, North America",www.venock.com,,"$2,000,000",Early Stage Venture,2,New Age Ventures,1
Pre Seed Round - Bricolage Dynamics Inc,Pre-Seed,Seed,"$37,500","Feb 1, 2019",Bricolage Dynamics Inc,Bricolage Dynamics Inc is a recycling innovation company whose current focus consists of building glass recycling infrastructure in SC.,"Environmental Consulting, Recycling, Renewable Energy",—,"Greenville, South Carolina, United States, North America",www.bricdynamics.com,,"$320,500",Seed,4,Fledge,1
Seed Round - Brigit,Seed,Seed,"$2,000,000","Jan 19, 2019",Brigit,A financial health app helping every American build a brighter financial future.,"Finance, FinTech, Internet, Mobile Apps, Personal Finance",—,"New York, New York, United States, North America",hellobrigit.com/,,"$115,000,000",Early Stage Venture,4,DCM Ventures,1
Pre Seed Round - FanFest,Pre-Seed,Seed,"$120,000","Jan 22, 2019",FanFest,"""Twitch-in-a-box"" for sports teams, record labels, and TV / film production studios","Concerts, Media and Entertainment, Sports, TV, Video, Video Streaming","Black / African American Founded, Black / African American Led","New York, New York, United States, North America",www.fanfest.io,,"$1,320,000",Seed,5,Techstars,1
"Pre Seed Round - COMUNITYmade, INC.",Pre-Seed,Seed,"$400,000","Jan 18, 2019","COMUNITYmade, INC.","Local Supply Chain Platform, Manufacturer, Footwear, Private Label, E-Commerce, Retail, B2C& B2C, Community, Social Responsibility","E-Commerce, Manufacturing",Women Founded,"Los Angeles, California, United States, North America",www.comunitymade.com,,"$650,000",Seed,3,—,—
Pre Seed Round - SmartAxiom,Pre-Seed,Seed,"$250,000","Jan 15, 2019",SmartAxiom,"Manages and secures IoT systems through patented, distributed ledger technology running among those devices at the edge of the Internet","Automotive, Blockchain, Cyber Security, Internet of Things, Manufacturing, Software, Supply Chain Management, Transportation",South Asian Founded,"Irvine, California, United States, North America",www.smartaxiom.com,,"$750,000",M&A,3,—,—
Pre Seed Round - Pluto LLC,Pre-Seed,Seed,"$120,000","Jan 28, 2019",Pluto LLC,"Pluto LLC is an interactive product design, web development, digital strategy, and ecommerce product and service agency.","Advertising, E-Commerce, Marketing, Web Design, Web Development",—,"Boise, Idaho, United States, North America",www.visitpluto.com,,"$233,333",M&A,2,Techstars,1
Seed Round - Noteworth,Seed,Seed,"$23,250","Feb 21, 2019",Noteworth,Noteworth connects healthcare organizations with patient-generated health data to improve patient engagement on an ongoing basis.,"Electronic Health Record (EHR), Health Care, Information Technology, Software",—,"Hoboken, New Jersey, United States, North America",www.noteworth.com,,"$7,393,250",Seed,9,Techstars,1
