Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - OpsLyft,Seed,Seed,"$1,000,000","Apr 16, 2022",OpsLyft,OpsLyft is an IT firm that offers cloud infrastructure management services for online businesses.,"Analytics, Artificial Intelligence, Cloud Infrastructure, Cloud Management, IT Infrastructure, SaaS, Security, Software",—,"San Francisco, California, United States, North America",opslyft.com,,"$1,200,000",Seed,2,—,78
Seed Round - HomeOptions,Seed,Seed,"$9,300,000","May 1, 2022",HomeOptions,HomeOptions is a real estate brokerage and home ownership platform that helps connect customers with top agents.,Real Estate,—,"San Francisco, California, United States, North America",www.homeoptions.com/,,"$9,300,000",Seed,1,Buckley Ventures,12
Seed Round - Sizzle,Seed,Seed,"$5,000,000","May 12, 2022",Sizzle,Sizzle.gg leverages AI to automatically create gaming highlights from Twitch and YouTube livestreams.,"Artificial Intelligence, Gaming, Software, Video",—,"Sunnyvale, California, United States, North America",www.sizzle.gg,,"$5,000,000",Seed,2,White Star Capital,8
Seed Round - Giftpack,Seed,Seed,"$1,000,000","Mar 22, 2022",Giftpack,Giftpack is a smart gifting platform for global business,"Artificial Intelligence, Big Data, CRM, E-Commerce, Gift, Logistics, Machine Learning, Software",Women Founded,"New York, New York, United States, North America",giftpack.ai,,"$1,000,000",Seed,3,—,6
Seed Round - Diagram,Seed,Seed,"$4,100,000","May 2, 2022",Diagram,Diagram is a design tools company.,"Product Design, Software",—,"Brooklyn, New York, United States, North America",diagram.com,,"$4,100,000",M&A,1,Ludlow Ventures,13
Seed Round - Athyna,Seed,Seed,"$500,000","Apr 30, 2022",Athyna,"Hire, manage & retain world-class global talent. Payroll, benefits, taxes, and sustainability for your global team. In minutes.","Financial Services, Software",—,"San Diego, California, United States, North America",www.athyna.com,,"$500,000",—,2,—,7
Seed Round - nGrow.ai,Seed,Seed,"$2,300,000","May 2, 2022",nGrow.ai,Low code SaaS for marketing in push notifications,"B2B, Machine Learning, Marketing Automation, Mobile Advertising, Mobile Apps, SaaS",—,"San Francisco, California, United States, North America",www.ngrow.ai/,,"$2,600,000",Seed,3,Apple Core Holdings,5
Pre Seed Round - Masa,Pre-Seed,Seed,"$3,500,000","May 4, 2022",Masa,Identity infrastructure for developers building web3 communities,"Blockchain, Identity Management","East Asian Founded, Women Founded","San Francisco, California, United States, North America",masa.finance/,,"$3,500,000",—,2,Unshackled Ventures,12
Seed Round - Yakoa,Seed,Seed,"$4,800,000","Mar 29, 2022",Yakoa,NFT Fraud Detection Network.,"Blockchain, Cryptocurrency, Fraud Detection",—,"San Jose, California, United States, North America",www.yakoa.io/,,"$4,800,000",Seed,2,"BH Digital, Collab+Currency, Volt Capital",18
Pre Seed Round - itselectric,Pre-Seed,Seed,"$2,200,000","May 1, 2022",itselectric,itselectric is electric vehicle charging purpose-built for drivers who park their cars on city streets.,"Clean Energy, CleanTech, Electric Vehicle, Power Grid",—,"Brooklyn, New York, United States, North America",itselectric.us/,,"$2,300,000",Seed,2,Brooklyn Bridge Ventures,6
