Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Jupiter,Seed,Seed,"$5,300,000","Mar 8, 2022",Jupiter,Jupiter is a grocery commerce advertising network for CPGs,"Content Creators, E-Commerce, Food and Beverage, Social Media","Black / African American Founded, Black / African American Led, Women Founded","Stanford, California, United States, North America",jupiter.co,,"$8,000,000",Seed,4,"Khosla Ventures, NFX",14
Seed Round - Canza Finance,Seed,Seed,"$3,300,000","Feb 22, 2022",Canza Finance,Canza is building the world's largest non-institutional-based financial system.,Financial Services,—,"Atlanta, Georgia, United States, North America",canza.io/,,"$3,480,000",Seed,2,Fenbushi Capital,16
Seed Round - Dash,Seed,Seed,"$32,799,999","Mar 7, 2022",Dash,"Dash builds an alternative payment app where users can send, spend, and receive money, pay for goods and services, save, and invest.","FinTech, Mobile Apps, Payments",—,"New York, New York, United States, North America",dash-app.com,,"$86,074,655",Seed,6,Insight Partners,19
Seed Round - Bloom,Seed,Seed,"$4,400,000","Mar 3, 2022",Bloom,Bloom helps Americans learn to invest and build wealth through interactive financial lessons.,"Financial Services, FinTech",—,"New York, New York, United States, North America",www.bloomapp.com/,,"$4,400,000",Seed,1,—,6
Seed Round - Swoops,Seed,Seed,"$3,500,000","Feb 12, 2022",Swoops,Swoops develops and creates a basketball simulation game with the help of blockchain technology.,"Basketball, Blockchain, Fantasy Sports, Information Technology, Simulation",—,"Remote, Oregon, United States, North America",www.playswoops.com,,"$3,500,000",Seed,1,"Alpaca VC, Courtside Ventures",9
Seed Round - Sturdy Finance,Seed,Seed,"$3,900,000","Mar 16, 2022",Sturdy Finance,Sturdy Finance is the first protocol for interest-free borrowing and high-yield lending.,"Cryptocurrency, Lending",—,"Menlo Park, California, United States, North America",sturdy.finance/,,"$3,900,000",Seed,3,Pantera Capital,8
Seed Round - Photonpharma,Seed,Seed,"$2,907,823","Mar 16, 2022",Photonpharma,Photonpharma develops an autologous cell therapy platform for the treatment of solid tumor cancers.,"Biopharma, Health Care, Medical",—,"Fort Collins, Colorado, United States, North America",photonpharmaceuticals.com/,,"$2,907,823",Seed,1,—,—
Seed Round - Agot,Seed,Seed,"$13,190,000","Feb 11, 2022",Agot,Agot is a mid-sized late-seed stage startup with a computer vision platform for enterprise foodservice.,"Artificial Intelligence, Computer Vision, Information Technology, Machine Learning, Restaurants, SaaS",—,"Pittsburgh, Pennsylvania, United States, North America",agot.ai/,,"$27,240,000",Seed,5,"Conti Ventures, Grit Ventures, Kitchen Fund, Yum!",5
Seed Round - Cay Skin,Seed,Seed,"$4,100,000","Mar 8, 2022",Cay Skin,Cay Skin is a manufacturer of skin care products.,Beauty,—,"Miami, Florida, United States, North America",cayskin.com/,,"$4,100,000",Seed,1,—,6
Pre Seed Round - GetGloby,Pre-Seed,Seed,"$1,300,000","Mar 20, 2022",GetGloby,GetGloby is an AI-powered platform that instantly translates Ads Campaigns into 100+ languages with high performing results.,"Artificial Intelligence, Information Technology, Machine Learning",—,"New York, New York, United States, North America",www.getgloby.com,,"$1,300,000",Seed,1,—,6
Seed Round - Minded,Seed,Seed,"$25,000,000","Feb 22, 2022",Minded,Minded is the leading online psychiatry practice for women,"Health Care, Home Health Care, Medical, Personal Health, Wellness",—,"New York, New York, United States, North America",www.tryminded.com,,"$29,700,000",Seed,3,—,12
Seed Round - Bloomi,Seed,Seed,"$2,000,000","Mar 1, 2022",Bloomi,Bloomi is a wellness company that is transforming the intimacy category by bridging accessible products and education.,"Consumer Goods, E-Commerce, Health Care","Black / African American Led, Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led","Oakland, California, United States, North America",thebloomi.com/,,"$2,600,000",Seed,3,—,6
Pre Seed Round - Grupa,Pre-Seed,Seed,"$450,000","Feb 15, 2022",Grupa,Grupa is a sweat equity marketplace for engineers from big tech to connect and work with early-stage startups.,Marketplace,—,"San Jose, California, United States, North America",grupa.io,,"$450,000",Seed,1,—,9
Pre Seed Round - Allawee,Pre-Seed,Seed,"$300,000","Mar 1, 2022",Allawee,App based credit card & expense management solutions for African businesses.,"Credit, Credit Cards, Debit Cards, Financial Services, FinTech, Payments",—,"San Francisco, California, United States, North America",www.allawee.com,,"$300,000",Seed,1,—,6
Pre Seed Round - vAIsual,Pre-Seed,Seed,"$625,000","Feb 6, 2022",vAIsual,An artificial intelligence company creating synthetic media for the B2B IP licensing market.,"Artificial Intelligence, Content, Information Technology, Photography",—,"New York, New York, United States, North America",www.vaisual.com,,"$625,000",Seed,1,—,12
Seed Round - Fonbnk,Seed,Seed,"$3,500,000","Mar 1, 2022",Fonbnk,"Fonbnk is a new distributed finance company enabling a frictionless, financial onramp for emerging markets.","Banking, Blockchain, Social Impact, Telecommunications",Black / African American Led,"Washington, District of Columbia, United States, North America",www.fonbnk.com/,,"$3,620,000",Seed,3,New Form Capital,21
Seed Round - Okay,Seed,Seed,"$4,430,000","Feb 16, 2022",Okay,Okay is a run high-performing teams with dashboards and user-friendly workflows.,"Business Intelligence, Developer Tools, Internet, Productivity Tools, Software",Hispanic / Latine Founded,"San Francisco, California, United States, North America",www.okayhq.com/,,"$6,630,000",M&A,3,Kleiner Perkins,2
Seed Round - SkyFi,Seed,Seed,"$7,150,000","Feb 22, 2022",SkyFi,SkyFi is a business that is creating a satellite photography app.,"Apps, Photography, Satellite Communication, Video",—,"Austin, Texas, United States, North America",www.skyfi.com,,"$14,150,000",Seed,2,—,4
Pre Seed Round - Home From College,Pre-Seed,Seed,"$1,500,000","Mar 1, 2022",Home From College,H\FC is the professional development platform built specifically for career starters and young professionals.,—,—,"Santa Monica, California, United States, North America",homefromcollege.com,,"$1,500,000",Seed,1,—,5
Seed Round - Very Real Help,Seed,Seed,"$1,000,000","Feb 3, 2022",Very Real Help,Very Real Help uses groundbreaking technology like VR to transport you to entire worlds built for wellness.,Health Care,—,"Nashville, Tennessee, United States, North America",veryrealhelp.com/,,"$1,100,000",Seed,3,—,2
Seed Round - Statement,Seed,Seed,"$7,000,000","Mar 1, 2022",Statement,Building the Future of Financial Data Connectivity,—,—,"New York, New York, United States, North America",www.statement.io,,"$12,000,000",—,2,Glilot Capital Partners,3
Seed Round - Zenerate,Seed,Seed,"₩4,000,000,000","Mar 3, 2022",Zenerate,Zenerate provides AI-powered feasibility solutions for real estate development.,"Apps, Artificial Intelligence, Real Estate",—,"Los Angeles, California, United States, North America",www.zenerate.ai,,"₩4,000,000,000",Seed,4,—,4
Seed Round - CrowdForce,Seed,Seed,"$2,600,000","Feb 16, 2022",CrowdForce,CrowdForce is an offline distribution network for market research and financial services.,"Big Data, Blockchain, Crowdsourcing, Database, Financial Services, FinTech, Mobile","Black / African American Founded, Black / African American Led","San Francisco, California, United States, North America",crowdforce.io/,,"$4,100,000",—,11,Aruwa Capital,3
Pre Seed Round - Mentra,Pre-Seed,Seed,"$1,110,000","Feb 3, 2022",Mentra,A neurodiversity-focused recruiting platform,"Internet, Recruiting, Social Impact, Software, Staffing Agency, Training","Women Founded, Women Led","Charlotte, North Carolina, United States, North America",www.mentra.me,,"$4,610,000",Seed,2,Sam Altman,4
Seed Round - Pamper,Seed,Seed,"$250,000","Feb 22, 2022",Pamper,Ultra fresh set of nails. Anywhere you want it.,"Beauty, E-Commerce, E-Commerce Platforms, Fashion","Women Founded, Women Led","San Jose, California, United States, North America",getpamper.com,,"$500,000",Seed,2,—,4
Seed Round - Renaissant,Seed,Seed,"$1,500,000","Mar 11, 2022",Renaissant,Renaissant provides a platform that transforms facilities operations from workarounds to integrated digital solutions.,"Analytics, CRM, Information Technology",—,"Milwaukee, Wisconsin, United States, North America",renaissant.com,,"$2,564,920",Seed,2,Venture 53,3
