Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Pre Seed Round - Topknot,Pre-Seed,Seed,"$650,000","Dec 16, 2020",Topknot,Topknot is an online life coaching alternative where structured peer conversations lead to real personal growth,"Internet, Women's","Women Founded, Women Led","San Francisco, California, United States, North America",topknot.app,,"$650,000",Seed,1,—,16
Seed Round - Liquido,Seed,Seed,"$6,000,000","Jan 1, 2021",Liquido,Liquido provides orchestrated optimal payment solutions in the LatAm markets,"FinTech, Payments, Software",—,"Mountain View, California, United States, North America",www.liquido.com,,"$26,000,000",Early Stage Venture,2,Index Ventures,5
Seed Round - OP3N,Seed,Seed,"$10,000,000","Jan 1, 2021",OP3N,OP3N is a first-of-its-kind super app that integrates all aspects of NFTs from creation to minting to community building.,"Apps, Social Media",—,"West Hollywood, California, United States, North America",op3n.world/,,"$38,000,000",Early Stage Venture,2,—,6
Seed Round - Orb,Seed,Seed,"$5,100,000","Jan 1, 2021",Orb,Orb is the modern pricing platform purpose-built for flexible pricing models.,"Billing, Software",—,"San Francisco, California, United States, North America",www.withorb.com/,,"$19,100,000",Early Stage Venture,2,Greylock,2
Seed Round - Atomic AI,Seed,Seed,"$7,000,000","Jan 1, 2021",Atomic AI,Atomic AI is a developing the cutting-edge fusion of machine learning and structural biology to unlock RNA drug discovery.,Medical,—,"South San Francisco, California, United States, North America",atomic.ai/,,"$42,000,000",Early Stage Venture,2,8VC,9
Pre Seed Round - Webacy,Pre-Seed,Seed,"$1,000,000","Jan 1, 2021",Webacy,Secure Your Digital Assets for the Unexpected,—,—,"San Francisco, California, United States, North America",www.webacy.co/,,"$5,000,000",Seed,2,—,6
Seed Round - Pawp,Seed,Seed,"$1,500,000","Dec 8, 2020",Pawp,Pawp is a digital health clinic and telehealth platform for pet owners and their pets that connects them with veterinary professionals.,"Health Care, Pet, Wellness",—,"New York, New York, United States, North America",www.pawp.com,,"$27,500,000",—,4,—,4
Seed Round - Raccord,Seed,Seed,"$1,500,000","Jan 12, 2021",Raccord,Raccord is a mobile-first technology that syncs and processes complex data sets to extract essential metrics driving investment decisions.,"Information Technology, Real Estate, Real Time, Software","Women Founded, Women Led","New York, New York, United States, North America",www.raccord.com/,,"$1,500,000",Seed,1,"Agya Ventures, JBG SMITH",5
Pre Seed Round - Kintsugi,Pre-Seed,Seed,"$1,200,000","Nov 30, 2020",Kintsugi,Kintsugi detects signs of clinical depression and anxiety using machine learning and voice biomarkers.,"Artificial Intelligence, Biotechnology, Health Care, Health Diagnostics, Machine Learning","Women Founded, Women Led","Berkeley, California, United States, North America",kintsugihealth.com,,"$30,875,772",Early Stage Venture,9,focal,4
Seed Round - People Science,Seed,Seed,"$3,200,000","Jan 1, 2021",People Science,People Science is a tech-led R&D platform for alternative medicine.,"Cannabis, Health Care, Personal Health",—,"Los Angeles, California, United States, North America",www.peoplescience.health/,,"$8,500,000",Seed,2,Woven Science,3
Seed Round - Cottage,Seed,Seed,"$3,500,000","Nov 19, 2020",Cottage,Cottage is solving housing affordability by making it easy to build an Accessory Dwelling Unit (ADU),"Architecture, Construction, Consumer Software, E-Commerce, Marketplace, Real Estate",—,"San Francisco, California, United States, North America",www.cotta.ge/,,"$18,500,000",Early Stage Venture,2,"Base10 Partners, Susa Ventures",3
Seed Round - Levels,Seed,Seed,"$12,000,000","Nov 17, 2020",Levels,Levels is a health and wellness company committed to improving metabolic health through biowearables.,"Biometrics, Health Care, Information Technology, Software, Wellness",Women Founded,"New York, New York, United States, North America",levelshealth.com,,"$57,000,000",Early Stage Venture,5,Andreessen Horowitz,13
Pre Seed Round - Wellthi,Pre-Seed,Seed,"$1,600,000","Jan 1, 2021",Wellthi,Wellthi offers B2B embedded social finance software to assist financial institutions in turning one consumer into a community of customers.,"Banking, Financial Services, FinTech, Wealth Management","Black / African American Led, Women Founded, Women Led","Arlington, Virginia, United States, North America",wellthiapp.com,,"$3,745,000",Seed,3,—,7
Seed Round - Omeat,Seed,Seed,"$3,500,000","Jan 1, 2021",Omeat,Omeat develops a scalable and sustainable approach to producing cultured meat.,"Biotechnology, Food and Beverage, Food Processing",—,"Los Angeles, California, United States, North America",www.omeat.com/,,"$40,000,000",Early Stage Venture,2,—,—
Seed Round - Altro (fka Perch),Seed,Seed,"$2,500,000","Dec 21, 2020",Altro (fka Perch),Altro helps you build credit with everyday payments and subscriptions. Download the free Altro App and make every payment count.,"Apps, Credit, FinTech, Online Portals, Payments",Black / African American Founded,"San Francisco, California, United States, North America",www.altro.io/,,"$20,625,000",Early Stage Venture,7,—,9
Seed Round - smartrr,Seed,Seed,"$7,344,493","Nov 13, 2020",smartrr,Smartrr is a next-generation subscription app for DTC shopify brands.,Information Technology,Women Led,"New York, New York, United States, North America",smartrr.com/,,"$17,344,493",Early Stage Venture,2,"Expa, Nyca Partners",4
Seed Round - Pesto,Seed,Seed,"$500,000","Jan 1, 2021",Pesto,Pesto is a fintech startup that offers pesto mastercard an asset-backed secured credit card.,"Credit Cards, Financial Services, Information Technology",—,"San Francisco, California, United States, North America",www.getpesto.com,,"$11,500,000",Early Stage Venture,2,—,1
Seed Round - Drugviu,Seed,Seed,"$2,150,000","Dec 9, 2020",Drugviu,Drugviu is a population health platform that is expanding the data set in health and medication outcomes for non-white populations.,"Computer, Health Care, Information Technology, Internet, Medical","Black / African American Founded, Black / African American Led, Women Founded","New York, New York, United States, North America",www.drugviu.com/,,"$4,750,000",Seed,5,—,3
Seed Round - Welcome,Seed,Seed,"$6,000,000","Dec 9, 2020",Welcome,"Acq. by BambooHR. Easily benchmark and communicate compensation to candidates and employees, powered by our real-time comp and equity data","Human Resources, Recruiting, SaaS, Software",—,"New York, New York, United States, North America",www.heywelcome.com/,,"$7,400,000",M&A,2,FirstMark,10
Seed Round - Moxion Power,Seed,Seed,"$125,000","Jan 1, 2021",Moxion Power,Moxion Power develops zero-emission generators and off-road equipment to support industries.,"Clean Energy, CleanTech, Energy Storage, Renewable Energy",—,"Richmond, California, United States, North America",www.moxionpower.com,,"$124,224,982",—,6,Y Combinator,1
Seed Round - Hydra Studios,Seed,Seed,"$3,800,000","Dec 3, 2020",Hydra Studios,"Upscale wellness studios for the modern workforce - exercise, meditate and recharge in private suites.","Consumer, Fitness, Health Care, Real Estate, Wellness","Women Founded, Women Led","New York, New York, United States, North America",www.hydranewyork.com/,,"$3,800,000",Seed,6,—,7
Seed Round - LifeRaft,Seed,Seed,"$3,500,000","Dec 22, 2020",LifeRaft,LifeRaft is an insurtech company that offers supplementary health insurance products for patients.,"Finance, Health Care, Insurance, InsurTech",—,"San Francisco, California, United States, North America",www.liferaft.co,,"$3,500,000",Seed,1,"Costanoa Ventures, XYZ Venture Capital",4
Pre Seed Round - Qualytics,Pre-Seed,Seed,"$2,960,000","Jan 1, 2021",Qualytics,Qualytics helps improve the quality of enterprise decision-making with real-time data surveillance.,"Analytics, Data Integration, Software",—,"Baltimore, Maryland, United States, North America",qualytics.co,,"$5,460,000",Seed,2,—,13
Seed Round - Wellory,Seed,Seed,"$3,000,000","Dec 2, 2020",Wellory,Wellory is a tech company on a mission to make personalized nutrition accessible for all.,"Health Care, Nutrition, Wellness","Women Founded, Women Led","New York, New York, United States, North America",www.wellory.com,,"$4,200,000",Seed,2,Story Ventures,10
Seed Round - Herophilus,Seed,Seed,"$16,000,000","Jan 5, 2021",Herophilus,Herophilus is a neurotherapeutics discovery company based on next-generation scaled complex in vitro models.,Biotechnology,—,"San Francisco, California, United States, North America",herophilus.com/,,"$16,000,000",Seed,1,KF Ventures,4
Seed Round - Quorum,Seed,Seed,"$1,000,000","Jan 6, 2021",Quorum,Quorum is a data science driven company.,Marketing,—,"New York, New York, United States, North America",quorum.inc/,,"$1,000,000",Seed,1,Trajectory Ventures,1
Pre Seed Round - Canza Finance,Pre-Seed,Seed,"$180,000","Jan 1, 2021",Canza Finance,Canza is building the world's largest non-institutional-based financial system.,Financial Services,—,"Atlanta, Georgia, United States, North America",canza.io/,,"$3,480,000",Seed,2,Flori Ventures,3
Seed Round - RESILIANT,Seed,Seed,"$1,650,000","Jan 1, 2021",RESILIANT,Identity Credential Access Management (ICAM) SaaS delivering proactive cybersecurity solutions for government and businesses.,"Blockchain, Cyber Security, Identity Management, Information Services, Information Technology, Internet, Mobile Apps, Software",—,"Davie, Florida, United States, North America",www.resiliant.com,,"$4,250,000",Early Stage Venture,3,—,2
Seed Round - PartRunner,Seed,Seed,"$2,500,000","Jan 4, 2021",PartRunner,"PartRunner is a provider of delivery services, enabling home service contractors and supply houses to deliver requests from their clients.","Construction, Delivery, Delivery Service, Logistics, Same Day Delivery, Supply Chain Management",—,"Boston, Massachusetts, United States, North America",www.partrunner.com,,"$2,500,000",Seed,4,—,3
Pre Seed Round - Tower Pop,Pre-Seed,Seed,"$700,000","Jan 1, 2021",Tower Pop,Tower Pop is a mobile gaming industry that focuses on tower defense.,"Gaming, Online Games, Video Games",—,"Finland, Minnesota, United States, North America",towerpop.com/,,"$2,800,000",Seed,2,—,—
Seed Round - Veuu,Seed,Seed,"$575,000","Nov 16, 2020",Veuu,Veuu is an inclusive and sustainable FinTech ecosystem for healthcare.,"FinTech, Health Care, Medical",—,"Tampa, Florida, United States, North America",veuu.com/,,"$5,575,000",—,2,—,—
Seed Round - Fable,Seed,Seed,"$4,400,000","Dec 3, 2020",Fable,Fable is a computer software company that offers a web-based motion design platform.,"Information Technology, Software, Web Development",—,"New York, New York, United States, North America",www.fable.app/,,"$19,400,000",Early Stage Venture,2,Collaborative Fund,1
Seed Round - Watershed Informatics,Seed,Seed,"$1,700,000","Jan 1, 2021",Watershed Informatics,Watershed Informatics catalyzes discovery by democratizing access to bioinformatics tools for biologists.,"Biotechnology, Information Technology, Life Science","LGBTQ+ Founded, LGBTQ+ Led","Cambridge, Massachusetts, United States, North America",watershed.ai/,,"$16,200,000",Early Stage Venture,2,—,1
Seed Round - Regal.io,Seed,Seed,"$3,600,000","Jan 1, 2021",Regal.io,Regal is a software development company that provides an outbound phone and SMS sales solution.,"Enterprise Software, Marketing Automation, Sales Automation, SMS, Software",—,"New York, New York, United States, North America",www.regal.io,,"$42,100,000",Early Stage Venture,2,—,—
Pre Seed Round - HEALERVERSE,Pre-Seed,Seed,"$300,000","Jan 3, 2021",HEALERVERSE,SAAS Social Media Platform and Marketplace for Spiritual and Holistic Healers and Healing.,"Information and Communications Technology (ICT), Marketplace, Social Media, Wellness",—,"Jupiter, Florida, United States, North America",www.5dhealerverse.com,,"$300,000",Seed,2,Trish Kane,1
Pre Seed Round - Orson,Pre-Seed,Seed,"$100,000","Dec 16, 2020",Orson,"Orson is the first automated video storytelling platform that helps people open up and share their stories, experiences, and aspirations.","Human Resources, Video",—,"Winter Garden, Florida, United States, North America",heyorson.com,,"$6,100,000",Seed,3,—,—
Seed Round - Inmedix Inc,Seed,Seed,"$2,050,000","Jan 1, 2021",Inmedix Inc,Inmedix brings cloud-based clinical diagnostics and immuno-autonomics to medicine to improve outcomes in autoimmune diseases and beyond.,"Biotechnology, Health Care, Therapeutics",—,"Seattle, Washington, United States, North America",inmedix.com/,,"$9,300,000",Seed,6,—,1
Pre Seed Round - ReloShare,Pre-Seed,Seed,"$1,000,000","Dec 1, 2020",ReloShare,First and only alias based hotel booking platform for government and social services organizations.,"Hospitality, Hotel, Insurance, Social Impact",—,"Chicago, Illinois, United States, North America",www.reloshare.com,,"$5,150,000",Seed,3,Lofty Ventures,2
Seed Round - My First Five Years,Seed,Seed,"£200,000","Jan 1, 2021",My First Five Years,My First Five Years is on a quest to foster a healthier relationship between parents and their child's developmental journey.,"Apps, Child Care",—,"Manchester, Connecticut, United States, North America",www.mffy.com,,"£2,400,000",Seed,3,—,—
Seed Round - Via.work,Seed,Seed,"$3,500,000","Jan 6, 2021",Via.work,"Companies partner with Via to manage payroll, benefits, and compliance for international employees and contractors.","Compliance, Employment, Financial Services, Human Resources, Information Technology, SaaS","Hispanic / Latine Founded, Women Founded","San Francisco, California, United States, North America",www.via.work,,"$3,500,000",M&A,5,Entrée Capital,4
Seed Round - Pretred,Seed,Seed,"$600,480","Dec 31, 2020",Pretred,Pretred repurposes waste tires and plastics into innovative and efficient industrial use barriers and blocks.,"Building Material, Construction, Waste Management",—,"Lakewood, Colorado, United States, North America",pretred.com/,,"$3,720,480",Seed,3,—,—
Seed Round - Digital Masterplanning,Seed,Seed,"$571,620","Jan 4, 2021",Digital Masterplanning,Digital Masterplanning is a firm that helps clients to transform and embrace disruptive technology.,"Cloud Data Services, Information Technology, Software",—,"Chicago, Illinois, United States, North America",digitalmasterplanning.com/,,"$571,620",Seed,1,—,—
Seed Round - Nirvana Health,Seed,Seed,"$3,500,000","Dec 21, 2020",Nirvana Health,Nirvana Health is a mental health company providing modern fintech and insurance solutions to healthchare.,"FinTech, Health Care, Health Insurance, Insurance, InsurTech, Wellness",—,"New York, New York, United States, North America",www.meetnirvana.com/,,"$15,200,000",Seed,5,Eniac Ventures,7
Seed Round - Greyscale AI,Seed,Seed,"$975,000","Dec 16, 2020",Greyscale AI,Greyscale AI specializes in inspection systems to verify seal quality and integrity.,"Artificial Intelligence, Electronics, Machine Learning, Software",—,"San Carlos, California, United States, North America",www.greyscaleai.com/,,"$28,819,006",—,4,APA Venture Partners,5
Pre Seed Round - Tuney,Pre-Seed,Seed,"$260,000","Jan 1, 2021",Tuney,"Tuney builds tools to edit existing music, produce remixes and generate new tracks for media pros working with music and audio.","Audio, Media and Entertainment, Video",—,"Los Angeles, California, United States, North America",www.tuney.io,,"$1,360,000",Seed,2,MuckerLab,1
Pre Seed Round - Salut,Pre-Seed,Seed,"$1,250,000","Dec 21, 2020",Salut,Salut is a social video platform for fitness.,"Fitness, Health Care, Mobile Apps, Training, Video",—,"San Francisco, California, United States, North America",www.joinsalut.com/,,"$1,250,000",Seed,1,Precursor Ventures,6
Seed Round - Eckard Enterprises,Seed,Seed,"$21,174,036","Nov 13, 2020",Eckard Enterprises,"Eckard Enterprises is an asset management company that focuses on providing families access to diverse, alternative investments.","Asset Management, Financial Services, Oil and Gas, Renewable Energy",—,"Allen, Texas, United States, North America",www.eckardenterprises.com,,"$23,118,616",Seed,7,—,—
Seed Round - Impulse,Seed,Seed,"$5,000,000","Jan 1, 2021",Impulse,Impulse to the rescue — the company’s stoves include a battery solution.,"Computer, Electronics",—,"San Francisco, California, United States, North America",www.impulselabs.com,,"$25,000,000",Early Stage Venture,2,"Construct Capital, Lachy Groom, Lux Capital",3
Seed Round - Rapid Robotics,Seed,Seed,"$5,500,000","Nov 18, 2020",Rapid Robotics,Rapid Robotics provides risk-free robotic palletizing solutions for manufacturing and logistics.,"Industrial Automation, Manufacturing, Robotics",—,"San Francisco, California, United States, North America",www.rapidrobotics.com/,,"$54,200,000",Early Stage Venture,4,"Bee Partners, Greycroft",2
Seed Round - Moxion Power,Seed,Seed,"$2,300,000","Jan 4, 2021",Moxion Power,Moxion Power develops zero-emission generators and off-road equipment to support industries.,"Clean Energy, CleanTech, Energy Storage, Renewable Energy",—,"Richmond, California, United States, North America",www.moxionpower.com,,"$124,224,982",—,6,Tamarack Global,1
Seed Round - ParentSquare,Seed,Seed,"$7,000,000","Dec 9, 2020",ParentSquare,ParentSquare is a startup that develops a school-home communication platform.,"Charter Schools, Education, Software",Women Founded,"Goleta, California, United States, North America",www.parentsquare.com,,"$57,829,423",Seed,8,—,—
Seed Round - Surgery Hero,Seed,Seed,"£500,000","Dec 9, 2020",Surgery Hero,Surgery Hero is a digital clinic that helps people prepare for and recover from surgery at home.,Health Care,—,"Wood Ridge, New Jersey, United States, North America",www.surgeryhero.com,,"$3,545,427",Seed,4,SFC Capital,3
Seed Round - Canvas,Seed,Seed,"$2,000,000","Dec 7, 2020",Canvas,"Centralize, explore, and visualize data from any source without code","Analytics, Business Intelligence, Data Visualization, Software",—,"San Francisco, California, United States, North America",canvasapp.com/,,"$4,200,000",Seed,3,Sequoia Capital,7
Seed Round - The Giving Block,Seed,Seed,"$1,500,000","Jan 1, 2021",The Giving Block,The Giving Block makes it easy for nonprofits to accept non-cash donations like crypto and stocks.,—,—,"Center Valley, Pennsylvania, United States, North America",www.thegivingblock.com/,,"$1,500,000",M&A,1,—,—
Seed Round - Rubitection,Seed,Seed,"$300,000","Jan 10, 2021",Rubitection,Rubitection Inc is a medical device start-up focused on modernizing patient care and bringing awareness to the condition of pressure ulcers.,"Big Data, Health Care, Medical, Medical Device","Black / African American Led, Women Founded, Women Led","Pittsburgh, Pennsylvania, United States, North America",rubitection.com/,,"$480,000",Seed,4,Luminate,1
"Seed Round - CircleOf, Inc.",Seed,Seed,"$3,000,000","Jan 1, 2021","CircleOf, Inc.",CircleOf is a family care coordination platform that supports the 51M unpaid family caregivers in the US.,"Employee Benefits, Fitness, Health Care, Human Resources, Mobile, Wellness",—,"San Francisco, California, United States, North America",www.circleof.com,,"$6,000,000",Seed,3,—,—
Seed Round - Vincere Biosciences,Seed,Seed,"$1,750,000","Nov 25, 2020",Vincere Biosciences,Vincere Biosciences is a JLABS incubator company whose mission is to develop drugs to halt the progression of Parkinson's disease (PD).,Biotechnology,—,"Cambridge, Massachusetts, United States, North America",vincerebio.com,,"$1,750,000",—,2,—,2
Seed Round - iSite Media,Seed,Seed,"$480,000","Jan 1, 2021",iSite Media,iSite Media is a digital advertising platform installed in the restroom at top tier stadiums and arenas,"Advertising, Marketing",—,"St Louis, Missouri, United States, North America",www.isitemediagroup.com/,,"$2,585,000",Seed,5,Cultivation Capital,1
Seed Round - OmniPanel,Seed,Seed,"$2,350,000","Dec 18, 2020",OmniPanel,"OmniPanel is an analytics platform that surfaces insights from customer support tickets, helping identify retention and profitability.",Analytics,—,"Los Angeles, California, United States, North America",www.omnipanel.io,,"$4,700,000",Seed,2,—,4
Seed Round - NavTrac,Seed,Seed,"$3,000,000","Jan 1, 2021",NavTrac,AI-Powered Yard Management System (YMS),"Artificial Intelligence, Logistics, Machine Learning, Online Portals, Ports and Harbors, Shipping, Software",—,"Palo Alto, California, United States, North America",www.navtrac.com/,,"$9,157,000",Seed,7,"Blumberg Capital, TenOneTen Ventures",4
Pre Seed Round - Clean Earth Rovers,Pre-Seed,Seed,"$40,000","Jan 1, 2021",Clean Earth Rovers,We collect trash and water quality data from coastal waters using autonomous drones.,"Autonomous Vehicles, CleanTech, Predictive Analytics, Robotics, Water",—,"Cincinnati, Ohio, United States, North America",www.cleanearthrovers.com,,"$232,500",Seed,5,—,2
Pre Seed Round - Devrims,Pre-Seed,Seed,"$500,000","Jan 1, 2021",Devrims,Devrims is a managed cloud hosting service provider.,"Cloud Computing, Cloud Security, Software, Web Hosting",—,"Santa Ana, California, United States, North America",devrims.com,,"$500,000",Seed,1,Muhammad Ali,1
