Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Knot,Seed,Seed,"$3,000,000","Feb 2, 2021",Knot,"Change Card on File Information, Cancel Subscriptions, Change Passwords, and more via Knot.",—,—,"New York, New York, United States, North America",www.knotapi.com/,,"$13,000,000",Early Stage Venture,2,Giant Ventures,22
Seed Round - ThankUCash,Seed,Seed,"$5,200,000","Feb 11, 2021",ThankUCash,ThankUCash is a rewards and loyalty infrastructure for banks and businesses in Africa.,"Financial Services, FinTech","Black / African American Founded, Women Founded","San Francisco, California, United States, North America",thankucash.com,,"$10,710,000",Seed,7,Betatron Venture Group,7
Seed Round - Gowalla,Seed,Seed,"$4,000,000","Jan 28, 2021",Gowalla,Gowalla builds social games played in the real world.,"Mapping Services, Social Network",—,"Saint Helena, California, United States, North America",gowalla.com,,"$4,000,000",Seed,1,"Google Ventures, Spark Capital",15
Seed Round - Alectio,Seed,Seed,"$2,600,000","Feb 4, 2021",Alectio,Artificial intelligence company specialized in DataPrepOps,"Artificial Intelligence, Big Data, Information Technology, Machine Learning, Software","Women Founded, Women Led","Santa Clara, California, United States, North America",www.alectio.com,,"$5,350,000",—,4,Alven,6
Seed Round - Axiom Cloud,Seed,Seed,"$1,100,000","Jan 26, 2021",Axiom Cloud,Axiom Cloud provides artificial intelligence solutions for commercial refrigeration.,"Artificial Intelligence, Machine Learning, SaaS, Software",—,"Oakland, California, United States, North America",www.axiomcloud.ai/,,"$11,000,000",Early Stage Venture,5,Ulu Ventures,4
Pre Seed Round - MutualMarkets,Pre-Seed,Seed,"$3,000,000","Feb 10, 2021",MutualMarkets,MutualMarkets is a global marketplace enabling brands and content owners to create co-market ads powered by AI.,"Advertising, Advertising Platforms, Artificial Intelligence, Machine Learning, Marketing Automation",—,"Franklin Lakes, New Jersey, United States, North America",www.mutualmarkets.net/,,"$3,000,000",Seed,1,"Bessemer Venture Partners, Greycroft",8
Seed Round - Backtracks,Seed,Seed,"$1,600,000","Jan 19, 2021",Backtracks,"Backtracks helps podcasts, audio content creators, and brands know and grow their audiences.","Audio, Internet, Music, Podcast",American Indian / Alaska Native Founded,"Austin, Texas, United States, North America",backtracks.fm/,,"$4,125,000",Seed,7,Moonshots Capital,6
Seed Round - FULLFILL,Seed,Seed,"$4,840,000","Jan 21, 2021",FULLFILL,"FULLFILL is an evidence-based digital health company that prevents obesity, anxiety, depression, and more - paid for by insurance.","Health Care, Wellness",—,"Los Angeles, California, United States, North America",www.fullfill.com,,"$9,840,000",Seed,2,Greycroft,10
Seed Round - Dock Health,Seed,Seed,"$2,000,000","Jan 14, 2021",Dock Health,Dock Health is a healthcare administrative hub that offers task management and administrative workflow automation.,"Health Care, Medical, Software, Task Management",—,"Great Barrington, Massachusetts, United States, North America",www.dock.health,,"$12,591,690",Seed,7,—,3
Seed Round - Goalsetter,Seed,Seed,"$3,900,000","Jan 25, 2021",Goalsetter,"Goalsetter is a children and family finance app that provides a next-generation, education-first banking experience.","Debit Cards, Financial Services, FinTech, Gift Registry, Payments","Black / African American Founded, Women Founded, Women Led","New York, New York, United States, North America",www.goalsetter.co,,"$19,507,500",Early Stage Venture,6,Astia,17
