"","org_name","funding_type","transaction_amount_usd","funding_date","diversity","transaction_name","org_industry","org_location","org_revenue_range","total_raised_usd","lead_investors","num_investors","cb_rank","women_founded_led","black_founded_led","hispanic_latinx_founded_led","s_asian_founded_led","se_asian_founded_led","e_asian_founded_led","m_eastern_n_african_founded_led","indigenous_founded_led","region","vertical_finance","vertical_health","vertical_transport","vertical_tech","vertical_software","vertical_ecommerce"
"1","uSens","Seed",5500000,"2015","Women Founded","Seed Round - uSens","3D Technology, Artificial Intelligence, Augmented Reality, Computer Vision, Human Computer Interaction, Machine Learning, Robotics, Software, Virtual Reality","California","$10M to $50M",32200000,NA,4,5477,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"2","Clara Labs","Seed",2800000,"2015","Women Founded","Seed Round - Clara Labs","Email, Meeting Software, Software, Task Management","California","$1M to $10M",11420000,"Sequoia Capital",7,6053,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"3","Mutable","Seed",18000,"2015","Women Founded","Seed Round - Mutable","Cloud Infrastructure, Developer Tools, Internet, Telecommunications","Colorado",NA,1618000,NA,2,11803,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"4","San Diego Funding","Seed",693000,"2015",NA,"Seed Round - San Diego Funding","Banking, Finance, Financial Services","California","Less than $1M",693000,NA,NA,18226,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Caption Health","Seed",2200000,"2015",NA,"Seed Round - Caption Health","Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning, Medical, Medical Device","California","$1M to $10M",60902723,NA,6,18918,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"6","MalarVx","Seed",110000,"2015",NA,"Seed Round - MalarVx","Biotechnology, Health Care, Pharmaceutical","Washington","Less than $1M",110000,NA,NA,18849,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"7","Fastvan","Seed",2e+05,"2015",NA,"Seed Round - Fastvan","Collaborative Consumption, Freight Service, Logistics, Manufacturing, Retail, Shipping, Software, Supply Chain Management","New York","Less than $1M",730000,"Daud Nur",1,25058,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Northeast",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"8","BlockCypher","Seed",3100000,"2015","Women Founded, Women Led","Seed Round - BlockCypher","Bitcoin, Cloud Infrastructure","California","$10M to $50M",3500000,NA,19,25133,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"9","MeetMindful","Seed",156750,"2015","Women Founded","Seed Round - MeetMindful","Consumer, Dating, Health Care, Wellness","Colorado","Less than $1M",4041731,NA,NA,29239,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"West",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"10","Austin Capital Bank","Seed",676817,"2015",NA,"Seed Round - Austin Capital Bank","Banking, Financial Services, Insurance, Real Estate, Real Estate Investment","Texas","$10M to $50M",676817,NA,NA,29793,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"South",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
