Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Vouch,Seed,Seed,"$224,996","Dec 20, 2018",Vouch,Vouch is a digital insurance company that provides insurance products and risk assessment tools that permit digital coverage.,"Finance, Financial Services, Insurance, InsurTech",—,"San Francisco, California, United States, North America",www.vouch.us,,"$159,724,996",Late Stage Venture,6,Alumni Ventures,2
Pre Seed Round - ChowCall,Pre-Seed,Seed,"$1,000,000","Jan 1, 2019",ChowCall,ChowCall is the eCommerce Gateway for the Military.,"B2B, B2C, Delivery, Food and Beverage, Food Delivery, Information Technology, SaaS",—,"Norfolk, Virginia, United States, North America",www.chowcall.net/,,"$1,075,000",Seed,2,Virginia Innovation Partnership Corporation,6
Seed Round - Petabyte Technology,Seed,Seed,"$2,750,000","Jan 1, 2019",Petabyte Technology,Petabyte is a startup that allows veterinary practices to run more efficient operations and deliver better patient veterinary care.,"Cloud Management, Health Care, Software, Veterinary",—,"Bellevue, Washington, United States, North America",petabyte.technology,,"$25,750,000",M&A,3,Greycroft,3
Seed Round - Pietra,Seed,Seed,"$5,000,000","Jan 1, 2019",Pietra,Pietra is the operating system for commerce that gives everyone the tools they need to start and scale their own brand.,"Collaboration, Content Creators, E-Commerce, E-Commerce Platforms, Internet, Logistics, Retail Technology, Software",—,"New York, New York, United States, North America",www.pietrastudio.com,,"$36,000,000",Early Stage Venture,3,Andreessen Horowitz,10
Seed Round - Deckard Technologies,Seed,Seed,"$3,000,000","Dec 21, 2018",Deckard Technologies,Deckard Technologies is a real estate data analytics and technology firm ensuring regulatory compliance and community equity.,"Data Mining, Information Technology, Real Estate Investment",—,"San Diego, California, United States, North America",www.deckard.com,,"$13,999,277",Seed,5,Loeb.nyc,1
Seed Round - Worwox,Seed,Seed,"$2,000,000","Dec 6, 2018",Worwox,"Web focused, global, distributed digital agency, with open-source ventures. Mastering digital change with focus & profitable growth.","Software, Web Apps, Web Development",—,"San Francisco, California, United States, North America",worwox.com/,,"$2,150,000",Seed,3,—,3
Seed Round - Nifty Games,Seed,Seed,"$3,000,000","Nov 27, 2018",Nifty Games,"Nifty Games develops officially licensed quick-session, head-to-head mobile games, backed by the industry’s most powerful investors.","Digital Entertainment, Video Games",—,"San Francisco, California, United States, North America",www.niftygamesinc.com,,"$53,000,000",Early Stage Venture,5,—,4
Seed Round - Mobi,Seed,Seed,"$90,000","Jan 1, 2019",Mobi,Mobi provides wireless telecommunications services.,"Mobile, Telecommunications, Wireless",—,"Honolulu, Hawaii, United States, North America",mobi.com/,,"$90,000",Seed,2,—,1
Seed Round - Affective Markets,Seed,Seed,"$150,000","Jan 1, 2019",Affective Markets,Affective Markets captures Consumer Emotion insights to boost the connection of consumers to the brand and products and drive growth,"Brand Marketing, E-Commerce, Fashion, Marketing",—,"Sunnyvale, California, United States, North America",www.affectivemarkets.com/,,"$307,500",Seed,3,—,1
Seed Round - Bright Innovations Israel,Seed,Seed,"$100,000","Jan 1, 2019",Bright Innovations Israel,Bright Innovations Israel provides medical devices.,"Health Care, Medical Device",—,"Yorba Linda, California, United States, North America",www.brightinnovations.com,,"$200,000",Seed,2,—,1
