Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Pre Seed Round - Trusty.care,Pre-Seed,Seed,"$800,000","Oct 29, 2018",Trusty.care,"Trusty.care connects sales, marketing and member success for health insurance companies","Elder Care, Elderly, Health Care, Health Insurance, Insurance, Medical, Pharmaceutical, SaaS, Wellness",—,"New York, New York, United States, North America",trusty.care,,"$15,100,000",Seed,7,—,5
Seed Round - Arch Systems,Seed,Seed,"$6,000,000","Sep 21, 2018",Arch Systems,Arch Systems provides an industry-4.0 machine data and AI platform for electronics and discrete manufacturers.,"Artificial Intelligence, Industrial Automation, Internet of Things, Machine Learning, Predictive Analytics",—,"Palo Alto, California, United States, North America",archsys.io/,,"$27,600,000",—,4,—,8
Pre Seed Round - Immersed Games,Pre-Seed,Seed,"$500,000","Oct 9, 2018",Immersed Games,"Creating a video game as a platform for deep, empowering learning experiences.","E-Learning, EdTech, Education, Secondary Education, Video Games","Hispanic / Latine Founded, Women Founded, Women Led","Buffalo, New York, United States, North America",www.tytoonline.com/,,"$2,864,462",Seed,8,43North,1
Seed Round - Young Alfred,Seed,Seed,"$1,800,000","Oct 8, 2018",Young Alfred,Young Alfred is an online home insurance marketplace that helps compare and buy home insurance.,"Insurance, InsurTech, Price Comparison",—,"New York, New York, United States, North America",www.youngalfred.com,,"$12,400,000",M&A,4,—,5
Pre Seed Round - Planet Wealth,Pre-Seed,Seed,"$195,031","Oct 17, 2018",Planet Wealth,"Planet Wealth offers risk mitigation, asset diversification, crowdfunding, liquidity preservation, and investment management services.","Advice, Asset Management, Financial Services",—,"Memphis, Tennessee, United States, North America",www.planetwealth.com,,"$9,484,510",Seed,5,—,—
Seed Round - Gauntlet,Seed,Seed,"$2,945,000","Oct 25, 2018",Gauntlet,Solving DeFi's most complex economic problems to drive adoption and understanding of the financial systems of the future,"Blockchain, Cryptocurrency, Financial Services, FinTech, Software",—,"New York, New York, United States, North America",www.gauntlet.xyz,,"$44,788,552",Early Stage Venture,5,First Round Capital,8
Seed Round - kencko,Seed,Seed,"$3,400,000","Nov 9, 2018",kencko,kencko is a food-tech company reinventing organic fruit and vegetable products.,"Consumer Goods, E-Commerce, Food and Beverage, Nutrition, Organic Food, Retail",—,"New York, New York, United States, North America",www.kencko.com,,"$35,707,801",Early Stage Venture,6,—,1
Seed Round - SparkCharge,Seed,Seed,"$1,000,000","Oct 9, 2018",SparkCharge,SparkCharge is an automotive company that offers mobile and convenient charging stations for electric vehicles.,"Automotive, Electric Vehicle, Energy Storage, GreenTech","Black / African American Founded, Black / African American Led","Somerville, Massachusetts, United States, North America",sparkcharge.io,,"$67,140,706",Early Stage Venture,11,43North,1
Seed Round - Passport,Seed,Seed,"$3,000,000","Oct 17, 2018",Passport,Passport is an international shipping carrier for eCommerce companies and their 3PLs.,"E-Commerce, Logistics, Shipping, Supply Chain Management",—,"San Francisco, California, United States, North America",passportshipping.com/,,"$54,000,000",Early Stage Venture,3,—,7
Seed Round - Kickfurther,Seed,Seed,"$500,000","Oct 9, 2018",Kickfurther,Kickfurther enables its users to buy inventory directly from suppliers and partner with businesses to sell the inventory.,"Crowdfunding, E-Commerce, Marketplace, Payments",—,"Boulder, Colorado, United States, North America",kickfurther.com/,,"$8,495,000",Seed,6,43North,1
Pre Seed Round - HiOperator,Pre-Seed,Seed,"$500,000","Oct 9, 2018",HiOperator,HiOperstor provides customer support as-a-service.,"Artificial Intelligence, E-Commerce, Software, Telecommunications","Women Founded, Women Led","San Francisco, California, United States, North America",www.hioperator.com/,,"$500,000",—,3,43North,1
Seed Round - Visla Labs,Seed,Seed,"$3,000,000","Oct 30, 2018",Visla Labs,Visla Labs is an AI medical diagnostics platform.,"Artificial Intelligence, Health Care, Hospital",Women Founded,"San Francisco, California, United States, North America",visla.ai,,"$3,000,000",Seed,1,Lux Capital,6
Pre Seed Round - Xperiti,Pre-Seed,Seed,"$1,200,000","Oct 1, 2018",Xperiti,Xperiti provides an operating system platform designed to assist in business decision-making.,—,—,"New York, New York, United States, North America",www.xperiti.com,,"$1,700,000",M&A,2,—,1
Seed Round - Fourpost,Seed,Seed,"$5,000,000","Oct 17, 2018",Fourpost,Fourpost is a shopping destination for today’s family.,"Real Estate, Retail",—,"New York, New York, United States, North America",www.fourpost.com,,"$5,000,000",Seed,1,—,13
Pre Seed Round - ExPrimary,Pre-Seed,Seed,"$100,000","Nov 8, 2018",ExPrimary,ExPrimary is a biotechnology company developing medical devices designed to count and store cells.,"Biotechnology, Medical, Medical Device",—,"Rockville, Maryland, United States, North America",www.exprimary.com,,"$100,000",Seed,1,Luminate,1
Seed Round - Contraline,Seed,Seed,"$3,000,000","Sep 18, 2018",Contraline,"Contraline is developing the first long-lasting, non-hormonal, reversible contraceptive for men","Biotechnology, Health Care, Medical Device",—,"Charlottesville, Virginia, United States, North America",www.contraline.com,,"$24,630,000",Early Stage Venture,9,—,17
Seed Round - Mercato,Seed,Seed,"$1,000,000","Sep 24, 2018",Mercato,Mercato is an online grocery marketplace that connects consumers with local merchants.,"E-Commerce, Grocery, Marketplace",—,"San Diego, California, United States, North America",www.mercato.com,,"$34,700,000",Early Stage Venture,7,Loeb.nyc,1
"Seed Round - The Beehive Software, LLC",Seed,Seed,"$90,000","Nov 12, 2018","The Beehive Software, LLC",The Beehive Software is a bespoke design and development technology solution provider for small and enterprise businesses.,"Business Development, Mobile Apps, Software, Web Design, Web Development",—,"San Diego, California, United States, North America",www.thebeehivesoftware.com,,"$90,000",Seed,1,—,—
Pre Seed Round - Emoshape Inc.,Pre-Seed,Seed,"$100,000","Oct 29, 2018",Emoshape Inc.,Emoshape offer Emotion Synthesis by SaaS and SoC that teaches intelligent objects how to interact with humans to yield a positive result.,"Artificial Intelligence, Gaming, SaaS, Software",—,"New York, New York, United States, North America",www.emoshape.com,,"$1,020,000",Seed,11,—,2
Seed Round - Oliv AI,Seed,Seed,"$1,200,000","Oct 1, 2018",Oliv AI,Oliv provides a SaaS-based AI workflow and meetings assistant to help enhance sales and productivity.,"Artificial Intelligence, CRM, Meeting Software, Productivity Tools, SaaS",—,"San Francisco, California, United States, North America",oliv.ai/,,"$5,200,000",Seed,2,Spider Capital,1
Seed Round - Braid Health,Seed,Seed,"$3,000,000","Oct 30, 2018",Braid Health,Braid Health develops an AI-powered diagnostic collaboration platform that supports radiologists and healthcare providers.,"Artificial Intelligence, Health Care, Health Diagnostics",—,"San Francisco, California, United States, North America",braid.health/,,"$12,000,000",—,3,—,2
Pre Seed Round - Crescendo,Pre-Seed,Seed,"$120,000","Sep 14, 2018",Crescendo,Crescendo is an AI-powered interactive music trainer.,"Apps, Machine Learning, Mobile Apps, Music Education, Software",—,"Atlanta, Georgia, United States, North America",www.trycrescendo.com/,,"$120,000",M&A,1,Techstars,1
Pre Seed Round - Seated,Pre-Seed,Seed,"$70,000","Oct 25, 2018",Seated,"Earn rewards for Reservations, Takeout & Delivery","Food Delivery, Mobile Apps, Restaurants",—,"New York, New York, United States, North America",www.seatedapp.io,,"$30,130,000",—,4,Techstars,1
Seed Round - Wheeli,Seed,Seed,"$110,000","Oct 26, 2018",Wheeli,Wheeli is the carpooling App for college students.,"Apps, Internet, Transportation",—,"New York, New York, United States, North America",www.wheeli.us,,"$210,000",Seed,3,—,2
Seed Round - Grips Intelligence,Seed,Seed,"$2,000,000","Oct 26, 2018",Grips Intelligence,Grips Intelligence is a transaction Intelligence platform that delivers valuable insights into how the world buys products online.,"Business Intelligence, E-Commerce, Market Research, SaaS",—,"New York, New York, United States, North America",www.gripsintelligence.com,,"$12,221,949",Early Stage Venture,6,UP2398,1
Seed Round - HeavyConnect,Seed,Seed,"$150,000","Oct 26, 2018",HeavyConnect,HeavyConnect provides cloud-based digital compliance documentation solutions for the food supply chain.,"Agriculture, AgTech, B2B, Farming, Mobile, SaaS, Software","Hispanic / Latine Founded, Hispanic / Latine Led","Salinas, California, United States, North America",heavyconnect.com,,"$150,000",—,4,Techstars,1
Seed Round - Invisible Technologies,Seed,Seed,"$2,600,000","Oct 18, 2018",Invisible Technologies,Invisible provides custom operations support to scaling SMBs at a revolutionary price point.,"Information Services, Information Technology, Project Management",—,"San Francisco, California, United States, North America",inv.tech/,,"$7,882,756",Seed,3,—,8
Seed Round - Leaftail Labs,Seed,Seed,"$1,250,000","Oct 12, 2018",Leaftail Labs,Leaftail Labs is a creative entertainment team obsessed with making new games using bleeding edge innovation and distinct style.,"Computer, Gaming","Women Founded, Women Led","Seattle, Washington, United States, North America",www.leaftaillabs.com,,"$1,250,000",Seed,2,Shasta Ventures,5
Seed Round - ACAS,Seed,Seed,"$2,300,000","Sep 20, 2018",ACAS,Generalized aircraft collision avoidance system for all powered aircraft.,"Aerospace, Hardware, Software",—,"Cambridge, Massachusetts, United States, North America",acas.me,,"$2,303,000",Seed,2,—,—
Seed Round - Empower,Seed,Seed,"$4,500,000","Sep 19, 2018",Empower,"Empower is helping people access credit affordably, improve their credit health, and rewrite their financial story.","Banking, Finance, FinTech, Lending, Personal Finance",—,"San Francisco, California, United States, North America",www.empower.me,,"$174,500,000",Early Stage Venture,4,Initialized Capital,2
Seed Round - Vision Technologies,Seed,Seed,"€200,000","Oct 1, 2018",Vision Technologies,"Expert audio-visual, professional services, security, wireless and structured cabling capabilities.","Audio, Information Technology, Security",—,"Glen Burnie, Maryland, United States, North America",www.visiontechnologies.com/,,"$2,179,280",Seed,3,—,—
Seed Round - Petra,Seed,Seed,"$3,000,000","Oct 5, 2018",Petra,Petra is a Robotics company that focuses solely on underground utilities.,Robotics,"Women Founded, Women Led","San Francisco, California, United States, North America",petra.cc,,"$33,000,000",—,3,—,1
Seed Round - SimpleRose,Seed,Seed,"$24,000,000","Oct 10, 2018",SimpleRose,SimpleRose is a technology company that allows customers to optimize and accelerate decision-making.,"Enterprise Applications, Information Technology, Software",—,"Saint Louis, Missouri, United States, North America",www.simplerose.com,,"$47,001,264",Early Stage Venture,2,"Cultivation Capital, New Enterprise Associates",3
Seed Round - Garten,Seed,Seed,"$20,000,000","Oct 17, 2018",Garten,Garten is a food processing company that delivers nutrient-rich catered meals and curated snacks for workplace.,"Food Delivery, Food Processing, Snack Food",—,"Burlingame, California, United States, North America",garten.co,,"$20,000,000",Early Stage Venture,3,Talis Capital,11
Seed Round - 2ULaundry,Seed,Seed,"$300,000","Oct 19, 2018",2ULaundry,2ULaundry is the new way to do laundry and dry cleaning that helps people make time for what matters most in their lives.,"E-Commerce, Laundry and Dry-cleaning, Logistics, Mobile",—,"Charlotte, North Carolina, United States, North America",www.2ulaundry.com/,,"$29,220,000",Early Stage Venture,6,Techstars,1
Seed Round - ICON,Seed,Seed,"$9,000,000","Oct 17, 2018",ICON,"ICON is a construction technology company that uses 3D robotics, software, and advanced materials.","3D Printing, Advanced Materials, Mechanical Design, Robotics, Software",—,"Austin, Texas, United States, North America",www.iconbuild.com,,"$451,499,870",Early Stage Venture,6,Oakhouse Partners,16
Seed Round - Kono,Seed,Seed,"$120,000","Sep 13, 2018",Kono,Kono is an AI driven scheduling assistant for enterprises.,"Artificial Intelligence, Machine Learning, Productivity Tools","Women Founded, Women Led","San Francisco, California, United States, North America",kono.ai,,"$880,000",Seed,4,—,2
Seed Round - Frase,Seed,Seed,"$947,000","Sep 19, 2018",Frase,Frase is provides Artificial intelligence based market research assistant.,"Artificial Intelligence, Internet, Machine Learning, Market Research",Hispanic / Latine Founded,"Boston, Massachusetts, United States, North America",frase.io,,"$947,000",M&A,1,Pedro Tortosa,3
Seed Round - Cherre,Seed,Seed,"$9,000,000","Oct 1, 2018",Cherre,"Cherre is a real estate data platform that connects decision-makers to property investment, management, and market information.","Analytics, Big Data, Commercial Real Estate, Data Integration, InsurTech, Real Estate",—,"New York, New York, United States, North America",www.cherre.com,,"$75,000,000",Early Stage Venture,3,Navitas Capital,8
Seed Round - SnappyScreen,Seed,Seed,"$100,000","Sep 15, 2018",SnappyScreen,SnappyScreen is a touchless sunscreen application system that focuses on the manual application of sunscreen.,"Apps, Hospitality, Lifestyle","Women Founded, Women Led","Locust Valley, New York, United States, North America",snappyscreen.com,,"$160,000",Seed,2,—,2
Seed Round - Tradefox,Seed,Seed,"$100,000","Nov 1, 2018",Tradefox,The leading business intelligence platform for the global trade of recyclables.,"Business Intelligence, Mineral, Paper Manufacturing, Plastics and Rubber Manufacturing, Precious Metals, Waste Management",—,"Dover, Delaware, United States, North America",www.tradefox.co,,"$3,774,761",Seed,14,—,—
Pre Seed Round - MindsDB,Pre-Seed,Seed,"$1,060,000","Oct 1, 2018",MindsDB,MindsDB is an open-source platform that enables developers to integrate machine learning into applications.,"Database, Machine Learning, Open Source, Predictive Analytics, Software","Hispanic / Latine Founded, Hispanic / Latine Led","Berkeley, California, United States, North America",mindsdb.com,,"$54,355,000",Seed,6,—,4
Seed Round - Unioncrate,Seed,Seed,"$3,200,000","Sep 28, 2018",Unioncrate,Unioncrate is a supply chain platform that simplifies demand planning and daily operations for consumer goods companies.,"Artificial Intelligence, Information Technology, Machine Learning, Predictive Analytics, SaaS, Software, Supply Chain Management","Black / African American Founded, Black / African American Led","New York, New York, United States, North America",unioncrate.com,,"$13,340,000",Early Stage Venture,5,Susa Ventures,12
Seed Round - Omnee,Seed,Seed,"$2,000,000","Sep 26, 2018",Omnee,"Omnee delivers real-world, predictive analytics so mall operators & brands can create better experiences for consumers.","Artificial Intelligence, Computer Vision, Internet of Things, Predictive Analytics","Women Founded, Women Led","Sunnyvale, California, United States, North America",www.omnee.io,,"$2,000,000",Seed,1,—,1
Seed Round - Stabilitas,Seed,Seed,"$1,350,000","Sep 21, 2018",Stabilitas,"Stabilitas secures travelers with location specific safety information and a lifeline to help, all through their smartphones.","Location Based Services, Mobile, Security, Travel",—,"Seattle, Washington, United States, North America",www.stabilitas.io,,"$5,179,513",M&A,5,—,2
Seed Round - LOGE Camps,Seed,Seed,"$4,515,000","Oct 5, 2018",LOGE Camps,LOGE Camps provides community building and recreational services.,"Hospitality, Hotel, Leisure, Recreation",—,"North Bend, Washington, United States, North America",www.logecamps.com/,,"$20,315,000",Early Stage Venture,3,—,1
Seed Round - Curebase,Seed,Seed,"$2,513,000","Oct 19, 2018",Curebase,Curebase is a provider of decentralized clinical research software solutions and services to patients and medical providers.,"Clinical Trials, Health Care, Software",—,"San Francisco, California, United States, North America",www.curebase.com,,"$57,633,000",Early Stage Venture,5,—,3
