Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Gridwise,Seed,Seed,"$3,300,000","Feb 28, 2020",Gridwise,Gridwise develops a rideshare and delivery assistant platform that tracks mileage and performance.,"Apps, Car Sharing, Delivery, Transportation",—,"Pittsburgh, Pennsylvania, United States, North America",gridwise.io,,"$20,400,000",Early Stage Venture,7,Mountain State Capital,18
Seed Round - DigiFabster,Seed,Seed,"$1,850,000","Jan 24, 2020",DigiFabster,"DigiFabster provides an AI/ML-powered eCommerce platform, enabling machine shops to amplify sales and drive growth.","3D Printing, CRM, E-Commerce, Manufacturing, Mechanical Engineering, Payments, Software, Supply Chain Management",—,"Irvine, California, United States, North America",digifabster.com,,"$3,470,000",Seed,4,Mucker Capital,10
Seed Round - Punch List,Seed,Seed,"$4,000,000","Jan 21, 2020",Punch List,"SaaS, Mobile App, Home Remodeling","Home Renovation, Mobile Apps, SaaS",—,"San Francisco, California, United States, North America",www.punchlist.com,,"$6,000,000",Seed,4,"Bedrock c, Bling Capital",8
Pre Seed Round - Billo,Pre-Seed,Seed,"€935,000","Mar 12, 2020",Billo,"Billo is an all-in-one platform that facilitates the creation of bespoke eCom videos, video advertisements, product videos, and commercials.","Advertising, E-Commerce, Marketing",—,"San Francisco, California, United States, North America",billo.app,,"€2,935,000",Seed,2,—,4
Seed Round - Haus,Seed,Seed,"$4,500,000","Jan 30, 2020",Haus,Haus specializes in the manufacturing and distillation of wine and spirits.,"Distillery, Food and Beverage, Wine And Spirits",Women Founded,"Healdsburg, California, United States, North America",drink.haus/,,"$7,500,000",Early Stage Venture,5,—,37
Pre Seed Round - Vincere Health,Pre-Seed,Seed,"$400,000","Jan 23, 2020",Vincere Health,"Vincere Health is a smarter incentives, biofeedback and coaching platform for behavior change.","Fitness, Health Care, Software, Wearables, Wellness",—,"Stoneham, Massachusetts, United States, North America",www.vincere.health,,"$6,039,360",Seed,8,—,3
Pre Seed Round - VinnCorp,Pre-Seed,Seed,"$100,000","Mar 1, 2020",VinnCorp,VinnCorp is an Information Technology Company that provides remote hi-tech resources to help accelerate your innovation journey.,"Customer Service, Information Services, Information Technology, Marketing Automation, Software","South Asian Founded, South Asian Led, Women Led","Elk Grove, California, United States, North America",vinncorp.com,,"$100,000",Seed,1,HRG Group,1
Seed Round - Intello,Seed,Seed,"$2,000,000","Feb 28, 2020",Intello,"Intello's SaaS operations platform enables companies to discover, manage, secure & optimize their SaaS applications","Analytics, SaaS, Software",—,"New York, New York, United States, North America",www.intello.io/,,"$5,800,000",M&A,3,"ANIMO Ventures, Resolute Ventures",5
Seed Round - Metronome,Seed,Seed,"$5,000,000","Jan 15, 2020",Metronome,"Metronome helps software companies launch, iterate, and scale their business models.","Business Intelligence, Consulting, Information Technology, Software",—,"San Francisco, California, United States, North America",metronome.com,,"$35,000,000",Early Stage Venture,2,General Catalyst,1
Seed Round - Loupe,Seed,Seed,"$650,000","Jan 16, 2020",Loupe,Loupe is an art streaming platform and service on connected TV and the web with an integrated marketplace.,"Art, Digital Entertainment, Digital Media, E-Commerce Platforms, Hospitality, Lifestyle, TV, Video Streaming, Web Apps","Women Founded, Women Led","Atlanta, Georgia, United States, North America",loupeart.com,,"$5,362,782",Seed,5,Grit Capital Partners,7
Seed Round - Dexai Robotics,Seed,Seed,"$5,500,000","Mar 5, 2020",Dexai Robotics,Dexai automates activities in commercial kitchens and the food industry more broadly.,"Agriculture, Artificial Intelligence, Food and Beverage, Hospitality, Machine Learning",Hispanic / Latine Founded,"Boston, Massachusetts, United States, North America",www.dexai.com/,,"$12,164,224",—,3,Hyperplane,8
Pre Seed Round - upSWOT,Pre-Seed,Seed,"$100,000","Feb 1, 2020",upSWOT,upSWOT is a white-label embedded finance tech for banks/FIs powered by 100 API-enabled apps,"Banking, Developer APIs, Finance, Financial Services, FinTech, Software",—,"Fort Mill, South Carolina, United States, North America",upswot.com,,"$4,500,000",Seed,4,—,1
Seed Round - BuildBlock,Seed,Seed,"$2,500,000","Mar 9, 2020",BuildBlock,BuildBlock is a global real estate investment platform for everyone to easily and safely invest in the global market.,"Information Technology, Real Estate Investment",—,"San Jose, California, United States, North America",www.buildblock.io/,,"$12,929,086",Early Stage Venture,4,—,6
Seed Round - Deepnote,Seed,Seed,"$3,800,000","Feb 6, 2020",Deepnote,"Deepnote is a collaborative data science notebook for teams that is shareable, Jupyter-compatible, and runs in the cloud.","Analytics, Artificial Intelligence, Big Data, Business Intelligence, Cloud Data Services, Data Visualization, Machine Learning, PaaS",—,"San Francisco, California, United States, North America",www.deepnote.com/,,"$23,800,000",Early Stage Venture,3,"Accel, Index Ventures",12
Pre Seed Round - Bonzer,Pre-Seed,Seed,"R$20,200","Mar 1, 2020",Bonzer,Bonzer is a new and easy way to get around the city with eco-friendly cars.,"Automotive, Internet",—,"Cambridge, Massachusetts, United States, North America",www.bonzer.rocks/,,"R$20,200",Seed,2,—,1
Seed Round - Agora,Seed,Seed,"$2,000,000","Feb 27, 2020",Agora,Agora Services is a provider of digital platform banking solutions.,"Banking, Debit Cards, FinTech, Mobile Payments, Payments, Personal Finance",—,"New York, New York, United States, North America",agoraservices.us/,,"$2,000,000",Seed,5,—,1
Seed Round - Monograph,Seed,Seed,"$1,900,000","Mar 10, 2020",Monograph,A simple back office tool for the building industry.,"Architecture, Collaboration, Enterprise Resource Planning (ERP), Enterprise Software, Project Management, Software, Task Management",—,"San Francisco, California, United States, North America",monograph.com,,"$29,300,000",Early Stage Venture,5,"Homebrew, Parade Ventures",7
Pre Seed Round - Beanstalk,Pre-Seed,Seed,"$120,000","Jan 31, 2020",Beanstalk,"Heirloom, pesticide-free produce grown in robotic, vertical farms","Agriculture, AgTech, Farming, Machinery Manufacturing",—,"Springfield, Virginia, United States, North America",beanstalk.farm/,,"$240,000",Seed,2,Techstars,1
Seed Round - CloudTrucks,Seed,Seed,"$6,100,000","Jan 30, 2020",CloudTrucks,CloudTrucks offers a virtual trucking carrier application designed to reduce operating costs for truck drivers.,"Apps, Freight Service, Logistics, Shipping, Transportation",Black / African American Founded,"San Francisco, California, United States, North America",cloudtrucks.com/,,"$141,600,000",Early Stage Venture,3,Craft Ventures,5
Pre Seed Round - Identifid,Pre-Seed,Seed,"$1,350,000","Feb 15, 2020",Identifid,Identifid provides fraud prevention solutions.,Retail,—,"Miramar Beach, Florida, United States, North America",identifid.com/,,"$1,900,000",Seed,2,—,—
Seed Round - Blue Wire,Seed,Seed,"$1,200,000","Feb 19, 2020",Blue Wire,"Blue Wire is an audio-centric media company hosting podcasts with athletes, influencers, and professional sports franchises.","Broadcasting, Content, Media and Entertainment, Podcast, Sports",—,"San Francisco, California, United States, North America",bluewirepods.com,,"$12,350,000",—,5,DOT Capital,4
"Seed Round - Circle Optics, Inc.",Seed,Seed,"$575,000","Mar 1, 2020","Circle Optics, Inc.","Circle Optics, Inc. provides camera's.","GovTech, Hardware, Military, National Security, Virtual Reality, Virtualization",—,"Rochester, New York, United States, North America",www.circleoptics.com,,"$3,721,499",Seed,7,—,1
Seed Round - Optiyol,Seed,Seed,"$50,000","Jan 14, 2020",Optiyol,Optiyol helps freight and passenger transportation fleets for smarter route schedules that reduce costs and improve on-time performance.,"Computer, Delivery, Enterprise Software, Fleet Management, Logistics, SaaS, Smart Cities, Software, Transportation",Women Founded,"San Francisco, California, United States, North America",www.optiyol.com,,"$1,178,000",Seed,9,—,1
Pre Seed Round - Prismpop,Pre-Seed,Seed,"$1,000,000","Feb 11, 2020",Prismpop,Prismpop is an online beauty community that helps users in finding products that are personalized to their needs.,"Communities, E-Commerce, Internet","Women Founded, Women Led","Pasadena, California, United States, North America",prismpop.com/,,"$5,000,000",Seed,5,—,2
Pre Seed Round - WexEnergy,Pre-Seed,Seed,"$450,000","Mar 3, 2020",WexEnergy,WindowSkin® is transforming the window retrofit market in North America with an affordable and easy to install window insulation panel.,"CleanTech, Energy Efficiency, Real Estate","Women Founded, Women Led","Rochester, New York, United States, North America",wexenergy.com,,"$1,361,692",Seed,5,—,1
Pre Seed Round - Designhubz,Pre-Seed,Seed,"$120,000","Jan 27, 2020",Designhubz,Designhubz enables 3D & Try-On Augmented Reality shopping with an AI recommendation engine across any eCommerce website or app and in-store,"3D Technology, Artificial Intelligence, Augmented Reality, E-Commerce, Retail, Retail Technology, Robotics, SaaS, Shopping, Virtual Reality",—,"San Francisco, California, United States, North America",designhubz.com/,,"$1,120,000",Seed,2,Techstars,2
Seed Round - Lunchclub,Seed,Seed,"$150,000","Mar 12, 2020",Lunchclub,Lunchclub utilizes AI to match people for one-on-one video meetings.,"Artificial Intelligence, Information Technology, Machine Learning, Software",Women Founded,"San Francisco, California, United States, North America",lunchclub.com,,"$28,804,997",Early Stage Venture,4,—,3
Pre Seed Round - Transak,Pre-Seed,Seed,"$150,000","Mar 4, 2020",Transak,Transak is a global web3 payment and onboarding infrastructure provider.,"Cryptocurrency, Financial Services, FinTech, Payments",—,"Miami, Florida, United States, North America",transak.com,,"$20,560,000",Early Stage Venture,4,Tachyon by ConSensys Mesh,2
Seed Round - TomoCredit,Seed,Seed,"$113,333","Jan 20, 2020",TomoCredit,TomoCredit is a fintech company that focuses on helping young adults build and establish good credit scores.,"Credit, Credit Cards, Financial Services, FinTech, Personal Finance","East Asian Founded, East Asian Led, Women Founded, Women Led","San Francisco, California, United States, North America",www.tomocredit.com,,"$139,113,333",Early Stage Venture,6,Techstars,3
Seed Round - Adventr,Seed,Seed,"$1,014,288","Feb 11, 2020",Adventr,Adventr is a SaaS platform for the creation of voice & touch controlled interactive video and its distribution across any network/player.,"Ad Network, Advertising, Analytics, Content, Digital Media, Internet, Publishing, SaaS, TV, Video Streaming",Black / African American Founded,"New York, New York, United States, North America",adventr.io/,,"$6,014,288",—,3,—,4
Seed Round - PoolTogether,Seed,Seed,"$1,050,000","Feb 3, 2020",PoolTogether,"PoolTogether is a no-loss, audited savings game powered by blockchain technology.",Blockchain,—,"Brooklyn, New York, United States, North America",www.pooltogether.com/,,"$8,000,000",Early Stage Venture,3,IDEO CoLab Ventures,4
Pre Seed Round - Leia,Pre-Seed,Seed,"$25,000","Mar 3, 2020",Leia,Leia is a nanotechnology company that offers 3D lightfield products and software applications.,"3D Technology, Hardware, Mobile Devices",—,"Menlo Park, California, United States, North America",www.leiainc.com,,"$325,175,000",Seed,9,—,1
Pre Seed Round - Leia,Pre-Seed,Seed,"$50,000","Jan 15, 2020",Leia,Leia is a nanotechnology company that offers 3D lightfield products and software applications.,"3D Technology, Hardware, Mobile Devices",—,"Menlo Park, California, United States, North America",www.leiainc.com,,"$325,175,000",Seed,9,—,1
Pre Seed Round - Cognum,Pre-Seed,Seed,"$50,000","Mar 1, 2020",Cognum,We are building the future of AI.,"Information Technology, Software",—,"New York, New York, United States, North America",www.cognum.ai,,"$50,000",Seed,1,—,—
Pre Seed Round - Tivid TV,Pre-Seed,Seed,"$85,000","Feb 2, 2020",Tivid TV,"Tivid Technologies, Inc. is the first independent film distrubution technology that focuses on content creation offering 100% royalties.","Digital Entertainment, Film Distribution, Film Production, TV Production",—,"Wilmington, Delaware, United States, North America",tivid.tv/,,"$585,000",Seed,2,—,—
Pre Seed Round - Redactable,Pre-Seed,Seed,"$40,000","Mar 1, 2020",Redactable,Redactable is a web-based application that helps companies permanently redact their confidential documents.,"B2B, Compliance, Information Technology, Internet, Machine Learning, SaaS, Software","Hispanic / Latine Founded, Women Founded, Women Led","New York, New York, United States, North America",www.redactable.com,,"$1,280,000",Seed,6,Queen City Fintech,3
Seed Round - trace,Seed,Seed,"$150,849","Feb 18, 2020",trace,trace is a hardware-enabled software platform for household food waste management,—,—,"Atlanta, Georgia, United States, North America",trace.tech,,"$370,849",Seed,3,Techstars,1
