Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Intus Care,Seed,Seed,"$1,650,000","Apr 27, 2021",Intus Care,Intus Care develops healthcare analytics platform to improve care and reduce hospitalizations for patients.,"Analytics, Elder Care, Health Care",—,"Providence, Rhode Island, United States, North America",intuscare.com,,"$32,534,630",—,9,"3CC | Third Culture Capital, Equal Opportunity Ventures",7
Seed Round - NFTify,Seed,Seed,"$2,100,000","May 4, 2021",NFTify,The one-stop NFT platform to turn your creative ideas into a full blown NFT marketplace.Create your own NFT marketplace today for FREE.,"Blockchain, Cryptocurrency",—,"Panama, New York, United States, North America",nftify.network/,,"$2,100,000",Seed,1,Icetea.io,15
Seed Round - Drops,Seed,Seed,"€910,000","May 1, 2021",Drops,"Drops, a groundbreaking project that unlocks additional value for non-fungible tokens (NFTs)","Cryptocurrency, Digital Entertainment, Finance, Financial Services, FinTech, Peer to Peer",—,"San Francisco, California, United States, North America",drops.co/,,"$2,093,816",Private Equity,2,—,15
Seed Round - Palacio Inc.,Seed,Seed,"$5,000,000","May 3, 2021",Palacio Inc.,"Arts, Content platform, Smart home","Art, Content Delivery Network, Smart Home",—,"Santa Clara, California, United States, North America",www.canvia.art/,,"$10,375,000",Seed,3,Bashar Hamood,1
Seed Round - Revere VC,Seed,Seed,"$1,350,000","May 5, 2021",Revere VC,"Building the ""Morningstar for Venture Capital""","Big Data, Business Intelligence, Financial Services, FinTech, Market Research, Venture Capital",—,"San Francisco, California, United States, North America",www.reverevc.com/,,"$5,520,000",Seed,2,—,13
Seed Round - CoverTree,Seed,Seed,"$2,000,000","May 10, 2021",CoverTree,CoverTree is an insurtech MGA focused on middle America and manufactured homes.,"Construction, Insurance, InsurTech, Property Insurance, Property Management, Smart Home",—,"Detroit, Michigan, United States, North America",covertree.com,,"$10,000,000",Seed,2,Detroit Venture Partners,4
Seed Round - Play,Seed,Seed,"$6,111,096","Apr 28, 2021",Play,"The first native iOS design tool built for creating mobile products. Design, prototype, and collaborate directly from your phone.","Apps, Developer Tools, Internet, Mobile, Product Design, Software, UX Design",—,"New York, New York, United States, North America",www.createwithplay.com/,,"$9,111,096",Seed,2,—,3
Seed Round - Inclusively,Seed,Seed,"$2,429,039","May 3, 2021",Inclusively,"We are a professional network and employment platform for candidates with disabilities, mental health conditions, and chronic illnesses.","Health Care, Internet, Recruiting, Staffing Agency","Women Founded, Women Led","Richmond, Virginia, United States, North America",inclusively.com/,,"$6,879,039",Seed,4,—,6
Seed Round - Facet,Seed,Seed,"$2,500,000","Apr 19, 2021",Facet,"Facet is a computer software company that provides artists and engineers, aiming to redefine and humanize the creative process.","Computer, Software",—,"San Francisco, California, United States, North America",facet.ai/,,"$15,500,000",Early Stage Venture,5,—,4
Seed Round - Begin,Seed,Seed,"$4,000,000","Apr 21, 2021",Begin,Serverless hosting Platform as a Service built atop AWS,"Consumer, Enterprise Applications, Mobile",—,"San Francisco, California, United States, North America",begin.com/,,"$4,000,000",Seed,6,—,3
Seed Round - Paladin Cyber,Seed,Seed,"$2,500,000","May 6, 2021",Paladin Cyber,Paladin is cybersecurity simplified. Our mission is to make cybersecurity accessible and practical for all companies.,"Cyber Security, Insurance, InsurTech",—,"San Francisco, California, United States, North America",www.meetpaladin.com/,,"$9,500,000",—,5,—,4
Seed Round - CloudPlex.io,Seed,Seed,"$100,000","May 7, 2021",CloudPlex.io,"Low-code, visual drag n drop SaaS platform for developers, making Kubernetes application development easy, painless and fast.","Cloud Computing, Developer Platform, Developer Tools, Information Technology, Internet, SaaS, Software",Middle Eastern / North African Founded,"Redmond, Washington, United States, North America",cloudplex.io,,"$1,100,000",Seed,4,—,2
Seed Round - Talyn Air,Seed,Seed,"$2,500,000","Apr 15, 2021",Talyn Air,Talyn Air is an electric vertical takeoff and landing aircraft system.,"Air Transportation, Electric Vehicle, Electronics",—,"Los Angeles, California, United States, North America",www.talyn.com,,"$6,300,000",M&A,4,—,3
Pre Seed Round - Atom Limbs,Pre-Seed,Seed,"$2,000,000","Apr 22, 2021",Atom Limbs,"The first artificial human arm, giving 65M+ limb-different people their limbs back. Atom's mission is to unlock human lifespan.","Artificial Intelligence, Hardware, Medical Device, Robotics",—,"San Francisco, California, United States, North America",atomlimbs.com,,"$7,756,000",Seed,6,—,5
Seed Round - PMX Inc.,Seed,Seed,"$100,000","Apr 29, 2021",PMX Inc.,PMX is a medical technology company that delivers personalized health insights using a breakthrough AI-assisted imaging platform.,"Artificial Intelligence, Health Care, Machine Learning, Medical Device, Software",—,"Palatine, Illinois, United States, North America",www.pmx-inc.com,,"$100,000",Early Stage Venture,3,"DEIT, TIPS Program",2
Seed Round - Dom's Kitchen & Market,Seed,Seed,"$14,928,919","Apr 15, 2021",Dom's Kitchen & Market,Dom's Kitchen & Market brings the community of food to customers through careful curation and and experience in store and on the go.,"E-Commerce, Grocery, Restaurants, Shopping",—,"Chicago, Illinois, United States, North America",www.domschicago.com/,,"$46,428,919",Seed,4,—,5
Pre Seed Round - Kanmon,Pre-Seed,Seed,"$4,200,000","May 1, 2021",Kanmon,Kanmon platform is the easiest way to for vertical SaaS and marketplaces to offer embedded lending products to their business customers.,FinTech,—,"San Mateo, California, United States, North America",kanmon.com/,,"$9,200,000",Seed,2,—,3
Seed Round - Orbillion Bio,Seed,Seed,"$5,000,000","Apr 26, 2021",Orbillion Bio,"Orbillion Bio produces meat from the highest quality, heritage animals.","Consumer, Food and Beverage, Food Processing","Women Founded, Women Led","Berkeley, California, United States, North America",www.orbillion.com,,"$5,200,000",Seed,8,—,8
