Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Arrive Outdoors,Seed,Seed,"$4,750,000","Jul 23, 2020",Arrive Outdoors,Arrive Outdoors is an outdoor travel firm that connects with outdoor gear providers to rent out their gear on their website.,"Fashion, Outdoors, Retail",—,"Los Angeles, California, United States, North America",arriveoutdoors.com,,"$4,750,000",Seed,1,Freestyle Capital,7
Pre Seed Round - 1sm,Pre-Seed,Seed,"$580,000","Jul 13, 2020",1sm,1sm is a predictive analytics platform for marketing.,"B2B, Marketing, Sales, Software",—,"New York, New York, United States, North America",1sm.io,,"$580,000",Seed,1,Techstars,11
Seed Round - Carbonated,Seed,Seed,"$8,500,000","Jul 16, 2020",Carbonated,Carbonated is focused on developing highly competitive games for mobile devices.,"Gaming, Mobile, PC Games",—,"El Segundo, California, United States, North America",www.carbonated.com/,,"$8,500,000",Seed,1,Andreessen Horowitz,7
Pre Seed Round - ThankUCash,Pre-Seed,Seed,"$50,000","Aug 10, 2020",ThankUCash,ThankUCash is a rewards and loyalty infrastructure for banks and businesses in Africa.,"Financial Services, FinTech","Black / African American Founded, Women Founded","San Francisco, California, United States, North America",thankucash.com,,"$10,710,000",Seed,7,EXPERT DOJO,2
Seed Round - Serum,Seed,Seed,"$20,000,000","Jul 30, 2020",Serum,Serum operates as a decentralized exchange (DEX) platform focusing on the financial ecosystem.,"Blockchain, Cryptocurrency, Financial Exchanges, Financial Services",—,"New York, New York, United States, North America",projectserum.com/,,"$120,000,000",—,5,GBV Capital,8
Seed Round - SmartGurlz Inc,Seed,Seed,"$25,000","Jul 21, 2020",SmartGurlz Inc,"As Seen on Shark Tank, the World's first coding robot for Girls.","Drones, STEM Education, Toys","Women Founded, Women Led","Arlington, Virginia, United States, North America",www.smartgurlz.com,,"$1,644,535",Seed,9,—,1
Seed Round - Eterneva,Seed,Seed,"$3,000,000","Jul 13, 2020",Eterneva,Eterneva is a developer of diamond technology intended to convert cremated ashes of loved ones into memorial diamonds.,"Jewelry, Precious Metals, Wellness","Women Founded, Women Led","Austin, Texas, United States, North America",eterneva.com/science,,"$17,800,000",Early Stage Venture,5,Springdale Ventures,28
Seed Round - MyQuest,Seed,Seed,"$150,000","Aug 1, 2020",MyQuest,Impact-driven online training platform,"Education, Enterprise Applications, Information Technology, Mobile, Software, Training",—,"New York, New York, United States, North America",www.myquest.co,,"$150,000",Seed,2,—,1
Seed Round - Toybox Labs,Seed,Seed,"$2,100,000","Aug 8, 2020",Toybox Labs,Toybox Labs is a 3D printing company that helps children to print thousands of toys at the push of a button right at home.,"3D Printing, 3D Technology, Manufacturing, Toys",Women Founded,"Seattle, Washington, United States, North America",www.make.toys/,,"$4,172,222",—,6,—,1
Seed Round - Pngme,Seed,Seed,"$3,000,000","Aug 1, 2020",Pngme,"Pngme, they believe everyone deserves equal access to finance.","Big Data, Financial Services, FinTech, Software",Women Founded,"San Francisco, California, United States, North America",www.pngme.com,,"$18,336,005",Early Stage Venture,3,"EchoVC Partners, Lateral Frontiers, Radical Ventures, Raptor Group",9
Pre Seed Round - Turing College,Pre-Seed,Seed,"€1,200,000","Aug 1, 2020",Turing College,Turing College is a web3 coding school.,"EdTech, Education, Higher Education",—,"Wilmington, Delaware, United States, North America",www.turingcollege.com/en,,"€2,775,000",Seed,5,—,1
Pre Seed Round - Gold Express Mines,Pre-Seed,Seed,"$200,000","Jul 13, 2020",Gold Express Mines,Gold Express Mines is a multi-asset mineral resource company specializing in the exploration and development of precious metal properties.,"Industrial, Mining, Natural Resources, Precious Metals",—,"Wallace, Idaho, United States, North America",goldexpressmines.com,,"$200,000",Seed,1,—,—
Pre Seed Round - Paylode,Pre-Seed,Seed,"$1,500,000","Jul 24, 2020",Paylode,Paylode is the easiest way to launch and manage the best Partnership Cross-Sell Programs in the industry.,"Information Technology, SaaS, Software",—,"Miami, Florida, United States, North America",www.paylode.com/,,"$2,500,000",Seed,3,"Struck Capital, Susa Ventures",4
Seed Round - Zero Grocery,Seed,Seed,"$100,000","Jul 31, 2020",Zero Grocery,Zero Grocery provides a convenient zero-waste grocery delivery service.,"Consumer Goods, Delivery Service, Grocery, Waste Management","Black / African American Founded, Black / African American Led, Women Founded, Women Led","Berkeley, California, United States, North America",www.zerogrocery.com,,"$14,900,000",Seed,6,—,1
Seed Round - Community Gaming,Seed,Seed,"$150,000","Jul 13, 2020",Community Gaming,"CommunityGaming.io combines social gaming, match automation, and blockchain payment technology to make it easy to organize tournaments.","Blockchain, Communities, eSports, Gaming",—,"New York, New York, United States, North America",communitygaming.io/,,"$18,475,000",Early Stage Venture,4,ConsenSys,2
Pre Seed Round - Newton Hewitt & Co.,Pre-Seed,Seed,"$1,754,000","Jul 14, 2020",Newton Hewitt & Co.,Establishing a revolutionary way of doing business.,Innovation Management,—,"New York, New York, United States, North America",www.newtonhewitt.com,,"$1,754,000",Seed,1,Matias Rubio,1
Seed Round - HOALife,Seed,Seed,"$100,000","Jul 21, 2020",HOALife,SaaS,"Information Technology, SaaS, Software",—,"Ketchum, Idaho, United States, North America",hoalife.com,,"$150,000",Seed,2,Calm Company Fund,1
Pre Seed Round - Kanthaka,Pre-Seed,Seed,"$15,000","Jul 15, 2020",Kanthaka,Kanthaka is an app that connects people with on-demand personal trainers.,"Fitness, Health Care, Lifestyle",—,"Houston, Texas, United States, North America",mykanthaka.com/,,"$330,100",Seed,6,—,1
Seed Round - Gilgamesh Pharmaceuticals,Seed,Seed,"$2,434,845","Jul 27, 2020",Gilgamesh Pharmaceuticals,"Gilgamesh Pharmaceuticals provides medicines for psychedelic, novel psychotropic drugs, depression, anxiety, and stress-related disorders.","Biotechnology, Health Care, Medical, Pharmaceutical",—,"New York, New York, United States, North America",www.gilgameshpharmaceutical.com,,"$68,559,845",Early Stage Venture,7,—,2
Pre Seed Round - Datrics,Pre-Seed,Seed,"$200,000","Aug 11, 2020",Datrics,Datrics democratizes the creation of self-service analytics and machine learning solutions by providing an intuitive drag-n-drop interface.,"Analytics, Artificial Intelligence, Information Technology, Machine Learning, SaaS, Software",—,"Middletown, Delaware, United States, North America",datrics.ai/,,"$325,000",Seed,2,—,4
"Pre Seed Round - Gamifier, Inc.",Pre-Seed,Seed,"$50,000","Aug 1, 2020","Gamifier, Inc.","A startup focused on boosting the productivity using KPIs, gamification, chatbot and people analytics oriented by business indicators.","Analytics, Gamification, Productivity Tools, SaaS, Software",—,"Claymont, Delaware, United States, North America",gamifier.co,,"$190,000",Seed,2,—,1
Pre Seed Round - Yunit,Pre-Seed,Seed,"$120,000","Jul 15, 2020",Yunit,Yunit is an online platform which helps users to save money with their friends.,"E-Commerce, Finance, Financial Services, FinTech",—,"Oakland, California, United States, North America",www.yunit.co/home,,"$120,000",Seed,3,Techstars,3
Seed Round - Mira,Seed,Seed,"$3,000,000","Jul 23, 2020",Mira,Mira develops mobile augmented reality platforms to offer industrial wearables and software technologies.,"Augmented Reality, Computer, Hardware, Information Technology, Software",—,"Los Angeles, California, United States, North America",www.mirareality.com,,"$12,000,000",M&A,3,Blue Bear Capital,2
Seed Round - Paragon,Seed,Seed,"$2,500,000","Jul 28, 2020",Paragon,"Paragon is an embedded integration platform for SaaS apps, enabling companies to build products that integrate with the SaaS ecosystem.","Data Center Automation, Data Integration, Developer APIs, Productivity Tools, SaaS","Black / African American Founded, East Asian Founded","Los Angeles, California, United States, North America",www.useparagon.com,,"$15,650,000",Early Stage Venture,3,—,10
Seed Round - Fantasmo.io,Seed,Seed,"$149,998","Jul 13, 2020",Fantasmo.io,"Fantasmo builds a decentralized, open source stack for indoor and outdoor 3D maps and camera-based positioning.","Augmented Reality, Mapping Services, Mobile, Robotics",—,"Venice, California, United States, North America",www.fantasmo.io,,"$3,229,998",M&A,9,Techstars,1
