Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Astaria,Seed,Seed,"$8,000,000","Jun 20, 2022",Astaria,Astaria is an NFT lending platform unlocking instant liquidity.,Financial Services,—,"New York, New York, United States, North America",astaria.xyz,,"$8,000,000",Seed,1,—,34
Seed Round - Kurios,Seed,Seed,"$2,300,000","Jun 14, 2022",Kurios,"We provide cohort based courses for companies in LatAm. Our instructors are professionals from companies like Amazon, Stripe, Uber and more.","EdTech, Education, Product Management, Software, Training",—,"Seattle, Washington, United States, North America",www.kurios.la,,"$2,425,000",Seed,3,—,2
Seed Round - PlantBaby,Seed,Seed,"$4,000,000","Jun 22, 2022",PlantBaby,"PlantBaby develops portfolio of clean-label, organic, plant-based foods and beverages to support families.","Food and Beverage, Nutrition, Organic",—,"Hawaii National Park, Hawaii, United States, North America",www.plantbaby.co,,"$4,000,000",Seed,2,"Big Idea Ventures, Everywhere Ventures (The Fund)",6
Pre Seed Round - Kairos,Pre-Seed,Seed,"$2,600,000","Jun 17, 2022",Kairos,"Kairos provides the tools for anyone to create, publish, and verify NFTs without any code.","Blockchain, FinTech, Information Technology, Software",—,"Sheridan, Wyoming, United States, North America",kairos.art,,"$2,600,000",Seed,1,"Seven Seven Six, Worklife Ventures",11
Seed Round - Regression Games,Seed,Seed,"$4,200,000","Jun 29, 2022",Regression Games,Regression Games makes competitive gaming based on artificial intelligence available and enjoyable for everyone.,"Artificial Intelligence, Gaming",—,"Philadelphia, Pennsylvania, United States, North America",www.regression.gg,,"$4,200,000",Seed,1,New Enterprise Associates,6
Seed Round - IoTeX,Seed,Seed,"$10,000,000","Jun 7, 2022",IoTeX,IoTeX is a modular Web3 infrastructure platform connecting smart devices and real-world data to blockchains.,"Blockchain, Cryptocurrency, Internet of Things",Women Founded,"Menlo Park, California, United States, North America",iotex.io/,,"$10,000,000",Seed,7,"Draper Dragon, Jump Crypto, Samsung NEXT",15
Seed Round - Industrial Next,Seed,Seed,"$12,000,000","Jun 28, 2022",Industrial Next,Industrial Next develops the fundamental technologies for flexible and intelligent production automation.,"Automotive, Machinery Manufacturing",—,"San Francisco, California, United States, North America",industrialnext.ai/,,"$12,000,000",Seed,1,"BOILING POINT INVESTMENT, Lenovo Capital and Incubator Group (LCIG), Xiaomi Ventures",6
Seed Round - 8 Track Entertainment,Seed,Seed,"$1,517,250","Jun 30, 2022",8 Track Entertainment,8 Track Entertainment is a provider of entertainment services.,"Media and Entertainment, Music, Sports, TV, TV Production",—,"Nashville, Tennessee, United States, North America",www.8trackent.com,,"$1,517,250",Seed,1,—,—
Pre Seed Round - Chestr,Pre-Seed,Seed,"$625,000","May 18, 2022",Chestr,"Save products from any online store in 1-click, building the social layer of online shopping","E-Commerce, Internet, Shopping",—,"Washington, District of Columbia, United States, North America",www.getchestr.com,,"$625,000",Seed,1,Neo,1
Seed Round - Rugged Road Outdoors,Seed,Seed,"$1,775,000","Jun 14, 2022",Rugged Road Outdoors,Rugged Road Outdoors is a manufacturer of cooler weighing in at less than 10 pounds.,"Consumer Goods, Manufacturing, Sales",—,"Duluth, Georgia, United States, North America",ruggedroadoutdoors.com,,"$1,775,000",Seed,1,—,—
Seed Round - Enara Health,Seed,Seed,"$6,000,000","Jun 23, 2022",Enara Health,"Enara Health is a fitness app that offers personalized weight loss programs with professionals such as doctors, dietitians, and assistants.","Apps, Fitness, Health Care, Medical",—,"San Mateo, California, United States, North America",enarahealth.com/,,"$8,990,169",—,2,Offline Ventures,8
Pre Seed Round - Flyby Robotics,Pre-Seed,Seed,"$4,000,000","Jul 5, 2022",Flyby Robotics,Flyby Robotics is a developer of American-made autonomous drones built for on-edge ML capabilities.,"Aerospace, Machinery Manufacturing",—,"Los Angeles, California, United States, North America",www.flybydev.com,,"$4,000,000",Seed,1,MaC Venture Capital,10
Seed Round - Sonarverse,Seed,Seed,"$6,850,000","Jun 24, 2022",Sonarverse,"Sonarverse is the web3 data source for analytics, business intelligence, and data sciences.","Blockchain, Business Intelligence, Cryptocurrency",—,"Irvine, California, United States, North America",sonarverse.com/,,"$6,850,000",Seed,1,BlockTower Capital,8
Seed Round - Collaborative Robotics,Seed,Seed,"$10,000,000","Jun 14, 2022",Collaborative Robotics,Collaborative Robotics is a team of innovators and builders redefining the future of human-robot interaction.,"Information Technology, Machinery Manufacturing, Robotics",—,"Santa Clara, California, United States, North America",co.bot,,"$40,000,000",Early Stage Venture,2,Neo,4
Pre Seed Round - TradePort,Pre-Seed,Seed,"$1,000,000","Jul 11, 2022",TradePort,"TradePort platform aggregates NFTs from all marketplaces across Stacks, NEAR, Aptos, and Sui.","Art, Blockchain, Marketplace",—,"Fayetteville, Arkansas, United States, North America",www.tradeport.xyz,,"$1,000,000",Seed,1,Hivemind Capital Partners,4
Seed Round - Aerwave Medical,Seed,Seed,"$3,965,195","Jul 15, 2022",Aerwave Medical,Aerwave Medical develops an alternative to traditional medications used to treat COPD and asthma.,"Biotechnology, Health Care, Medical, Therapeutics",—,"New York, New York, United States, North America",aerwavemed.com,,"$7,965,195",Seed,3,—,—
Seed Round - Klasha,Seed,Seed,"$2,100,000","Jun 7, 2022",Klasha,Cross-border commerce solutions for Africa.,"E-Commerce, Information Technology","Black / African American Founded, Black / African American Led, Women Founded, Women Led","San Francisco, California, United States, North America",www.klasha.com,,"$4,820,000",Seed,6,"American Express Ventures, Global Ventures",7
Seed Round - Tigeraire,Seed,Seed,"$3,000,000","Jul 15, 2022",Tigeraire,"Tigeraire develops smart equipment technology designed to improve performance, productivity, and safety.","Electronics, Sporting Goods, Sports",—,"Baton Rouge, Louisiana, United States, North America",tigeraire.com/,,"$4,500,000",Seed,2,—,5
Pre Seed Round - Maven Pet,Pre-Seed,Seed,"$3,000,000","Jun 4, 2022",Maven Pet,Maven is a SaaS pet tech startup that provides a personal vet to track the pet’s safety and health 24/7.,"Information Technology, Pet, SaaS",—,"Delaware City, Delaware, United States, North America",maven.pet/,,"$4,500,000",Seed,2,—,4
Seed Round - GRID,Seed,Seed,"$1,000,000","Jun 6, 2022",GRID,"Breshna.io empowers users to create their own purposeful web3 video games, with no code & at lightning speed.","Blockchain, Gaming, Information Technology","South Asian Founded, South Asian Led, Women Founded, Women Led","Vienna, Virginia, United States, North America",breshna.io,,"$2,495,960",Seed,3,—,4
Pre Seed Round - Learn.xyz,Pre-Seed,Seed,"$1,000,000","Jun 8, 2022",Learn.xyz,Learn.xyz is like “Duolingo and Wikipedia meet Generative AI”. A fun social learning app that allows you to nurture your curiosities.,"Blockchain, E-Learning, Education, Information Technology, Online Portals, Social Network",—,"San Francisco, California, United States, North America",www.learn.xyz,,"$4,000,000",Seed,2,—,5
Seed Round - Terminal,Seed,Seed,"$2,100,000","Jun 1, 2022",Terminal,Terminal is the easiest way to start your online business in Africa.,"E-Commerce, Logistics, Payments",—,"Delaware City, Delaware, United States, North America",terminal.africa,,"$2,203,500",Seed,3,"Cathexis Ventures, GB-VIII Growth Fund Investment Limited Partnership, UNCOVERED FUND",10
Seed Round - MangoBoost,Seed,Seed,"₩13,000,000,000","May 30, 2022",MangoBoost,MangoBoost is an DPU and AI infrastructure firm that specializes in developing advanced server accelerators with complete software stacks.,"Artificial Intelligence, Cloud Infrastructure, Data Center, Developer Platform, Information Technology, IT Infrastructure, Software",—,"Bellevue, Washington, United States, North America",mangoboost.io,,"₩13,000,000,000",Seed,1,—,4
Pre Seed Round - Storipress,Pre-Seed,Seed,"$360,000","Jul 1, 2022",Storipress,Every company is a media company. Storipress helps companies create long form content at scale.,"Blogging Platforms, CMS, Digital Media, Software",—,"San Francisco, California, United States, North America",www.storipress.com,,"$470,000",Seed,2,Boson Ventures,4
Seed Round - Passes,Seed,Seed,"$9,000,000","May 31, 2022",Passes,Building tools for the web3 creator economy.,—,—,"Miami, Florida, United States, North America",passes.com/,,"$9,000,000",Seed,1,Multicoin Capital,7
Seed Round - Holdingz,Seed,Seed,"$4,000,000","Jul 1, 2022",Holdingz,"Holdingz is a risk management platform that helps businesses diversify, protect, and grow their holdings.","Consulting, Finance, Risk Management",—,"San Francisco, California, United States, North America",www.holdings.io,,"$7,000,000",Seed,2,—,2
Seed Round - HEAT,Seed,Seed,"$2,500,000","May 20, 2022",HEAT,HEAT makes animation easy. Our vast library of motion data and user-friendly tools streamline workflows for animators and game developers.,"Animation, Software, Video Games",—,"Los Angeles, California, United States, North America",heat.tech,,"$2,500,000",Seed,1,—,4
